set;number;no_foil;foil
ddq;1;false;false
ddq;2;false;false
ddq;3;false;false
ddq;4;false;false
ddq;5;false;false
ddq;6;false;false
ddq;7;false;false
ddq;8;false;false
ddq;9;false;false
ddq;10;false;false
ddq;11;false;false
ddq;12;false;false
ddq;13;false;false
ddq;14;false;false
ddq;15;false;false
ddq;16;false;false
ddq;17;false;false
ddq;18;false;false
ddq;19;false;false
ddq;20;false;false
ddq;21;false;false
ddq;22;false;false
ddq;23;false;false
ddq;24;false;false
ddq;25;false;false
ddq;26;false;false
ddq;27;false;false
ddq;28;false;false
ddq;29;false;false
ddq;30;false;false
ddq;31;false;false
ddq;32;false;false
ddq;33;false;false
ddq;34;false;false
ddq;35;false;false
ddq;36;false;false
ddq;37;false;false
ddq;38;false;false
ddq;39;false;false
ddq;40;false;false
ddq;41;false;false
ddq;42;false;false
ddq;43;false;false
ddq;44;false;false
ddq;45;false;false
ddq;46;false;false
ddq;47;false;false
ddq;48;false;false
ddq;49;false;false
ddq;50;false;false
ddq;51;false;false
ddq;52;false;false
ddq;53;false;false
ddq;54;false;false
ddq;55;false;false
ddq;56;false;false
ddq;57;false;false
ddq;58;false;false
ddq;59;false;false
ddq;60;false;false
ddq;61;false;false
ddq;62;false;false
ddq;63;false;false
ddq;64;false;false
ddq;65;false;false
ddq;66;false;false
ddq;67;false;false
ddq;68;false;false
ddq;69;false;false
ddq;70;false;false
ddq;71;false;false
ddq;72;false;false
ddq;73;false;false
ddq;74;false;false
ddq;75;false;false
ddq;76;false;false
ddq;77;false;false
ddq;78;false;false
ddq;79;false;false
ddq;80;false;false
