set;number;no_foil;foil
dds;1;false;false
dds;2;false;false
dds;3;false;false
dds;4;false;false
dds;5;false;false
dds;6;false;false
dds;7;false;false
dds;8;false;false
dds;9;false;false
dds;10;false;false
dds;11;false;false
dds;12;false;false
dds;13;false;false
dds;14;false;false
dds;15;false;false
dds;16;false;false
dds;17;false;false
dds;18;false;false
dds;19;false;false
dds;20;false;false
dds;21;false;false
dds;22;false;false
dds;23;false;false
dds;24;false;false
dds;25;false;false
dds;26;false;false
dds;27;false;false
dds;28;false;false
dds;29;false;false
dds;30;false;false
dds;31;false;false
dds;32;false;false
dds;33;false;false
dds;34;false;false
dds;35;false;false
dds;36;false;false
dds;37;false;false
dds;38;false;false
dds;39;false;false
dds;40;false;false
dds;41;false;false
dds;42;false;false
dds;43;false;false
dds;44;false;false
dds;45;false;false
dds;46;false;false
dds;47;false;false
dds;48;false;false
dds;49;false;false
dds;50;false;false
dds;51;false;false
dds;52;false;false
dds;53;false;false
dds;54;false;false
dds;55;false;false
dds;56;false;false
dds;57;false;false
dds;58;false;false
dds;59;false;false
dds;60;false;false
dds;61;false;false
dds;62;false;false
dds;63;false;false
dds;64;false;false
dds;65;false;false
