set;number;no_foil;foil
ddt;1;false;false
ddt;2;false;false
ddt;3;false;false
ddt;4;false;false
ddt;5;false;false
ddt;6;false;false
ddt;7;false;false
ddt;8;false;false
ddt;9;false;false
ddt;10;false;false
ddt;11;false;false
ddt;12;false;false
ddt;13;false;false
ddt;14;false;false
ddt;15;false;false
ddt;16;false;false
ddt;17;false;false
ddt;18;false;false
ddt;19;false;false
ddt;20;false;false
ddt;21;false;false
ddt;22;false;false
ddt;23;false;false
ddt;24;false;false
ddt;25;false;false
ddt;26;false;false
ddt;27;false;false
ddt;28;false;false
ddt;29;false;false
ddt;30;false;false
ddt;31;false;false
ddt;32;false;false
ddt;33;false;false
ddt;34;false;false
ddt;35;false;false
ddt;36;false;false
ddt;37;false;false
ddt;38;false;false
ddt;39;false;false
ddt;40;false;false
ddt;41;false;false
ddt;42;false;false
ddt;43;false;false
ddt;44;false;false
ddt;45;false;false
ddt;46;false;false
ddt;47;false;false
ddt;48;false;false
ddt;49;false;false
ddt;50;false;false
ddt;51;false;false
ddt;52;false;false
ddt;53;false;false
ddt;54;false;false
ddt;55;false;false
ddt;56;false;false
ddt;57;false;false
ddt;58;false;false
ddt;59;false;false
ddt;60;false;false
ddt;61;false;false
ddt;62;false;false
ddt;63;false;false
