set;number;no_foil;foil
ddu;1;false;false
ddu;2;false;false
ddu;3;false;false
ddu;4;false;false
ddu;5;false;false
ddu;6;false;false
ddu;7;false;false
ddu;8;false;false
ddu;9;false;false
ddu;10;false;false
ddu;11;false;false
ddu;12;false;false
ddu;13;false;false
ddu;14;false;false
ddu;15;false;false
ddu;16;false;false
ddu;17;false;false
ddu;18;false;false
ddu;19;false;false
ddu;20;false;false
ddu;21;false;false
ddu;22;false;false
ddu;23;false;false
ddu;24;false;false
ddu;25;false;false
ddu;26;false;false
ddu;27;false;false
ddu;28;false;false
ddu;29;false;false
ddu;30;false;false
ddu;31;false;false
ddu;32;false;false
ddu;33;false;false
ddu;34;false;false
ddu;35;false;false
ddu;36;false;false
ddu;37;false;false
ddu;38;false;false
ddu;39;false;false
ddu;40;false;false
ddu;41;false;false
ddu;42;false;false
ddu;43;false;false
ddu;44;false;false
ddu;45;false;false
ddu;46;false;false
ddu;47;false;false
ddu;48;false;false
ddu;49;false;false
ddu;50;false;false
ddu;51;false;false
ddu;52;false;false
ddu;53;false;false
ddu;54;false;false
ddu;55;false;false
ddu;56;false;false
ddu;57;false;false
ddu;58;false;false
ddu;59;false;false
ddu;60;false;false
ddu;61;false;false
ddu;62;false;false
ddu;63;false;false
ddu;64;false;false
ddu;65;false;false
ddu;66;false;false
ddu;67;false;false
ddu;68;false;false
ddu;69;false;false
ddu;70;false;false
ddu;71;false;false
ddu;72;false;false
ddu;73;false;false
ddu;74;false;false
ddu;75;false;false
ddu;76;false;false
