set;number;no_foil;foil
dgm;1;false;false
dgm;2;false;false
dgm;3;false;false
dgm;4;false;false
dgm;5;false;false
dgm;6;false;false
dgm;7;false;false
dgm;8;false;false
dgm;9;false;false
dgm;10;false;false
dgm;11;false;false
dgm;12;false;false
dgm;13;false;false
dgm;14;false;false
dgm;15;false;false
dgm;16;false;false
dgm;17;false;false
dgm;18;false;false
dgm;19;false;false
dgm;20;false;false
dgm;21;false;false
dgm;22;false;false
dgm;23;false;false
dgm;24;false;false
dgm;25;false;false
dgm;26;false;false
dgm;27;false;false
dgm;28;false;false
dgm;29;false;false
dgm;30;false;false
dgm;31;false;false
dgm;32;false;false
dgm;33;false;false
dgm;34;false;false
dgm;35;false;false
dgm;36;false;false
dgm;37;false;false
dgm;38;false;false
dgm;39;false;false
dgm;40;false;false
dgm;41;false;false
dgm;42;false;false
dgm;43;false;false
dgm;44;false;false
dgm;45;false;false
dgm;46;false;false
dgm;47;false;false
dgm;48;false;false
dgm;49;false;false
dgm;50;false;false
dgm;51;false;false
dgm;52;false;false
dgm;53;false;false
dgm;54;false;false
dgm;55;false;false
dgm;56;false;false
dgm;57;false;false
dgm;58;false;false
dgm;59;false;false
dgm;60;false;false
dgm;61;false;false
dgm;62;false;false
dgm;63;false;false
dgm;64;false;false
dgm;65;false;false
dgm;66;false;false
dgm;67;false;false
dgm;68;false;false
dgm;69;false;false
dgm;70;false;false
dgm;71;false;false
dgm;72;false;false
dgm;73;false;false
dgm;74;false;false
dgm;75;false;false
dgm;76;false;false
dgm;77;false;false
dgm;78;false;false
dgm;79;false;false
dgm;80;false;false
dgm;81;false;false
dgm;82;false;false
dgm;83;false;false
dgm;84;false;false
dgm;85;false;false
dgm;86;false;false
dgm;87;false;false
dgm;88;false;false
dgm;89;false;false
dgm;90;false;false
dgm;91;false;false
dgm;92;false;false
dgm;93;false;false
dgm;94;false;false
dgm;95;false;false
dgm;96;false;false
dgm;97;false;false
dgm;98;false;false
dgm;99;false;false
dgm;100;false;false
dgm;101;false;false
dgm;102;false;false
dgm;103;false;false
dgm;104;false;false
dgm;105;false;false
dgm;106;false;false
dgm;107;false;false
dgm;108;false;false
dgm;109;false;false
dgm;110;false;false
dgm;111;false;false
dgm;112;false;false
dgm;113;false;false
dgm;114;false;false
dgm;115;false;false
dgm;116;false;false
dgm;117;false;false
dgm;118;false;false
dgm;119;false;false
dgm;120;false;false
dgm;121;false;false
dgm;122;false;false
dgm;123;false;false
dgm;124;false;false
dgm;125;false;false
dgm;126;false;false
dgm;127;false;false
dgm;128;false;false
dgm;129;false;false
dgm;130;false;false
dgm;131;false;false
dgm;132;false;false
dgm;133;false;false
dgm;134;false;false
dgm;135;false;false
dgm;136;false;false
dgm;137;false;false
dgm;138;false;false
dgm;139;false;false
dgm;140;false;false
dgm;141;false;false
dgm;142;false;false
dgm;143;false;false
dgm;144;false;false
dgm;145;false;false
dgm;146;false;false
dgm;147;false;false
dgm;148;false;false
dgm;149;false;false
dgm;150;false;false
dgm;151;false;false
dgm;152;false;false
dgm;153;false;false
dgm;154;false;false
dgm;155;false;false
dgm;156;false;false
