set;number;no_foil;foil
dka;1;false;false
dka;2;false;false
dka;3;false;false
dka;4;false;false
dka;5;false;false
dka;6;false;false
dka;7;false;false
dka;8;false;false
dka;9;false;false
dka;10;false;false
dka;11;false;false
dka;12;false;false
dka;13;false;false
dka;14;false;false
dka;15;false;false
dka;16;false;false
dka;17;false;false
dka;18;false;false
dka;19;false;false
dka;20;false;false
dka;21;false;false
dka;22;false;false
dka;23;false;false
dka;24;false;false
dka;25;false;false
dka;26;false;false
dka;27;false;false
dka;28;false;false
dka;29;false;false
dka;30;false;false
dka;31;false;false
dka;32;false;false
dka;33;false;false
dka;34;false;false
dka;35;false;false
dka;36;false;false
dka;37;false;false
dka;38;false;false
dka;39;false;false
dka;40;false;false
dka;41;false;false
dka;42;false;false
dka;43;false;false
dka;44;false;false
dka;45;false;false
dka;46;false;false
dka;47;false;false
dka;48;false;false
dka;49;false;false
dka;50;false;false
dka;51;false;false
dka;52;false;false
dka;53;false;false
dka;54;false;false
dka;55;false;false
dka;56;false;false
dka;57;false;false
dka;58;false;false
dka;59;false;false
dka;60;false;false
dka;61;false;false
dka;62;false;false
dka;63;false;false
dka;64;false;false
dka;65;false;false
dka;66;false;false
dka;67;false;false
dka;68;false;false
dka;69;false;false
dka;70;false;false
dka;71;false;false
dka;72;false;false
dka;73;false;false
dka;74;false;false
dka;75;false;false
dka;76;false;false
dka;77;false;false
dka;78;false;false
dka;79;false;false
dka;80;false;false
dka;81;false;false
dka;82;false;false
dka;83;false;false
dka;84;false;false
dka;85;false;false
dka;86;false;false
dka;87;false;false
dka;88;false;false
dka;89;false;false
dka;90;false;false
dka;91;false;false
dka;92;false;false
dka;93;false;false
dka;94;false;false
dka;95;false;false
dka;96;false;false
dka;97;false;false
dka;98;false;false
dka;99;false;false
dka;100;false;false
dka;101;false;false
dka;102;false;false
dka;103;false;false
dka;104;false;false
dka;105;false;false
dka;106;false;false
dka;107;false;false
dka;108;false;false
dka;109;false;false
dka;110;false;false
dka;111;false;false
dka;112;false;false
dka;113;false;false
dka;114;false;false
dka;115;false;false
dka;116;false;false
dka;117;false;false
dka;118;false;false
dka;119;false;false
dka;120;false;false
dka;121;false;false
dka;122;false;false
dka;123;false;false
dka;124;false;false
dka;125;false;false
dka;126;false;false
dka;127;false;false
dka;128;false;false
dka;129;false;false
dka;130;false;false
dka;131;false;false
dka;132;false;false
dka;133;false;false
dka;134;false;false
dka;135;false;false
dka;136;false;false
dka;137;false;false
dka;138;false;false
dka;139;false;false
dka;140;false;false
dka;141;false;false
dka;142;false;false
dka;143;false;false
dka;144;false;false
dka;145;false;false
dka;146;false;false
dka;147;false;false
dka;148;false;false
dka;149;false;false
dka;150;false;false
dka;151;false;false
dka;152;false;false
dka;153;false;false
dka;154;false;false
dka;155;false;false
dka;156;false;false
dka;157;false;false
dka;158;false;false
