set;number;no_foil;foil
dkm;1;false;false
dkm;2;false;false
dkm;3;false;false
dkm;4;false;false
dkm;5;false;false
dkm;6a;false;false
dkm;6b;false;false
dkm;7;false;false
dkm;8a;false;false
dkm;8b;false;false
dkm;9;false;false
dkm;10;false;false
dkm;11;false;false
dkm;12;false;false
dkm;13a;false;false
dkm;13b;false;false
dkm;14;false;false
dkm;14★;false;false
dkm;15;false;false
dkm;16;false;false
dkm;17;false;false
dkm;18;false;false
dkm;19;false;false
dkm;20;false;false
dkm;21a;false;false
dkm;21b;false;false
dkm;22;false;false
dkm;23;false;false
dkm;24;false;false
dkm;25;false;false
dkm;26;false;false
dkm;27;false;false
dkm;28;false;false
dkm;29;false;false
dkm;30;false;false
dkm;31a;false;false
dkm;31b;false;false
dkm;32;false;false
dkm;33;false;false
dkm;34;false;false
dkm;35;false;false
dkm;36;false;false
dkm;36★;false;false
dkm;37a;false;false
dkm;37b;false;false
dkm;38;false;false
dkm;39;false;false
dkm;40;false;false
dkm;41;false;false
dkm;42;false;false
dkm;43;false;false
dkm;44;false;false
dkm;45;false;false
dkm;46;false;false
dkm;47;false;false
dkm;48;false;false
dkm;49;false;false
dkm;50;false;false
