set;number;no_foil;foil
dmc;1;false;false
dmc;2;false;false
dmc;3;false;false
dmc;4;false;false
dmc;5;false;false
dmc;6;false;false
dmc;7;false;false
dmc;8;false;false
dmc;9;false;false
dmc;10;false;false
dmc;11;false;false
dmc;12;false;false
dmc;13;false;false
dmc;14;false;false
dmc;15;false;false
dmc;16;false;false
dmc;17;false;false
dmc;18;false;false
dmc;19;false;false
dmc;20;false;false
dmc;21;false;false
dmc;22;false;false
dmc;23;false;false
dmc;24;false;false
dmc;25;false;false
dmc;26;false;false
dmc;27;false;false
dmc;28;false;false
dmc;29;false;false
dmc;30;false;false
dmc;31;false;false
dmc;32;false;false
dmc;33;false;false
dmc;34;false;false
dmc;35;false;false
dmc;36;false;false
dmc;37;false;false
dmc;38;false;false
dmc;39;false;false
dmc;40;false;false
dmc;41;false;false
dmc;42;false;false
dmc;43;false;false
dmc;44;false;false
dmc;45;false;false
dmc;46;false;false
dmc;47;false;false
dmc;48;false;false
dmc;49;false;false
dmc;50;false;false
dmc;51;false;false
dmc;52;false;false
dmc;53;false;false
dmc;54;false;false
dmc;55;false;false
dmc;56;false;false
dmc;57;false;false
dmc;58;false;false
dmc;59;false;false
dmc;60;false;false
dmc;61;false;false
dmc;62;false;false
dmc;63;false;false
dmc;64;false;false
dmc;65;false;false
dmc;66;false;false
dmc;67;false;false
dmc;68;false;false
dmc;69;false;false
dmc;70;false;false
dmc;71;false;false
dmc;72;false;false
dmc;73;false;false
dmc;74;false;false
dmc;75;false;false
dmc;76;false;false
dmc;77;false;false
dmc;78;false;false
dmc;79;false;false
dmc;80;false;false
dmc;81;false;false
dmc;82;false;false
dmc;83;false;false
dmc;84;false;false
dmc;85;false;false
dmc;86;false;false
dmc;87;false;false
dmc;88;false;false
dmc;89;false;false
dmc;90;false;false
dmc;91;false;false
dmc;92;false;false
dmc;93;false;false
dmc;94;false;false
dmc;95;false;false
dmc;96;false;false
dmc;97;false;false
dmc;98;false;false
dmc;99;false;false
dmc;100;false;false
dmc;101;false;false
dmc;102;false;false
dmc;103;false;false
dmc;104;false;false
dmc;105;false;false
dmc;106;false;false
dmc;107;false;false
dmc;108;false;false
dmc;109;false;false
dmc;110;false;false
dmc;111;false;false
dmc;112;false;false
dmc;113;false;false
dmc;114;false;false
dmc;115;false;false
dmc;116;false;false
dmc;117;false;false
dmc;118;false;false
dmc;119;false;false
dmc;120;false;false
dmc;121;false;false
dmc;122;false;false
dmc;123;false;false
dmc;124;false;false
dmc;125;false;false
dmc;126;false;false
dmc;127;false;false
dmc;128;false;false
dmc;129;false;false
dmc;130;false;false
dmc;131;false;false
dmc;132;false;false
dmc;133;false;false
dmc;134;false;false
dmc;135;false;false
dmc;136;false;false
dmc;137;false;false
dmc;138;false;false
dmc;139;false;false
dmc;140;false;false
dmc;141;false;false
dmc;142;false;false
dmc;143;false;false
dmc;144;false;false
dmc;145;false;false
dmc;146;false;false
dmc;147;false;false
dmc;148;false;false
dmc;149;false;false
dmc;150;false;false
dmc;151;false;false
dmc;152;false;false
dmc;153;false;false
dmc;154;false;false
dmc;155;false;false
dmc;156;false;false
dmc;157;false;false
dmc;158;false;false
dmc;159;false;false
dmc;160;false;false
dmc;161;false;false
dmc;162;false;false
dmc;163;false;false
dmc;164;false;false
dmc;165;false;false
dmc;166;false;false
dmc;167;false;false
dmc;168;false;false
dmc;169;false;false
dmc;170;false;false
dmc;171;false;false
dmc;172;false;false
dmc;173;false;false
dmc;174;false;false
dmc;175;false;false
dmc;176;false;false
dmc;177;false;false
dmc;178;false;false
dmc;179;false;false
dmc;180;false;false
dmc;181;false;false
dmc;182;false;false
dmc;183;false;false
dmc;184;false;false
dmc;185;false;false
dmc;186;false;false
dmc;187;false;false
dmc;188;false;false
dmc;189;false;false
dmc;190;false;false
dmc;191;false;false
dmc;192;false;false
dmc;193;false;false
dmc;194;false;false
dmc;195;false;false
dmc;196;false;false
dmc;197;false;false
dmc;198;false;false
dmc;199;false;false
dmc;200;false;false
dmc;201;false;false
dmc;202;false;false
dmc;203;false;false
dmc;204;false;false
dmc;205;false;false
dmc;206;false;false
dmc;207;false;false
dmc;208;false;false
dmc;209;false;false
dmc;210;false;false
dmc;211;false;false
dmc;212;false;false
dmc;213;false;false
dmc;214;false;false
dmc;215;false;false
dmc;216;false;false
dmc;217;false;false
dmc;218;false;false
dmc;219;false;false
dmc;220;false;false
dmc;221;false;false
dmc;222;false;false
dmc;223;false;false
dmc;224;false;false
dmc;225;false;false
dmc;226;false;false
dmc;227;false;false
dmc;228;false;false
dmc;229;false;false
dmc;230;false;false
dmc;231;false;false
dmc;232;false;false
dmc;233;false;false
dmc;234;false;false
dmc;235;false;false
dmc;236;false;false
dmc;237;false;false
dmc;238;false;false
dmc;239;false;false
dmc;240;false;false
