set;number;no_foil;foil
dmr;1;false;false
dmr;2;false;false
dmr;3;false;false
dmr;4;false;false
dmr;5;false;false
dmr;6;false;false
dmr;7;false;false
dmr;8;false;false
dmr;9;false;false
dmr;10;false;false
dmr;11;false;false
dmr;12;false;false
dmr;13;false;false
dmr;14;false;false
dmr;15;false;false
dmr;16;false;false
dmr;17;false;false
dmr;18;false;false
dmr;19;false;false
dmr;20;false;false
dmr;21;false;false
dmr;22;false;false
dmr;23;false;false
dmr;24;false;false
dmr;25;false;false
dmr;26;false;false
dmr;27;false;false
dmr;28;false;false
dmr;29;false;false
dmr;30;false;false
dmr;31;false;false
dmr;32;false;false
dmr;33;false;false
dmr;34;false;false
dmr;35;false;false
dmr;36;false;false
dmr;37;false;false
dmr;38;false;false
dmr;39;false;false
dmr;40;false;false
dmr;41;false;false
dmr;42;false;false
dmr;43;false;false
dmr;44;false;false
dmr;45;false;false
dmr;46;false;false
dmr;47;false;false
dmr;48;false;false
dmr;49;false;false
dmr;50;false;false
dmr;51;false;false
dmr;52;false;false
dmr;53;false;false
dmr;54;false;false
dmr;55;false;false
dmr;56;false;false
dmr;57;false;false
dmr;58;false;false
dmr;59;false;false
dmr;60;false;false
dmr;61;false;false
dmr;62;false;false
dmr;63;false;false
dmr;64;false;false
dmr;65;false;false
dmr;66;false;false
dmr;67;false;false
dmr;68;false;false
dmr;69;false;false
dmr;70;false;false
dmr;71;false;false
dmr;72;false;false
dmr;73;false;false
dmr;74;false;false
dmr;75;false;false
dmr;76;false;false
dmr;77;false;false
dmr;78;false;false
dmr;79;false;false
dmr;80;false;false
dmr;81;false;false
dmr;82;false;false
dmr;83;false;false
dmr;84;false;false
dmr;85;false;false
dmr;86;false;false
dmr;87;false;false
dmr;88;false;false
dmr;89;false;false
dmr;90;false;false
dmr;91;false;false
dmr;92;false;false
dmr;93;false;false
dmr;94;false;false
dmr;95;false;false
dmr;96;false;false
dmr;97;false;false
dmr;98;false;false
dmr;99;false;false
dmr;100;false;false
dmr;101;false;false
dmr;102;false;false
dmr;103;false;false
dmr;104;false;false
dmr;105;false;false
dmr;106;false;false
dmr;107;false;false
dmr;108;false;false
dmr;109;false;false
dmr;110;false;false
dmr;111;false;false
dmr;112;false;false
dmr;113;false;false
dmr;114;false;false
dmr;115;false;false
dmr;116;false;false
dmr;117;false;false
dmr;118;false;false
dmr;119;false;false
dmr;120;false;false
dmr;121;false;false
dmr;122;false;false
dmr;123;false;false
dmr;124;false;false
dmr;125;false;false
dmr;126;false;false
dmr;127;false;false
dmr;128;false;false
dmr;129;false;false
dmr;130;false;false
dmr;131;false;false
dmr;132;false;false
dmr;133;false;false
dmr;134;false;false
dmr;135;false;false
dmr;136;false;false
dmr;137;false;false
dmr;138;false;false
dmr;139;false;false
dmr;140;false;false
dmr;141;false;false
dmr;142;false;false
dmr;143;false;false
dmr;144;false;false
dmr;145;false;false
dmr;146;false;false
dmr;147;false;false
dmr;148;false;false
dmr;149;false;false
dmr;150;false;false
dmr;151;false;false
dmr;152;false;false
dmr;153;false;false
dmr;154;false;false
dmr;155;false;false
dmr;156;false;false
dmr;157;false;false
dmr;158;false;false
dmr;159;false;false
dmr;160;false;false
dmr;161;false;false
dmr;162;false;false
dmr;163;false;false
dmr;164;false;false
dmr;165;false;false
dmr;166;false;false
dmr;167;false;false
dmr;168;false;false
dmr;169;false;false
dmr;170;false;false
dmr;171;false;false
dmr;172;false;false
dmr;173;false;false
dmr;174;false;false
dmr;175;false;false
dmr;176;false;false
dmr;177;false;false
dmr;178;false;false
dmr;179;false;false
dmr;180;false;false
dmr;181;false;false
dmr;182;false;false
dmr;183;false;false
dmr;184;false;false
dmr;185;false;false
dmr;186;false;false
dmr;187;false;false
dmr;188;false;false
dmr;189;false;false
dmr;190;false;false
dmr;191;false;false
dmr;192;false;false
dmr;193;false;false
dmr;194;false;false
dmr;195;false;false
dmr;196;false;false
dmr;197;false;false
dmr;198;false;false
dmr;199;false;false
dmr;200;false;false
dmr;201;false;false
dmr;202;false;false
dmr;203;false;false
dmr;204;false;false
dmr;205;false;false
dmr;206;false;false
dmr;207;false;false
dmr;208;false;false
dmr;209;false;false
dmr;210;false;false
dmr;211;false;false
dmr;212;false;false
dmr;213;false;false
dmr;214;false;false
dmr;215;false;false
dmr;216;false;false
dmr;217;false;false
dmr;218;false;false
dmr;219;false;false
dmr;220;false;false
dmr;221;false;false
dmr;222;false;false
dmr;223;false;false
dmr;224;false;false
dmr;225;false;false
dmr;226;false;false
dmr;227;false;false
dmr;228;false;false
dmr;229;false;false
dmr;230;false;false
dmr;231;false;false
dmr;232;false;false
dmr;233;false;false
dmr;234;false;false
dmr;235;false;false
dmr;236;false;false
dmr;237;false;false
dmr;238;false;false
dmr;239;false;false
dmr;240;false;false
dmr;241;false;false
dmr;242;false;false
dmr;243;false;false
dmr;244;false;false
dmr;245;false;false
dmr;246;false;false
dmr;247;false;false
dmr;248;false;false
dmr;249;false;false
dmr;250;false;false
dmr;251;false;false
dmr;252;false;false
dmr;253;false;false
dmr;254;false;false
dmr;255;false;false
dmr;256;false;false
dmr;257;false;false
dmr;258;false;false
dmr;259;false;false
dmr;260;false;false
dmr;261;false;false
dmr;262;false;false
dmr;263;false;false
dmr;264;false;false
dmr;265;false;false
dmr;266;false;false
dmr;267;false;false
dmr;268;false;false
dmr;269;false;false
dmr;270;false;false
dmr;271;false;false
dmr;272;false;false
dmr;273;false;false
dmr;274;false;false
dmr;275;false;false
dmr;276;false;false
dmr;277;false;false
dmr;278;false;false
dmr;279;false;false
dmr;280;false;false
dmr;281;false;false
dmr;282;false;false
dmr;283;false;false
dmr;284;false;false
dmr;285;false;false
dmr;286;false;false
dmr;287;false;false
dmr;288;false;false
dmr;289;false;false
dmr;290;false;false
dmr;291;false;false
dmr;292;false;false
dmr;293;false;false
dmr;294;false;false
dmr;295;false;false
dmr;296;false;false
dmr;297;false;false
dmr;298;false;false
dmr;299;false;false
dmr;300;false;false
dmr;301;false;false
dmr;302;false;false
dmr;303;false;false
dmr;304;false;false
dmr;305;false;false
dmr;306;false;false
dmr;307;false;false
dmr;308;false;false
dmr;309;false;false
dmr;310;false;false
dmr;311;false;false
dmr;312;false;false
dmr;313;false;false
dmr;314;false;false
dmr;315;false;false
dmr;316;false;false
dmr;317;false;false
dmr;318;false;false
dmr;319;false;false
dmr;320;false;false
dmr;321;false;false
dmr;322;false;false
dmr;323;false;false
dmr;324;false;false
dmr;325;false;false
dmr;326;false;false
dmr;327;false;false
dmr;328;false;false
dmr;329;false;false
dmr;330;false;false
dmr;331;false;false
dmr;332;false;false
dmr;333;false;false
dmr;334;false;false
dmr;335;false;false
dmr;336;false;false
dmr;337;false;false
dmr;338;false;false
dmr;339;false;false
dmr;340;false;false
dmr;341;false;false
dmr;342;false;false
dmr;343;false;false
dmr;344;false;false
dmr;345;false;false
dmr;346;false;false
dmr;347;false;false
dmr;348;false;false
dmr;349;false;false
dmr;350;false;false
dmr;351;false;false
dmr;352;false;false
dmr;353;false;false
dmr;354;false;false
dmr;355;false;false
dmr;356;false;false
dmr;357;false;false
dmr;358;false;false
dmr;359;false;false
dmr;360;false;false
dmr;361;false;false
dmr;362;false;false
dmr;363;false;false
dmr;364;false;false
dmr;365;false;false
dmr;366;false;false
dmr;367;false;false
dmr;368;false;false
dmr;369;false;false
dmr;370;false;false
dmr;371;false;false
dmr;372;false;false
dmr;373;false;false
dmr;374;false;false
dmr;375;false;false
dmr;376;false;false
dmr;377;false;false
dmr;378;false;false
dmr;379;false;false
dmr;380;false;false
dmr;381;false;false
dmr;382;false;false
dmr;383;false;false
dmr;384;false;false
dmr;385;false;false
dmr;386;false;false
dmr;387;false;false
dmr;388;false;false
dmr;389;false;false
dmr;390;false;false
dmr;391;false;false
dmr;392;false;false
dmr;393;false;false
dmr;394;false;false
dmr;395;false;false
dmr;396;false;false
dmr;397;false;false
dmr;398;false;false
dmr;399;false;false
dmr;400;false;false
dmr;401;false;false
dmr;402;false;false
dmr;403;false;false
dmr;404;false;false
dmr;405;false;false
dmr;406;false;false
dmr;407;false;false
dmr;408;false;false
dmr;409;false;false
dmr;410;false;false
dmr;411;false;false
dmr;412;false;false
dmr;413;false;false
dmr;414;false;false
dmr;415;false;false
dmr;416;false;false
dmr;417;false;false
dmr;418;false;false
dmr;419;false;false
dmr;420;false;false
dmr;421;false;false
dmr;422;false;false
dmr;423;false;false
dmr;424;false;false
dmr;425;false;false
dmr;426;false;false
dmr;427;false;false
dmr;428;false;false
dmr;429;false;false
dmr;430;false;false
dmr;431;false;false
dmr;432;false;false
dmr;433;false;false
dmr;434;false;false
dmr;435;false;false
dmr;436;false;false
dmr;437;false;false
dmr;438;false;false
dmr;439;false;false
dmr;440;false;false
dmr;441;false;false
dmr;442;false;false
dmr;443;false;false
dmr;444;false;false
dmr;445;false;false
dmr;446;false;false
dmr;447;false;false
dmr;448;false;false
dmr;449;false;false
dmr;450;false;false
dmr;451;false;false
dmr;452;false;false
dmr;453;false;false
dmr;454;false;false
dmr;455;false;false
dmr;456;false;false
dmr;457;false;false
