set;number;no_foil;foil
dmu;1;false;false
dmu;A-1;false;false
dmu;2;false;false
dmu;3;false;false
dmu;4;false;false
dmu;5;false;false
dmu;6;false;false
dmu;7;false;false
dmu;8;false;false
dmu;9;false;false
dmu;10;false;false
dmu;11;false;false
dmu;12;false;false
dmu;13;false;false
dmu;14;false;false
dmu;15;false;false
dmu;16;false;false
dmu;17;false;false
dmu;18;false;false
dmu;19;false;false
dmu;20;false;false
dmu;21;false;false
dmu;22;false;false
dmu;23;false;false
dmu;24;false;false
dmu;25;false;false
dmu;26;false;false
dmu;27;false;false
dmu;28;false;false
dmu;29;false;false
dmu;30;false;false
dmu;31;false;false
dmu;32;false;false
dmu;33;false;false
dmu;34;false;false
dmu;35;false;false
dmu;36;false;false
dmu;37;false;false
dmu;38;false;false
dmu;39;false;false
dmu;40;false;false
dmu;41;false;false
dmu;42;false;false
dmu;43;false;false
dmu;44;false;false
dmu;45;false;false
dmu;46;false;false
dmu;47;false;false
dmu;48;false;false
dmu;49;false;false
dmu;50;false;false
dmu;51;false;false
dmu;52;false;false
dmu;53;false;false
dmu;54;false;false
dmu;55;false;false
dmu;56;false;false
dmu;57;false;false
dmu;58;false;false
dmu;59;false;false
dmu;60;false;false
dmu;61;false;false
dmu;62;false;false
dmu;63;false;false
dmu;64;false;false
dmu;65;false;false
dmu;66;false;false
dmu;67;false;false
dmu;68;false;false
dmu;69;false;false
dmu;70;false;false
dmu;71;false;false
dmu;72;false;false
dmu;73;false;false
dmu;74;false;false
dmu;75;false;false
dmu;76;false;false
dmu;77;false;false
dmu;78;false;false
dmu;79;false;false
dmu;80;false;false
dmu;81;false;false
dmu;82;false;false
dmu;83;false;false
dmu;84;false;false
dmu;85;false;false
dmu;86;false;false
dmu;87;false;false
dmu;88;false;false
dmu;89;false;false
dmu;90;false;false
dmu;91;false;false
dmu;92;false;false
dmu;93;false;false
dmu;94;false;false
dmu;95;false;false
dmu;96;false;false
dmu;97;false;false
dmu;98;false;false
