set;number;no_foil;foil
dpa;1;false;false
dpa;2;false;false
dpa;3;false;false
dpa;4;false;false
dpa;5;false;false
dpa;6;false;false
dpa;7;false;false
dpa;8;false;false
dpa;9;false;false
dpa;10;false;false
dpa;11;false;false
dpa;12;false;false
dpa;13;false;false
dpa;14;false;false
dpa;15;false;false
dpa;16;false;false
dpa;17;false;false
dpa;18;false;false
dpa;19;false;false
dpa;20;false;false
dpa;21;false;false
dpa;22;false;false
dpa;23;false;false
dpa;24;false;false
dpa;25;false;false
dpa;26;false;false
dpa;27;false;false
dpa;28;false;false
dpa;29;false;false
dpa;30;false;false
dpa;31;false;false
dpa;32;false;false
dpa;33;false;false
dpa;34;false;false
dpa;35;false;false
dpa;36;false;false
dpa;37;false;false
dpa;38;false;false
dpa;39;false;false
dpa;40;false;false
dpa;41;false;false
dpa;42;false;false
dpa;43;false;false
dpa;44;false;false
dpa;45;false;false
dpa;46;false;false
dpa;47;false;false
dpa;48;false;false
dpa;49;false;false
dpa;50;false;false
dpa;51;false;false
dpa;52;false;false
dpa;53;false;false
dpa;54;false;false
dpa;55;false;false
dpa;56;false;false
dpa;57;false;false
dpa;58;false;false
dpa;59;false;false
dpa;60;false;false
dpa;61;false;false
dpa;62;false;false
dpa;63;false;false
dpa;64;false;false
dpa;65;false;false
dpa;66;false;false
dpa;67;false;false
dpa;68;false;false
dpa;69;false;false
dpa;70;false;false
dpa;71;false;false
dpa;72;false;false
dpa;73;false;false
dpa;74;false;false
dpa;75;false;false
dpa;76;false;false
dpa;77;false;false
dpa;78;false;false
dpa;79;false;false
dpa;80;false;false
dpa;81;false;false
dpa;82;false;false
dpa;83;false;false
dpa;84;false;false
dpa;85;false;false
dpa;86;false;false
dpa;87;false;false
dpa;88;false;false
dpa;89;false;false
dpa;90;false;false
dpa;91;false;false
dpa;92;false;false
dpa;93;false;false
dpa;94;false;false
dpa;95;false;false
dpa;96;false;false
dpa;97;false;false
dpa;98;false;false
dpa;99;false;false
dpa;100;false;false
dpa;101;false;false
dpa;102;false;false
dpa;103;false;false
dpa;104;false;false
dpa;105;false;false
dpa;106;false;false
dpa;107;false;false
dpa;108;false;false
dpa;109;false;false
dpa;110;false;false
dpa;111;false;false
dpa;112;false;false
dpa;113;false;false
