set;number;no_foil;foil
drc;1;false;false
drc;2;false;false
drc;3;false;false
drc;4;false;false
drc;5;false;false
drc;6;false;false
drc;7;false;false
drc;8;false;false
drc;9;false;false
drc;10;false;false
drc;11;false;false
drc;12;false;false
drc;13;false;false
drc;14;false;false
drc;15;false;false
drc;16;false;false
drc;17;false;false
drc;18;false;false
drc;19;false;false
drc;20;false;false
drc;21;false;false
drc;22;false;false
drc;23;false;false
drc;24;false;false
drc;25;false;false
drc;26;false;false
drc;27;false;false
drc;28;false;false
drc;29;false;false
drc;30;false;false
drc;31;false;false
drc;32;false;false
drc;33;false;false
drc;34;false;false
drc;35;false;false
drc;36;false;false
drc;37;false;false
drc;38;false;false
drc;39;false;false
drc;40;false;false
drc;41;false;false
drc;42;false;false
drc;43;false;false
drc;44;false;false
drc;45;false;false
drc;46;false;false
drc;47;false;false
drc;48;false;false
drc;49;false;false
drc;50;false;false
drc;51;false;false
drc;52;false;false
drc;53;false;false
drc;54;false;false
drc;55;false;false
drc;56;false;false
drc;57;false;false
drc;58;false;false
drc;59;false;false
drc;60;false;false
drc;61;false;false
drc;62;false;false
drc;63;false;false
drc;64;false;false
drc;65;false;false
drc;66;false;false
drc;67;false;false
drc;68;false;false
drc;69;false;false
drc;70;false;false
drc;71;false;false
drc;72;false;false
drc;73;false;false
drc;74;false;false
drc;75;false;false
drc;76;false;false
drc;77;false;false
drc;78;false;false
drc;79;false;false
drc;80;false;false
drc;81;false;false
drc;82;false;false
drc;83;false;false
drc;84;false;false
drc;85;false;false
drc;86;false;false
drc;87;false;false
drc;88;false;false
drc;89;false;false
drc;90;false;false
drc;91;false;false
drc;92;false;false
drc;93;false;false
drc;94;false;false
drc;95;false;false
drc;96;false;false
drc;97;false;false
drc;98;false;false
drc;99;false;false
drc;100;false;false
drc;101;false;false
drc;102;false;false
drc;103;false;false
drc;104;false;false
drc;105;false;false
drc;106;false;false
drc;107;false;false
drc;108;false;false
drc;109;false;false
drc;110;false;false
drc;111;false;false
drc;112;false;false
drc;113;false;false
drc;114;false;false
drc;115;false;false
drc;116;false;false
drc;117;false;false
drc;118;false;false
drc;119;false;false
drc;120;false;false
drc;121;false;false
drc;122;false;false
drc;123;false;false
drc;124;false;false
drc;125;false;false
drc;126;false;false
drc;127;false;false
drc;128;false;false
drc;129;false;false
drc;130;false;false
drc;131;false;false
drc;132;false;false
drc;133;false;false
drc;134;false;false
drc;135;false;false
drc;136;false;false
drc;137;false;false
drc;138;false;false
drc;139;false;false
drc;140;false;false
drc;141;false;false
drc;142;false;false
drc;143;false;false
drc;144;false;false
drc;145;false;false
drc;146;false;false
drc;147;false;false
drc;148;false;false
drc;149;false;false
drc;150;false;false
drc;151;false;false
drc;152;false;false
drc;153;false;false
drc;154;false;false
drc;155;false;false
drc;156;false;false
drc;157;false;false
drc;158;false;false
drc;159;false;false
drc;160;false;false
drc;161;false;false
drc;162;false;false
drc;163;false;false
drc;164;false;false
drc;165;false;false
drc;166;false;false
drc;167;false;false
drc;168;false;false
drc;169;false;false
drc;170;false;false
drc;171;false;false
drc;172;false;false
drc;173;false;false
drc;174;false;false
drc;175;false;false
drc;176;false;false
drc;177;false;false
drc;178;false;false
drc;179;false;false
drc;180;false;false
drc;181;false;false
drc;182;false;false
drc;183;false;false
drc;184;false;false
