set;number;no_foil;foil
drk;1;false;false
drk;2;false;false
drk;3;false;false
drk;4;false;false
drk;5;false;false
drk;6;false;false
drk;7;false;false
drk;8;false;false
drk;9;false;false
drk;10;false;false
drk;11;false;false
drk;12;false;false
drk;13;false;false
drk;14;false;false
drk;15;false;false
drk;16;false;false
drk;17;false;false
drk;18;false;false
drk;19;false;false
drk;20;false;false
drk;21;false;false
drk;22;false;false
drk;23;false;false
drk;24;false;false
drk;25;false;false
drk;26;false;false
drk;27;false;false
drk;28;false;false
drk;29;false;false
drk;30;false;false
drk;31;false;false
drk;32;false;false
drk;33;false;false
drk;34;false;false
drk;35;false;false
drk;36;false;false
drk;37;false;false
drk;38;false;false
drk;39;false;false
drk;40;false;false
drk;41;false;false
drk;42;false;false
drk;43;false;false
drk;44;false;false
drk;45;false;false
drk;46;false;false
drk;47;false;false
drk;48;false;false
drk;49;false;false
drk;50;false;false
drk;51;false;false
drk;52;false;false
drk;53;false;false
drk;54;false;false
drk;55;false;false
drk;56;false;false
drk;57;false;false
drk;58;false;false
drk;59;false;false
drk;60;false;false
drk;61;false;false
drk;62;false;false
drk;63;false;false
drk;64;false;false
drk;65;false;false
drk;66;false;false
drk;67;false;false
drk;68;false;false
drk;69;false;false
drk;70;false;false
drk;71;false;false
drk;72;false;false
drk;73;false;false
drk;74;false;false
drk;75;false;false
drk;76;false;false
drk;77;false;false
drk;78;false;false
drk;79;false;false
drk;80;false;false
drk;81;false;false
drk;82;false;false
drk;83;false;false
drk;84;false;false
drk;85;false;false
drk;86;false;false
drk;87;false;false
drk;88;false;false
drk;89;false;false
drk;90;false;false
drk;91;false;false
drk;92;false;false
drk;93;false;false
drk;94;false;false
drk;95;false;false
drk;96;false;false
drk;97;false;false
drk;98;false;false
drk;99;false;false
drk;100;false;false
drk;101;false;false
drk;102;false;false
drk;103;false;false
drk;104;false;false
drk;105;false;false
drk;106;false;false
drk;107;false;false
drk;108;false;false
drk;109;false;false
drk;110;false;false
drk;111;false;false
drk;112;false;false
drk;113;false;false
drk;114;false;false
drk;115;false;false
drk;116;false;false
drk;117;false;false
drk;118;false;false
drk;119;false;false
