set;number;no_foil;foil
dsc;1;false;false
dsc;2;false;false
dsc;3;false;false
dsc;4;false;false
dsc;5;false;false
dsc;6;false;false
dsc;7;false;false
dsc;8;false;false
dsc;9;false;false
dsc;10;false;false
dsc;11;false;false
dsc;12;false;false
dsc;13;false;false
dsc;14;false;false
dsc;15;false;false
dsc;16;false;false
dsc;17;false;false
dsc;18;false;false
dsc;19;false;false
dsc;20;false;false
dsc;21;false;false
dsc;22;false;false
dsc;23;false;false
dsc;24;false;false
dsc;25;false;false
dsc;26;false;false
dsc;27;false;false
dsc;28;false;false
dsc;29;false;false
dsc;30;false;false
dsc;31;false;false
dsc;32;false;false
dsc;33;false;false
dsc;34;false;false
dsc;35;false;false
dsc;36;false;false
dsc;37;false;false
dsc;38;false;false
dsc;39;false;false
dsc;40;false;false
dsc;41;false;false
dsc;42;false;false
dsc;43;false;false
dsc;44;false;false
dsc;45;false;false
dsc;46;false;false
dsc;47;false;false
dsc;48;false;false
dsc;49;false;false
dsc;50;false;false
dsc;51;false;false
dsc;52;false;false
dsc;53;false;false
dsc;54;false;false
dsc;55;false;false
dsc;56;false;false
dsc;57;false;false
dsc;58;false;false
dsc;59;false;false
dsc;60;false;false
dsc;61;false;false
dsc;62;false;false
dsc;63;false;false
dsc;64;false;false
dsc;65;false;false
dsc;66;false;false
dsc;67;false;false
dsc;68;false;false
dsc;69;false;false
dsc;70;false;false
dsc;71;false;false
dsc;72;false;false
dsc;73;false;false
dsc;74;false;false
dsc;75;false;false
dsc;76;false;false
dsc;77;false;false
dsc;78;false;false
dsc;79;false;false
dsc;80;false;false
dsc;81;false;false
dsc;82;false;false
dsc;83;false;false
dsc;84;false;false
dsc;85;false;false
dsc;86;false;false
dsc;87;false;false
dsc;88;false;false
dsc;89;false;false
dsc;90;false;false
dsc;91;false;false
dsc;92;false;false
dsc;93;false;false
dsc;94;false;false
dsc;95;false;false
dsc;96;false;false
dsc;97;false;false
dsc;98;false;false
dsc;99;false;false
dsc;100;false;false
dsc;101;false;false
dsc;102;false;false
dsc;103;false;false
dsc;104;false;false
dsc;105;false;false
dsc;106;false;false
dsc;107;false;false
dsc;108;false;false
dsc;109;false;false
dsc;110;false;false
dsc;111;false;false
dsc;112;false;false
dsc;113;false;false
dsc;114;false;false
dsc;115;false;false
dsc;116;false;false
dsc;117;false;false
dsc;118;false;false
dsc;119;false;false
dsc;120;false;false
dsc;121;false;false
dsc;122;false;false
dsc;123;false;false
dsc;124;false;false
dsc;125;false;false
dsc;126;false;false
dsc;127;false;false
dsc;128;false;false
dsc;129;false;false
dsc;130;false;false
dsc;131;false;false
dsc;132;false;false
dsc;133;false;false
dsc;134;false;false
dsc;135;false;false
dsc;136;false;false
dsc;137;false;false
dsc;138;false;false
dsc;139;false;false
dsc;140;false;false
dsc;141;false;false
dsc;142;false;false
dsc;143;false;false
dsc;144;false;false
dsc;145;false;false
dsc;146;false;false
dsc;147;false;false
dsc;148;false;false
dsc;149;false;false
dsc;150;false;false
dsc;151;false;false
dsc;152;false;false
dsc;153;false;false
dsc;154;false;false
dsc;155;false;false
dsc;156;false;false
dsc;157;false;false
dsc;158;false;false
dsc;159;false;false
dsc;160;false;false
dsc;161;false;false
dsc;162;false;false
dsc;163;false;false
dsc;164;false;false
dsc;165;false;false
dsc;166;false;false
dsc;167;false;false
dsc;168;false;false
dsc;169;false;false
dsc;170;false;false
dsc;171;false;false
dsc;172;false;false
dsc;173;false;false
dsc;174;false;false
dsc;175;false;false
dsc;176;false;false
dsc;177;false;false
dsc;178;false;false
dsc;179;false;false
dsc;180;false;false
dsc;181;false;false
dsc;182;false;false
dsc;183;false;false
dsc;184;false;false
dsc;185;false;false
dsc;186;false;false
dsc;187;false;false
dsc;188;false;false
dsc;189;false;false
dsc;190;false;false
dsc;191;false;false
dsc;192;false;false
dsc;193;false;false
dsc;194;false;false
dsc;195;false;false
dsc;196;false;false
dsc;197;false;false
dsc;198;false;false
dsc;199;false;false
dsc;200;false;false
dsc;201;false;false
dsc;202;false;false
dsc;203;false;false
dsc;204;false;false
dsc;205;false;false
dsc;206;false;false
dsc;207;false;false
dsc;208;false;false
dsc;209;false;false
dsc;210;false;false
dsc;211;false;false
dsc;212;false;false
dsc;213;false;false
dsc;214;false;false
dsc;215;false;false
dsc;216;false;false
dsc;217;false;false
dsc;218;false;false
dsc;219;false;false
dsc;220;false;false
dsc;221;false;false
dsc;222;false;false
dsc;223;false;false
dsc;224;false;false
dsc;225;false;false
dsc;226;false;false
dsc;227;false;false
dsc;228;false;false
dsc;229;false;false
dsc;230;false;false
dsc;231;false;false
dsc;232;false;false
dsc;233;false;false
dsc;234;false;false
dsc;235;false;false
dsc;236;false;false
dsc;237;false;false
dsc;238;false;false
dsc;239;false;false
dsc;240;false;false
dsc;241;false;false
dsc;242;false;false
dsc;243;false;false
dsc;244;false;false
dsc;245;false;false
dsc;246;false;false
dsc;247;false;false
dsc;248;false;false
dsc;249;false;false
dsc;250;false;false
dsc;251;false;false
dsc;252;false;false
dsc;253;false;false
dsc;254;false;false
dsc;255;false;false
dsc;256;false;false
dsc;257;false;false
dsc;258;false;false
dsc;259;false;false
dsc;260;false;false
dsc;261;false;false
dsc;262;false;false
dsc;263;false;false
dsc;264;false;false
dsc;265;false;false
dsc;266;false;false
dsc;267;false;false
dsc;268;false;false
dsc;269;false;false
dsc;270;false;false
dsc;271;false;false
dsc;272;false;false
dsc;273;false;false
dsc;274;false;false
dsc;275;false;false
dsc;276;false;false
dsc;277;false;false
dsc;278;false;false
dsc;279;false;false
dsc;280;false;false
dsc;281;false;false
dsc;282;false;false
dsc;283;false;false
dsc;284;false;false
dsc;285;false;false
dsc;286;false;false
dsc;287;false;false
dsc;288;false;false
dsc;289;false;false
dsc;290;false;false
dsc;291;false;false
dsc;292;false;false
dsc;293;false;false
dsc;294;false;false
dsc;295;false;false
dsc;296;false;false
dsc;297;false;false
dsc;298;false;false
dsc;299;false;false
dsc;300;false;false
dsc;301;false;false
dsc;302;false;false
dsc;303;false;false
dsc;304;false;false
dsc;305;false;false
dsc;306;false;false
dsc;307;false;false
dsc;308;false;false
dsc;309;false;false
dsc;310;false;false
dsc;311;false;false
dsc;312;false;false
dsc;313;false;false
dsc;314;false;false
dsc;315;false;false
dsc;316;false;false
dsc;317;false;false
dsc;318;false;false
dsc;319;false;false
dsc;320;false;false
dsc;321;false;false
dsc;322;false;false
dsc;323;false;false
dsc;324;false;false
dsc;325;false;false
dsc;326;false;false
dsc;327;false;false
dsc;328;false;false
dsc;329;false;false
dsc;330;false;false
dsc;331;false;false
dsc;332;false;false
dsc;333;false;false
dsc;334;false;false
dsc;335;false;false
dsc;336;false;false
dsc;337;false;false
dsc;338;false;false
dsc;339;false;false
dsc;340;false;false
dsc;341;false;false
dsc;342;false;false
dsc;343;false;false
dsc;344;false;false
dsc;345;false;false
dsc;346;false;false
dsc;347;false;false
dsc;348;false;false
dsc;349;false;false
dsc;350;false;false
dsc;351;false;false
dsc;352;false;false
dsc;353;false;false
dsc;354;false;false
dsc;355;false;false
dsc;356;false;false
dsc;357;false;false
dsc;358;false;false
dsc;359;false;false
dsc;360;false;false
dsc;361;false;false
dsc;362;false;false
dsc;363;false;false
dsc;364;false;false
dsc;365;false;false
dsc;366;false;false
dsc;367;false;false
dsc;368;false;false
dsc;369;false;false
dsc;370;false;false
dsc;371;false;false
dsc;372;false;false
dsc;373;false;false
