set;number;no_foil;foil
dsk;1;false;false
dsk;2;false;false
dsk;3;false;false
dsk;4;false;false
dsk;5;false;false
dsk;6;false;false
dsk;7;false;false
dsk;8;false;false
dsk;9;false;false
dsk;10;false;false
dsk;11;false;false
dsk;12;false;false
dsk;13;false;false
dsk;14;false;false
dsk;15;false;false
dsk;16;false;false
dsk;17;false;false
dsk;18;false;false
dsk;19;false;false
dsk;20;false;false
dsk;21;false;false
dsk;22;false;false
dsk;23;false;false
dsk;24;false;false
dsk;25;false;false
dsk;26;false;false
dsk;27;false;false
dsk;28;false;false
dsk;29;false;false
dsk;30;false;false
dsk;31;false;false
dsk;32;false;false
dsk;33;false;false
dsk;34;false;false
dsk;35;false;false
dsk;36;false;false
dsk;37;false;false
dsk;38;false;false
dsk;39;false;false
dsk;40;false;false
dsk;41;false;false
dsk;42;false;false
dsk;43;false;false
dsk;44;false;false
dsk;45;false;false
dsk;46;false;false
dsk;47;false;false
dsk;48;false;false
dsk;49;false;false
dsk;50;false;false
dsk;51;false;false
dsk;52;false;false
dsk;53;false;false
dsk;54;false;false
dsk;55;false;false
dsk;56;false;false
dsk;57;false;false
dsk;58;false;false
dsk;59;false;false
dsk;60;false;false
dsk;61;false;false
dsk;62;false;false
dsk;63;false;false
dsk;64;false;false
dsk;65;false;false
dsk;66;false;false
dsk;67;false;false
dsk;68;false;false
dsk;69;false;false
dsk;70;false;false
dsk;71;false;false
dsk;72;false;false
dsk;73;false;false
dsk;74;false;false
dsk;75;false;false
dsk;76;false;false
dsk;77;false;false
dsk;78;false;false
dsk;79;false;false
dsk;80;false;false
dsk;81;false;false
dsk;82;false;false
dsk;83;false;false
dsk;84;false;false
dsk;85;false;false
dsk;86;false;false
dsk;87;false;false
dsk;88;false;false
dsk;89;false;false
dsk;90;false;false
dsk;91;false;false
dsk;92;false;false
dsk;93;false;false
dsk;94;false;false
dsk;95;false;false
dsk;96;false;false
dsk;97;false;false
dsk;98;false;false
dsk;99;false;false
dsk;100;false;false
dsk;101;false;false
dsk;102;false;false
dsk;103;false;false
dsk;104;false;false
dsk;105;false;false
dsk;106;false;false
dsk;107;false;false
dsk;108;false;false
dsk;109;false;false
dsk;110;false;false
dsk;111;false;false
dsk;112;false;false
dsk;113;false;false
dsk;114;false;false
dsk;115;false;false
dsk;116;false;false
dsk;117;false;false
dsk;118;false;false
dsk;119;false;false
dsk;120;false;false
dsk;121;false;false
dsk;122;false;false
dsk;123;false;false
dsk;124;false;false
dsk;125;false;false
dsk;126;false;false
dsk;127;false;false
dsk;128;false;false
dsk;129;false;false
dsk;130;false;false
dsk;131;false;false
dsk;132;false;false
dsk;133;false;false
dsk;134;false;false
dsk;135;false;false
dsk;136;false;false
dsk;137;false;false
dsk;138;false;false
dsk;139;false;false
dsk;140;false;false
dsk;141;false;false
dsk;142;false;false
dsk;143;false;false
dsk;A-143;false;false
dsk;144;false;false
dsk;145;false;false
dsk;146;false;false
dsk;147;false;false
dsk;148;false;false
dsk;149;false;false
dsk;150;false;false
