set;number;no_foil;foil
dtk;1;false;false
dtk;2;false;false
dtk;3;false;false
dtk;4;false;false
dtk;5;false;false
dtk;6;false;false
dtk;7;false;false
dtk;8;false;false
dtk;9;false;false
dtk;10;false;false
dtk;11;false;false
dtk;12;false;false
dtk;13;false;false
dtk;14;false;false
dtk;15;false;false
dtk;16;false;false
dtk;17;false;false
dtk;18;false;false
dtk;19;false;false
dtk;20;false;false
dtk;21;false;false
dtk;22;false;false
dtk;23;false;false
dtk;24;false;false
dtk;25;false;false
dtk;26;false;false
dtk;27;false;false
dtk;28;false;false
dtk;29;false;false
dtk;30;false;false
dtk;31;false;false
dtk;32;false;false
dtk;33;false;false
dtk;34;false;false
dtk;35;false;false
dtk;36;false;false
dtk;37;false;false
dtk;38;false;false
dtk;39;false;false
dtk;40;false;false
dtk;41;false;false
dtk;42;false;false
dtk;43;false;false
dtk;44;false;false
dtk;45;false;false
dtk;46;false;false
dtk;47;false;false
dtk;48;false;false
dtk;49;false;false
dtk;50;false;false
dtk;51;false;false
dtk;52;false;false
dtk;53;false;false
dtk;54;false;false
dtk;55;false;false
dtk;56;false;false
dtk;57;false;false
dtk;58;false;false
dtk;59;false;false
dtk;60;false;false
dtk;61;false;false
dtk;62;false;false
dtk;63;false;false
dtk;64;false;false
dtk;65;false;false
dtk;66;false;false
dtk;67;false;false
dtk;68;false;false
dtk;69;false;false
dtk;70;false;false
dtk;71;false;false
dtk;72;false;false
dtk;73;false;false
dtk;74;false;false
dtk;75;false;false
dtk;76;false;false
dtk;77;false;false
dtk;78;false;false
dtk;79;false;false
dtk;80;false;false
dtk;81;false;false
dtk;82;false;false
dtk;83;false;false
dtk;84;false;false
dtk;85;false;false
dtk;86;false;false
dtk;87;false;false
dtk;88;false;false
dtk;89;false;false
dtk;90;false;false
dtk;91;false;false
dtk;92;false;false
dtk;93;false;false
dtk;94;false;false
dtk;95;false;false
dtk;96;false;false
dtk;97;false;false
dtk;98;false;false
dtk;99;false;false
dtk;100;false;false
dtk;101;false;false
dtk;102;false;false
dtk;103;false;false
dtk;104;false;false
dtk;105;false;false
dtk;106;false;false
dtk;107;false;false
dtk;108;false;false
dtk;109;false;false
dtk;110;false;false
dtk;111;false;false
dtk;112;false;false
dtk;113;false;false
dtk;114;false;false
dtk;115;false;false
dtk;116;false;false
dtk;117;false;false
dtk;118;false;false
dtk;119;false;false
dtk;120;false;false
dtk;121;false;false
dtk;122;false;false
dtk;123;false;false
dtk;124;false;false
dtk;125;false;false
dtk;126;false;false
dtk;127;false;false
dtk;128;false;false
dtk;129;false;false
dtk;130;false;false
dtk;131;false;false
dtk;132;false;false
dtk;133;false;false
dtk;134;false;false
dtk;135;false;false
dtk;136;false;false
dtk;137;false;false
dtk;138;false;false
dtk;139;false;false
dtk;140;false;false
dtk;141;false;false
dtk;142;false;false
dtk;143;false;false
dtk;144;false;false
dtk;145;false;false
dtk;146;false;false
dtk;147;false;false
dtk;148;false;false
dtk;149;false;false
dtk;150;false;false
dtk;151;false;false
dtk;152;false;false
dtk;153;false;false
dtk;154;false;false
dtk;155;false;false
dtk;156;false;false
dtk;157;false;false
dtk;158;false;false
dtk;159;false;false
dtk;160;false;false
dtk;161;false;false
dtk;162;false;false
dtk;163;false;false
dtk;164;false;false
dtk;165;false;false
dtk;166;false;false
dtk;167;false;false
dtk;168;false;false
dtk;169;false;false
dtk;170;false;false
dtk;171;false;false
dtk;172;false;false
dtk;173;false;false
dtk;174;false;false
dtk;175;false;false
dtk;176;false;false
dtk;177;false;false
dtk;178;false;false
dtk;179;false;false
dtk;180;false;false
dtk;181;false;false
dtk;182;false;false
dtk;183;false;false
dtk;184;false;false
dtk;185;false;false
dtk;186;false;false
dtk;187;false;false
dtk;188;false;false
dtk;189;false;false
dtk;190;false;false
dtk;191;false;false
dtk;192;false;false
dtk;193;false;false
dtk;194;false;false
dtk;195;false;false
dtk;196;false;false
dtk;197;false;false
dtk;198;false;false
dtk;199;false;false
dtk;200;false;false
dtk;201;false;false
dtk;202;false;false
dtk;203;false;false
dtk;204;false;false
dtk;205;false;false
dtk;206;false;false
dtk;207;false;false
dtk;208;false;false
dtk;209;false;false
dtk;210;false;false
dtk;211;false;false
dtk;212;false;false
dtk;213;false;false
dtk;214;false;false
dtk;215;false;false
dtk;216;false;false
dtk;217;false;false
dtk;218;false;false
dtk;219;false;false
dtk;220;false;false
dtk;221;false;false
dtk;222;false;false
dtk;223;false;false
dtk;224;false;false
dtk;225;false;false
dtk;226;false;false
dtk;227;false;false
dtk;228;false;false
dtk;229;false;false
dtk;230;false;false
dtk;231;false;false
dtk;232;false;false
dtk;233;false;false
dtk;234;false;false
dtk;235;false;false
dtk;236;false;false
dtk;237;false;false
dtk;238;false;false
dtk;239;false;false
dtk;240;false;false
dtk;241;false;false
dtk;242;false;false
dtk;243;false;false
dtk;244;false;false
dtk;245;false;false
dtk;246;false;false
dtk;247;false;false
dtk;248;false;false
dtk;249;false;false
dtk;250;false;false
dtk;251;false;false
dtk;252;false;false
dtk;253;false;false
dtk;254;false;false
dtk;255;false;false
dtk;256;false;false
dtk;257;false;false
dtk;258;false;false
dtk;259;false;false
dtk;260;false;false
dtk;261;false;false
dtk;262;false;false
dtk;263;false;false
dtk;264;false;false
