set;number;no_foil;foil
e01;1;false;false
e01;2;false;false
e01;3;false;false
e01;4;false;false
e01;5;false;false
e01;6;false;false
e01;7;false;false
e01;8;false;false
e01;9;false;false
e01;10;false;false
e01;11;false;false
e01;12;false;false
e01;13;false;false
e01;14;false;false
e01;15;false;false
e01;16;false;false
e01;17;false;false
e01;18;false;false
e01;19;false;false
e01;20;false;false
e01;21;false;false
e01;22;false;false
e01;23;false;false
e01;24;false;false
e01;25;false;false
e01;26;false;false
e01;27;false;false
e01;28;false;false
e01;29;false;false
e01;30;false;false
e01;31;false;false
e01;32;false;false
e01;33;false;false
e01;34;false;false
e01;35;false;false
e01;36;false;false
e01;37;false;false
e01;38;false;false
e01;39;false;false
e01;40;false;false
e01;41;false;false
e01;42;false;false
e01;43;false;false
e01;44;false;false
e01;45;false;false
e01;46;false;false
e01;47;false;false
e01;48;false;false
e01;49;false;false
e01;50;false;false
e01;51;false;false
e01;52;false;false
e01;53;false;false
e01;54;false;false
e01;55;false;false
e01;56;false;false
e01;57;false;false
e01;58;false;false
e01;59;false;false
e01;60;false;false
e01;61;false;false
e01;62;false;false
e01;63;false;false
e01;64;false;false
e01;65;false;false
e01;66;false;false
e01;67;false;false
e01;68;false;false
e01;69;false;false
e01;70;false;false
e01;71;false;false
e01;72;false;false
e01;73;false;false
e01;74;false;false
e01;75;false;false
e01;76;false;false
e01;77;false;false
e01;78;false;false
e01;79;false;false
e01;80;false;false
e01;81;false;false
e01;82;false;false
e01;83;false;false
e01;84;false;false
e01;85;false;false
e01;86;false;false
e01;87;false;false
e01;88;false;false
e01;89;false;false
e01;90;false;false
e01;91;false;false
e01;92;false;false
e01;93;false;false
e01;94;false;false
e01;95;false;false
e01;96;false;false
e01;97;false;false
e01;98;false;false
e01;99;false;false
e01;100;false;false
e01;101;false;false
e01;102;false;false
e01;103;false;false
e01;104;false;false
e01;105;false;false
e01;106;false;false
