set;number;no_foil;foil
eld;1;false;false
eld;2;false;false
eld;3;false;false
eld;4;false;false
eld;5;false;false
eld;6;false;false
eld;7;false;false
eld;8;false;false
eld;9;false;false
eld;10;false;false
eld;11;false;false
eld;12;false;false
eld;13;false;false
eld;14;false;false
eld;15;false;false
eld;16;false;false
eld;17;false;false
eld;18;false;false
eld;19;false;false
eld;20;false;false
eld;21;false;false
eld;22;false;false
eld;23;false;false
eld;24;false;false
eld;25;false;false
eld;26;false;false
eld;27;false;false
eld;28;false;false
eld;29;false;false
eld;30;false;false
eld;31;false;false
eld;32;false;false
eld;33;false;false
eld;34;false;false
eld;35;false;false
eld;36;false;false
eld;37;false;false
eld;38;false;false
eld;39;false;false
eld;40;false;false
eld;41;false;false
eld;42;false;false
eld;43;false;false
eld;44;false;false
eld;45;false;false
eld;46;false;false
eld;47;false;false
eld;48;false;false
eld;49;false;false
eld;50;false;false
eld;51;false;false
eld;52;false;false
eld;53;false;false
eld;54;false;false
eld;55;false;false
eld;56;false;false
eld;57;false;false
eld;58;false;false
eld;59;false;false
eld;60;false;false
eld;61;false;false
eld;62;false;false
eld;63;false;false
eld;64;false;false
eld;65;false;false
eld;66;false;false
eld;67;false;false
eld;68;false;false
eld;69;false;false
eld;70;false;false
eld;71;false;false
eld;72;false;false
eld;73;false;false
eld;74;false;false
eld;75;false;false
eld;76;false;false
eld;77;false;false
eld;78;false;false
eld;79;false;false
eld;80;false;false
eld;81;false;false
eld;A-81;false;false
eld;82;false;false
eld;83;false;false
eld;84;false;false
eld;85;false;false
eld;86;false;false
eld;87;false;false
eld;88;false;false
eld;89;false;false
eld;90;false;false
eld;91;false;false
eld;92;false;false
eld;93;false;false
eld;94;false;false
eld;95;false;false
eld;96;false;false
eld;97;false;false
eld;98;false;false
eld;99;false;false
eld;100;false;false
eld;101;false;false
eld;102;false;false
eld;103;false;false
eld;104;false;false
eld;105;false;false
eld;106;false;false
eld;107;false;false
eld;108;false;false
eld;109;false;false
eld;110;false;false
eld;111;false;false
eld;112;false;false
eld;113;false;false
eld;114;false;false
eld;115;false;false
eld;116;false;false
eld;117;false;false
eld;118;false;false
eld;119;false;false
eld;120;false;false
eld;121;false;false
eld;122;false;false
eld;123;false;false
eld;124;false;false
eld;125;false;false
eld;A-125;false;false
eld;126;false;false
eld;127;false;false
eld;128;false;false
eld;129;false;false
eld;130;false;false
eld;131;false;false
eld;132;false;false
eld;133;false;false
eld;134;false;false
eld;135;false;false
eld;136;false;false
eld;137;false;false
eld;138;false;false
eld;139;false;false
eld;140;false;false
eld;141;false;false
eld;142;false;false
eld;143;false;false
eld;144;false;false
eld;145;false;false
