set;number;no_foil;foil
ema;1;false;false
ema;2;false;false
ema;3;false;false
ema;4;false;false
ema;5;false;false
ema;6;false;false
ema;7;false;false
ema;8;false;false
ema;9;false;false
ema;10;false;false
ema;11;false;false
ema;12;false;false
ema;13;false;false
ema;14;false;false
ema;15;false;false
ema;16;false;false
ema;17;false;false
ema;18;false;false
ema;19;false;false
ema;20;false;false
ema;21;false;false
ema;22;false;false
ema;23;false;false
ema;24;false;false
ema;25;false;false
ema;26;false;false
ema;27;false;false
ema;28;false;false
ema;29;false;false
ema;30;false;false
ema;31;false;false
ema;32;false;false
ema;33;false;false
ema;34;false;false
ema;35;false;false
ema;36;false;false
ema;37;false;false
ema;38;false;false
ema;39;false;false
ema;40;false;false
ema;41;false;false
ema;42;false;false
ema;43;false;false
ema;44;false;false
ema;45;false;false
ema;46;false;false
ema;47;false;false
ema;48;false;false
ema;49;false;false
ema;50;false;false
ema;51;false;false
ema;52;false;false
ema;53;false;false
ema;54;false;false
ema;55;false;false
ema;56;false;false
ema;57;false;false
ema;58;false;false
ema;59;false;false
ema;60;false;false
ema;61;false;false
ema;62;false;false
ema;63;false;false
ema;64;false;false
ema;65;false;false
ema;66;false;false
ema;67;false;false
ema;68;false;false
ema;69;false;false
ema;70;false;false
ema;71;false;false
ema;72;false;false
ema;73;false;false
ema;74;false;false
ema;75;false;false
ema;76;false;false
ema;77;false;false
ema;78;false;false
ema;79;false;false
ema;80;false;false
ema;81;false;false
ema;82;false;false
ema;83;false;false
ema;84;false;false
ema;85;false;false
ema;86;false;false
ema;87;false;false
ema;88;false;false
ema;89;false;false
ema;90;false;false
ema;91;false;false
ema;92;false;false
ema;93;false;false
ema;94;false;false
ema;95;false;false
ema;96;false;false
ema;97;false;false
ema;98;false;false
ema;99;false;false
ema;100;false;false
ema;101;false;false
ema;102;false;false
ema;103;false;false
ema;104;false;false
ema;105;false;false
ema;106;false;false
ema;107;false;false
ema;108;false;false
ema;109;false;false
ema;110;false;false
ema;111;false;false
ema;112;false;false
ema;113;false;false
ema;114;false;false
ema;115;false;false
ema;116;false;false
ema;117;false;false
ema;118;false;false
ema;119;false;false
ema;120;false;false
ema;121;false;false
ema;122;false;false
ema;123;false;false
ema;124;false;false
ema;125;false;false
ema;126;false;false
ema;127;false;false
ema;128;false;false
ema;129;false;false
ema;130;false;false
ema;131;false;false
ema;132;false;false
ema;133;false;false
ema;134;false;false
ema;135;false;false
ema;136;false;false
ema;137;false;false
ema;138;false;false
ema;139;false;false
ema;140;false;false
ema;141;false;false
ema;142;false;false
ema;143;false;false
ema;144;false;false
ema;145;false;false
ema;146;false;false
ema;147;false;false
ema;148;false;false
ema;149;false;false
ema;150;false;false
ema;151;false;false
ema;152;false;false
ema;153;false;false
ema;154;false;false
ema;155;false;false
ema;156;false;false
ema;157;false;false
ema;158;false;false
ema;159;false;false
ema;160;false;false
ema;161;false;false
ema;162;false;false
ema;163;false;false
ema;164;false;false
ema;165;false;false
ema;166;false;false
ema;167;false;false
ema;168;false;false
ema;169;false;false
ema;170;false;false
ema;171;false;false
ema;172;false;false
ema;173;false;false
ema;174;false;false
ema;175;false;false
ema;176;false;false
ema;177;false;false
ema;178;false;false
ema;179;false;false
ema;180;false;false
ema;181;false;false
ema;182;false;false
ema;183;false;false
ema;184;false;false
ema;185;false;false
ema;186;false;false
ema;187;false;false
ema;188;false;false
ema;189;false;false
ema;190;false;false
ema;191;false;false
ema;192;false;false
ema;193;false;false
ema;194;false;false
ema;195;false;false
ema;196;false;false
ema;197;false;false
ema;198;false;false
ema;199;false;false
ema;200;false;false
ema;201;false;false
ema;202;false;false
ema;203;false;false
ema;204;false;false
ema;205;false;false
ema;206;false;false
ema;207;false;false
ema;208;false;false
ema;209;false;false
ema;210;false;false
ema;211;false;false
ema;212;false;false
ema;213;false;false
ema;214;false;false
ema;215;false;false
ema;216;false;false
ema;217;false;false
ema;218;false;false
ema;219;false;false
ema;220;false;false
ema;221;false;false
ema;222;false;false
ema;223;false;false
ema;224;false;false
ema;225;false;false
ema;226;false;false
ema;227;false;false
ema;228;false;false
ema;229;false;false
ema;230;false;false
ema;231;false;false
ema;232;false;false
ema;233;false;false
ema;234;false;false
ema;235;false;false
ema;236;false;false
ema;237;false;false
ema;238;false;false
ema;239;false;false
ema;240;false;false
ema;241;false;false
ema;242;false;false
ema;243;false;false
ema;244;false;false
ema;245;false;false
ema;246;false;false
ema;247;false;false
ema;248;false;false
ema;249;false;false
