set;number;no_foil;foil
emn;1;false;false
emn;2;false;false
emn;3;false;false
emn;4;false;false
emn;5;false;false
emn;6;false;false
emn;7;false;false
emn;8;false;false
emn;9;false;false
emn;10;false;false
emn;11;false;false
emn;12;false;false
emn;13;false;false
emn;14;false;false
emn;15a;false;false
emn;15b;false;false
emn;16;false;false
emn;17;false;false
emn;18;false;false
emn;19;false;false
emn;20;false;false
emn;21;false;false
emn;22;false;false
emn;23;false;false
emn;24;false;false
emn;25;false;false
emn;26;false;false
emn;27;false;false
emn;28;false;false
emn;29;false;false
emn;30;false;false
emn;31;false;false
emn;32;false;false
emn;33;false;false
emn;34;false;false
emn;35;false;false
emn;36;false;false
emn;37;false;false
emn;38;false;false
emn;39;false;false
emn;40;false;false
emn;41;false;false
emn;42;false;false
emn;43;false;false
emn;44;false;false
emn;45;false;false
emn;46;false;false
emn;47;false;false
emn;48;false;false
emn;49;false;false
emn;50;false;false
emn;51;false;false
emn;52;false;false
emn;53;false;false
emn;54;false;false
emn;55;false;false
emn;56;false;false
emn;57;false;false
emn;58;false;false
emn;59;false;false
emn;60;false;false
emn;61;false;false
emn;62;false;false
emn;63;false;false
emn;64;false;false
emn;65;false;false
emn;66;false;false
emn;67;false;false
emn;68;false;false
emn;69;false;false
emn;70;false;false
emn;71;false;false
emn;72;false;false
emn;73;false;false
emn;74;false;false
emn;75;false;false
emn;76;false;false
emn;77;false;false
emn;78;false;false
emn;79;false;false
emn;80;false;false
emn;81;false;false
emn;82;false;false
emn;83;false;false
emn;84;false;false
emn;85;false;false
emn;86;false;false
emn;87;false;false
emn;88;false;false
emn;89;false;false
emn;90;false;false
emn;91;false;false
emn;92;false;false
emn;93;false;false
emn;94;false;false
emn;95;false;false
emn;96a;false;false
emn;96b;false;false
emn;97;false;false
emn;98;false;false
emn;99;false;false
emn;100;false;false
emn;101;false;false
emn;102;false;false
emn;103;false;false
emn;104;false;false
emn;105;false;false
emn;106;false;false
emn;107;false;false
emn;108;false;false
emn;109;false;false
emn;110;false;false
emn;111;false;false
emn;112;false;false
emn;113;false;false
emn;114;false;false
emn;115;false;false
emn;116;false;false
emn;117;false;false
emn;118;false;false
emn;119;false;false
emn;120;false;false
emn;121;false;false
emn;122;false;false
emn;123;false;false
emn;124;false;false
emn;125;false;false
emn;126;false;false
emn;127;false;false
emn;128;false;false
emn;129;false;false
emn;130a;false;false
emn;130b;false;false
emn;131;false;false
emn;132;false;false
emn;133;false;false
emn;134;false;false
emn;135;false;false
emn;136;false;false
emn;137;false;false
emn;138;false;false
emn;139;false;false
emn;140;false;false
emn;141;false;false
emn;142;false;false
emn;143;false;false
emn;144;false;false
emn;145;false;false
emn;146;false;false
emn;147;false;false
emn;148;false;false
emn;149;false;false
emn;150;false;false
emn;151;false;false
emn;152;false;false
emn;153;false;false
emn;154;false;false
emn;155;false;false
emn;156;false;false
emn;157;false;false
emn;158;false;false
emn;159;false;false
emn;160;false;false
emn;161;false;false
emn;162;false;false
emn;163;false;false
emn;164;false;false
emn;165;false;false
emn;166;false;false
emn;167;false;false
emn;168;false;false
emn;169;false;false
emn;170;false;false
emn;171;false;false
emn;172;false;false
emn;173;false;false
emn;174;false;false
emn;175;false;false
emn;176;false;false
emn;177;false;false
emn;178;false;false
emn;179;false;false
emn;180;false;false
emn;181;false;false
emn;182;false;false
emn;183;false;false
emn;184;false;false
emn;185;false;false
emn;186;false;false
emn;187;false;false
emn;188;false;false
emn;189;false;false
emn;190;false;false
emn;191;false;false
emn;192;false;false
emn;193;false;false
emn;194;false;false
emn;195;false;false
emn;196;false;false
emn;197;false;false
emn;198;false;false
emn;199;false;false
emn;200;false;false
emn;201;false;false
emn;202;false;false
emn;203;false;false
emn;204;false;false
emn;205;false;false
