set;number;no_foil;foil
eoc;1;false;false
eoc;2;true;true
eoc;3;true;true
eoc;4;true;true
eoc;5;false;false
eoc;6;false;false
eoc;7;false;true
eoc;8;false;false
eoc;9;true;false
eoc;10;false;false
eoc;11;false;false
eoc;12;false;false
eoc;13;false;false
eoc;14;false;false
eoc;15;false;false
eoc;16;false;false
eoc;17;false;false
eoc;18;false;false
eoc;19;false;false
eoc;20;false;false
eoc;21;false;false
eoc;22;false;false
eoc;23;false;false
eoc;24;false;false
eoc;25;false;false
eoc;26;false;false
eoc;27;false;false
eoc;28;false;false
eoc;29;false;false
eoc;30;false;false
eoc;31;false;false
eoc;32;false;false
eoc;33;false;false
eoc;34;false;false
eoc;35;false;false
eoc;36;false;false
eoc;37;false;false
eoc;38;false;false
eoc;39;false;false
eoc;40;false;false
eoc;41;false;false
eoc;42;false;false
eoc;43;false;false
eoc;44;false;false
eoc;45;false;false
eoc;46;false;false
eoc;47;false;false
eoc;48;false;false
eoc;49;false;false
eoc;50;false;false
eoc;51;false;false
eoc;52;false;false
eoc;53;false;false
eoc;54;false;false
eoc;55;false;false
eoc;56;false;false
eoc;57;false;false
eoc;58;false;false
eoc;59;false;false
eoc;60;false;false
eoc;61;false;false
eoc;62;false;false
eoc;63;false;false
eoc;64;false;false
eoc;65;false;false
eoc;66;false;false
eoc;67;false;false
eoc;68;false;false
eoc;69;false;false
eoc;70;false;false
eoc;71;false;false
eoc;72;false;false
eoc;73;false;false
eoc;74;false;false
eoc;75;false;false
eoc;76;false;false
eoc;77;false;false
eoc;78;false;false
eoc;79;false;false
eoc;80;false;false
eoc;81;false;false
eoc;82;false;false
eoc;83;false;false
eoc;84;false;false
eoc;85;false;false
eoc;86;false;false
eoc;87;false;false
eoc;88;false;false
eoc;89;false;false
eoc;90;false;false
eoc;91;false;false
eoc;92;false;false
eoc;93;false;false
eoc;94;false;false
eoc;95;false;false
eoc;96;false;false
eoc;97;false;false
eoc;98;false;false
eoc;99;false;false
eoc;100;false;false
eoc;101;false;false
eoc;102;false;false
eoc;103;false;false
eoc;104;false;false
eoc;105;false;false
eoc;106;false;false
eoc;107;false;false
eoc;108;false;false
eoc;109;false;false
eoc;110;false;false
eoc;111;false;false
eoc;112;false;false
eoc;113;false;false
eoc;114;false;false
eoc;115;false;false
eoc;116;false;false
eoc;117;false;false
eoc;118;false;false
eoc;119;false;false
eoc;120;false;false
eoc;121;false;false
eoc;122;false;false
eoc;123;false;false
eoc;124;false;false
eoc;125;false;false
eoc;126;false;false
eoc;127;false;false
eoc;128;false;false
eoc;129;false;false
eoc;130;false;false
eoc;131;false;false
eoc;132;false;false
eoc;133;false;false
eoc;134;false;false
eoc;135;false;false
eoc;136;false;false
eoc;137;false;false
eoc;138;false;false
eoc;139;false;false
eoc;140;false;false
eoc;141;false;false
eoc;142;false;false
eoc;143;false;false
eoc;144;false;false
eoc;145;false;false
eoc;146;false;false
eoc;147;false;false
eoc;148;false;false
eoc;149;false;false
eoc;150;false;false
eoc;151;false;false
eoc;152;false;false
eoc;153;false;false
eoc;154;false;false
eoc;155;false;false
eoc;156;false;false
eoc;157;false;false
eoc;158;false;false
eoc;159;false;false
eoc;160;false;false
eoc;161;false;false
eoc;162;false;false
eoc;163;false;false
eoc;164;false;false
eoc;165;false;false
eoc;166;false;false
eoc;167;false;false
eoc;168;false;false
eoc;169;false;false
eoc;170;false;false
eoc;171;false;false
eoc;172;false;false
eoc;173;false;false
eoc;174;false;false
eoc;175;false;false
eoc;176;false;false
eoc;177;false;false
eoc;178;false;false
eoc;179;false;false
eoc;180;false;false
eoc;181;false;false
eoc;182;false;false
eoc;183;false;false
eoc;184;false;false
eoc;185;false;false
eoc;186;false;false
eoc;187;false;false
eoc;188;false;false
eoc;189;false;false
eoc;190;false;false
eoc;191;false;false
