set;number;no_foil;foil
eoe;1;false;false
eoe;2;false;false
eoe;3;false;false
eoe;4;false;false
eoe;5;false;false
eoe;6;false;false
eoe;7;false;false
eoe;8;false;false
eoe;9;false;false
eoe;10;false;false
eoe;11;false;false
eoe;12;false;false
eoe;13;false;false
eoe;14;false;false
eoe;15;false;false
eoe;16;false;false
eoe;17;false;false
eoe;18;false;false
eoe;19;false;false
eoe;20;false;false
eoe;21;false;false
eoe;22;false;false
eoe;23;false;false
eoe;24;false;false
eoe;25;false;false
eoe;26;false;false
eoe;27;false;false
eoe;28;false;false
eoe;29;false;false
eoe;30;false;false
eoe;31;false;false
eoe;32;false;false
eoe;33;false;false
eoe;34;false;false
eoe;35;false;false
eoe;36;false;false
eoe;37;false;false
eoe;38;false;false
eoe;39;false;false
eoe;40;false;false
eoe;41;false;false
eoe;42;false;false
eoe;43;false;false
eoe;44;false;false
eoe;45;false;false
eoe;46;false;false
eoe;47;false;false
eoe;48;false;false
eoe;49;false;false
eoe;50;false;false
eoe;51;false;false
eoe;52;false;false
eoe;53;false;false
eoe;54;false;false
eoe;55;false;false
eoe;56;false;false
eoe;57;false;false
eoe;58;false;false
eoe;59;false;false
eoe;60;false;false
eoe;61;false;false
eoe;62;false;false
eoe;63;false;false
eoe;64;false;false
eoe;65;false;false
eoe;66;false;false
eoe;67;false;false
eoe;68;false;false
eoe;69;false;false
eoe;70;false;false
eoe;71;false;false
eoe;72;false;false
eoe;73;false;false
eoe;74;false;false
eoe;75;false;false
eoe;76;false;false
eoe;77;false;false
eoe;78;false;false
eoe;79;false;false
eoe;80;false;false
eoe;81;false;false
eoe;82;false;false
eoe;83;false;false
eoe;84;false;false
eoe;85;false;false
eoe;86;false;false
eoe;87;false;false
eoe;88;false;false
eoe;89;false;false
eoe;90;false;false
eoe;91;false;false
eoe;92;false;false
eoe;93;false;false
eoe;94;false;false
eoe;95;false;false
eoe;96;false;false
eoe;97;false;false
eoe;98;false;false
eoe;99;false;false
eoe;100;false;false
eoe;101;false;false
eoe;102;false;false
eoe;103;false;false
eoe;104;false;false
eoe;105;false;false
eoe;106;false;false
eoe;107;false;false
eoe;108;false;false
eoe;109;false;false
eoe;110;false;false
eoe;111;false;false
eoe;112;false;false
eoe;113;false;false
eoe;114;false;false
eoe;115;false;false
eoe;116;false;false
eoe;117;false;false
eoe;118;false;false
eoe;119;false;false
eoe;120;false;false
eoe;121;false;false
eoe;122;false;false
eoe;123;false;false
eoe;124;false;false
eoe;125;false;false
eoe;126;false;false
eoe;127;false;false
eoe;128;false;false
eoe;129;false;false
eoe;130;false;false
eoe;131;false;false
eoe;132;false;false
eoe;133;false;false
eoe;134;false;false
eoe;135;false;false
eoe;136;false;false
eoe;137;false;false
eoe;138;false;false
eoe;139;false;false
eoe;140;false;false
eoe;141;false;false
eoe;142;false;false
eoe;143;false;false
eoe;144;false;false
eoe;145;false;false
eoe;146;false;false
eoe;147;false;false
eoe;148;false;false
eoe;149;false;false
eoe;150;false;false
eoe;151;false;false
eoe;152;false;false
eoe;153;false;false
eoe;154;false;false
eoe;155;false;false
eoe;156;false;false
eoe;157;false;false
eoe;158;false;false
eoe;159;false;false
eoe;160;false;false
eoe;161;false;false
eoe;162;false;false
eoe;163;false;false
eoe;164;false;false
eoe;165;false;false
eoe;166;false;false
eoe;167;false;false
eoe;168;false;false
eoe;169;false;false
eoe;170;false;false
eoe;171;false;false
eoe;172;false;false
eoe;173;false;false
eoe;174;false;false
eoe;175;false;false
eoe;176;false;false
eoe;177;false;false
eoe;178;false;false
eoe;179;false;false
eoe;180;false;false
eoe;181;false;false
eoe;182;false;false
eoe;183;false;false
eoe;184;false;false
eoe;185;false;false
eoe;186;false;false
eoe;187;false;false
