set;number;no_foil;foil
evg;1;false;false
evg;2;false;false
evg;3;false;false
evg;4;false;false
evg;5;false;false
evg;6;false;false
evg;7;false;false
evg;8;false;false
evg;9;false;false
evg;10;false;false
evg;11;false;false
evg;12;false;false
evg;13;false;false
evg;14;false;false
evg;15;false;false
evg;16;false;false
evg;17;false;false
evg;18;false;false
evg;19;false;false
evg;20;false;false
evg;21;false;false
evg;22;false;false
evg;23;false;false
evg;24;false;false
evg;25;false;false
evg;26;false;false
evg;27;false;false
evg;28;false;false
evg;29;false;false
evg;30;false;false
evg;31;false;false
evg;32;false;false
evg;33;false;false
evg;34;false;false
evg;35;false;false
evg;36;false;false
evg;37;false;false
evg;38;false;false
evg;39;false;false
evg;40;false;false
evg;41;false;false
evg;42;false;false
evg;43;false;false
evg;44;false;false
evg;45;false;false
evg;46;false;false
evg;47;false;false
evg;48;false;false
evg;49;false;false
evg;50;false;false
evg;51;false;false
evg;52;false;false
evg;53;false;false
evg;54;false;false
evg;55;false;false
evg;56;false;false
evg;57;false;false
evg;58;false;false
evg;59;false;false
evg;60;false;false
evg;61;false;false
evg;62;false;false
