set;number;no_foil;foil
exo;1;false;false
exo;2;false;false
exo;3;false;false
exo;4;false;false
exo;5;false;false
exo;6;false;false
exo;7;false;false
exo;8;false;false
exo;9;false;false
exo;10;false;false
exo;11;false;false
exo;12;false;false
exo;13;false;false
exo;14;false;false
exo;15;false;false
exo;16;false;false
exo;17;false;false
exo;18;false;false
exo;19;false;false
exo;20;false;false
exo;21;false;false
exo;22;false;false
exo;23;false;false
exo;24;false;false
exo;25;false;false
exo;26;false;false
exo;27;false;false
exo;28;false;false
exo;29;false;false
exo;30;false;false
exo;31;false;false
exo;32;false;false
exo;33;false;false
exo;34;false;false
exo;35;false;false
exo;36;false;false
exo;37;false;false
exo;38;false;false
exo;39;false;false
exo;40;false;false
exo;41;false;false
exo;42;false;false
exo;43;false;false
exo;44;false;false
exo;45;false;false
exo;46;false;false
exo;47;false;false
exo;48;false;false
exo;49;false;false
exo;50;false;false
exo;51;false;false
exo;52;false;false
exo;53;false;false
exo;54;false;false
exo;55;false;false
exo;56;false;false
exo;57;false;false
exo;58;false;false
exo;59;false;false
exo;60;false;false
exo;61;false;false
exo;62;false;false
exo;63;false;false
exo;64;false;false
exo;65;false;false
exo;66;false;false
exo;67;false;false
exo;68;false;false
exo;69;false;false
exo;70;false;false
exo;71;false;false
exo;72;false;false
exo;73;false;false
exo;74;false;false
exo;75;false;false
exo;76;false;false
exo;77;false;false
exo;78;false;false
exo;79;false;false
exo;80;false;false
exo;81;false;false
exo;82;false;false
exo;83;false;false
exo;84;false;false
exo;85;false;false
exo;86;false;false
exo;87;false;false
exo;88;false;false
exo;89;false;false
exo;90;false;false
exo;91;false;false
exo;92;false;false
exo;93;false;false
exo;94;false;false
exo;95;false;false
exo;96;false;false
exo;97;false;false
exo;98;false;false
exo;99;false;false
exo;100;false;false
exo;101;false;false
exo;102;false;false
exo;103;false;false
exo;104;false;false
exo;105;false;false
exo;106;false;false
exo;107;false;false
exo;108;false;false
exo;109;false;false
exo;110;false;false
exo;111;false;false
exo;112;false;false
exo;113;false;false
exo;114;false;false
exo;115;false;false
exo;116;false;false
exo;117;false;false
exo;118;false;false
exo;119;false;false
exo;120;false;false
exo;121;false;false
exo;122;false;false
exo;123;false;false
exo;124;false;false
exo;125;false;false
exo;126;false;false
exo;127;false;false
exo;128;false;false
exo;129;false;false
exo;130;false;false
exo;131;false;false
exo;132;false;false
exo;133;false;false
exo;134;false;false
exo;135;false;false
exo;136;false;false
exo;137;false;false
exo;138;false;false
exo;139;false;false
exo;140;false;false
exo;141;false;false
exo;142;false;false
exo;143;false;false
