set;number;no_foil;foil
exp;1;false;false
exp;2;false;false
exp;3;false;false
exp;4;false;false
exp;5;false;false
exp;6;false;false
exp;7;false;false
exp;8;false;false
exp;9;false;false
exp;10;false;false
exp;11;false;false
exp;12;false;false
exp;13;false;false
exp;14;false;false
exp;15;false;false
exp;16;false;false
exp;17;false;false
exp;18;false;false
exp;19;false;false
exp;20;false;false
exp;21;false;false
exp;22;false;false
exp;23;false;false
exp;24;false;false
exp;25;false;false
exp;26;false;false
exp;27;false;false
exp;28;false;false
exp;29;false;false
exp;30;false;false
exp;31;false;false
exp;32;false;false
exp;33;false;false
exp;34;false;false
exp;35;false;false
exp;36;false;false
exp;37;false;false
exp;38;false;false
exp;39;false;false
exp;40;false;false
exp;41;false;false
exp;42;false;false
exp;43;false;false
exp;44;false;false
exp;45;false;false
