set;number;no_foil;foil
fbb;1;false;false
fbb;2;false;false
fbb;3;false;false
fbb;4;false;false
fbb;5;false;false
fbb;6;false;false
fbb;7;false;false
fbb;8;false;false
fbb;9;false;false
fbb;10;false;false
fbb;11;false;false
fbb;12;false;false
fbb;13;false;false
fbb;14;false;false
fbb;15;false;false
fbb;16;false;false
fbb;17;false;false
fbb;18;false;false
fbb;19;false;false
fbb;20;false;false
fbb;21;false;false
fbb;22;false;false
fbb;23;false;false
fbb;24;false;false
fbb;25;false;false
fbb;26;false;false
fbb;27;false;false
fbb;28;false;false
fbb;29;false;false
fbb;30;false;false
fbb;31;false;false
fbb;32;false;false
fbb;33;false;false
fbb;34;false;false
fbb;35;false;false
fbb;36;false;false
fbb;37;false;false
fbb;38;false;false
fbb;39;false;false
fbb;40;false;false
fbb;41;false;false
fbb;42;false;false
fbb;43;false;false
fbb;44;false;false
fbb;45;false;false
fbb;46;false;false
fbb;47;false;false
fbb;48;false;false
fbb;49;false;false
fbb;50;false;false
fbb;51;false;false
fbb;52;false;false
fbb;53;false;false
fbb;54;false;false
fbb;55;false;false
fbb;56;false;false
fbb;57;false;false
fbb;58;false;false
fbb;59;false;false
fbb;60;false;false
fbb;61;false;false
fbb;62;false;false
fbb;63;false;false
fbb;64;false;false
fbb;65;false;false
fbb;66;false;false
fbb;67;false;false
fbb;68;false;false
fbb;69;false;false
fbb;70;false;false
fbb;71;false;false
fbb;72;false;false
fbb;73;false;false
fbb;74;false;false
fbb;75;false;false
fbb;76;false;false
fbb;77;false;false
fbb;78;false;false
fbb;79;false;false
fbb;80;false;false
fbb;81;false;false
fbb;82;false;false
fbb;83;false;false
fbb;84;false;false
fbb;85;false;false
fbb;86;false;false
fbb;87;false;false
fbb;88;false;false
fbb;89;false;false
fbb;90;false;false
fbb;91;false;false
fbb;92;false;false
fbb;93;false;false
fbb;94;false;false
fbb;95;false;false
fbb;96;false;false
fbb;97;false;false
fbb;98;false;false
fbb;99;false;false
fbb;100;false;false
fbb;101;false;false
fbb;102;false;false
fbb;103;false;false
fbb;104;false;false
fbb;105;false;false
fbb;106;false;false
fbb;107;false;false
fbb;108;false;false
fbb;109;false;false
fbb;110;false;false
fbb;111;false;false
fbb;112;false;false
fbb;113;false;false
fbb;114;false;false
fbb;115;false;false
fbb;116;false;false
fbb;117;false;false
fbb;118;false;false
fbb;119;false;false
fbb;120;false;false
fbb;121;false;false
fbb;122;false;false
fbb;123;false;false
fbb;124;false;false
fbb;125;false;false
fbb;126;false;false
fbb;127;false;false
fbb;128;false;false
fbb;129;false;false
fbb;130;false;false
fbb;131;false;false
fbb;132;false;false
fbb;133;false;false
fbb;134;false;false
fbb;135;false;false
fbb;136;false;false
fbb;137;false;false
fbb;138;false;false
fbb;139;false;false
fbb;140;false;false
fbb;141;false;false
fbb;142;false;false
fbb;143;false;false
fbb;144;false;false
fbb;145;false;false
fbb;146;false;false
fbb;147;false;false
fbb;148;false;false
fbb;149;false;false
fbb;150;false;false
fbb;151;false;false
fbb;152;false;false
fbb;153;false;false
fbb;154;false;false
fbb;155;false;false
fbb;156;false;false
fbb;157;false;false
fbb;158;false;false
fbb;159;false;false
fbb;160;false;false
fbb;161;false;false
fbb;162;false;false
fbb;163;false;false
fbb;164;false;false
fbb;165;false;false
fbb;166;false;false
fbb;167;false;false
fbb;168;false;false
fbb;169;false;false
fbb;170;false;false
fbb;171;false;false
fbb;172;false;false
fbb;173;false;false
fbb;174;false;false
fbb;175;false;false
fbb;176;false;false
fbb;177;false;false
fbb;178;false;false
fbb;179;false;false
fbb;180;false;false
fbb;181;false;false
fbb;182;false;false
fbb;183;false;false
fbb;184;false;false
fbb;185;false;false
fbb;186;false;false
fbb;187;false;false
fbb;188;false;false
fbb;189;false;false
fbb;190;false;false
fbb;191;false;false
fbb;192;false;false
fbb;193;false;false
fbb;194;false;false
fbb;195;false;false
fbb;196;false;false
fbb;197;false;false
fbb;198;false;false
fbb;199;false;false
fbb;200;false;false
fbb;201;false;false
fbb;202;false;false
fbb;203;false;false
fbb;204;false;false
fbb;205;false;false
fbb;206;false;false
fbb;207;false;false
fbb;208;false;false
fbb;209;false;false
fbb;210;false;false
fbb;211;false;false
fbb;212;false;false
fbb;213;false;false
fbb;214;false;false
fbb;215;false;false
fbb;216;false;false
fbb;217;false;false
fbb;218;false;false
fbb;219;false;false
fbb;220;false;false
fbb;221;false;false
fbb;222;false;false
fbb;223;false;false
fbb;224;false;false
fbb;225;false;false
fbb;226;false;false
fbb;227;false;false
fbb;228;false;false
fbb;229;false;false
fbb;230;false;false
fbb;231;false;false
fbb;232;false;false
fbb;233;false;false
fbb;234;false;false
fbb;235;false;false
fbb;236;false;false
fbb;237;false;false
fbb;238;false;false
fbb;239;false;false
fbb;240;false;false
fbb;241;false;false
fbb;242;false;false
fbb;243;false;false
fbb;244;false;false
fbb;245;false;false
fbb;246;false;false
fbb;247;false;false
fbb;248;false;false
fbb;249;false;false
fbb;250;false;false
fbb;251;false;false
fbb;252;false;false
fbb;253;false;false
fbb;254;false;false
fbb;255;false;false
fbb;256;false;false
fbb;257;false;false
fbb;258;false;false
fbb;259;false;false
fbb;260;false;false
fbb;261;false;false
fbb;262;false;false
fbb;263;false;false
fbb;264;false;false
fbb;265;false;false
fbb;266;false;false
fbb;267;false;false
fbb;268;false;false
fbb;269;false;false
fbb;270;false;false
fbb;271;false;false
fbb;272;false;false
fbb;273;false;false
fbb;274;false;false
fbb;275;false;false
fbb;276;false;false
fbb;277;false;false
fbb;278;false;false
fbb;279;false;false
fbb;280;false;false
fbb;281;false;false
fbb;282;false;false
fbb;283;false;false
fbb;284;false;false
fbb;285;false;false
fbb;286;false;false
fbb;287;false;false
fbb;288;false;false
fbb;289;false;false
fbb;290;false;false
fbb;291;false;false
fbb;292;false;false
fbb;293;false;false
fbb;294;false;false
fbb;295;false;false
fbb;296;false;false
fbb;297;false;false
fbb;298;false;false
fbb;299;false;false
fbb;300;false;false
fbb;301;false;false
fbb;302;false;false
fbb;303;false;false
fbb;304;false;false
fbb;305;false;false
fbb;306;false;false
fbb;306a;false;false
