set;number;no_foil;foil
fdn;1;false;false
fdn;2;false;false
fdn;3;false;false
fdn;4;false;false
fdn;5;false;false
fdn;6;false;false
fdn;7;false;false
fdn;8;false;false
fdn;9;false;false
fdn;10;false;false
fdn;11;false;false
fdn;12;false;false
fdn;13;false;false
fdn;14;false;false
fdn;15;false;false
fdn;16;false;false
fdn;17;false;false
fdn;18;false;false
fdn;19;false;false
fdn;20;false;false
fdn;21;false;false
fdn;22;false;false
fdn;23;false;false
fdn;24;false;false
fdn;25;false;false
fdn;26;false;false
fdn;27;false;false
fdn;28;false;false
fdn;29;false;false
fdn;30;false;false
fdn;31;false;false
fdn;32;false;false
fdn;33;false;false
fdn;34;false;false
fdn;35;false;false
fdn;36;false;false
fdn;37;false;false
fdn;38;false;false
fdn;39;false;false
fdn;40;false;false
fdn;41;false;false
fdn;42;false;false
fdn;43;false;false
fdn;44;false;false
fdn;45;false;false
fdn;46;false;false
fdn;47;false;false
fdn;48;false;false
fdn;49;false;false
fdn;50;false;false
fdn;51;false;false
fdn;52;false;false
fdn;53;false;false
fdn;54;false;false
fdn;55;false;false
fdn;56;false;false
fdn;57;false;false
fdn;58;false;false
fdn;59;false;false
fdn;60;false;false
fdn;61;false;false
fdn;62;false;false
fdn;63;false;false
fdn;64;false;false
fdn;65;false;false
fdn;66;false;false
fdn;67;false;false
fdn;68;false;false
fdn;69;false;false
fdn;70;false;false
fdn;71;false;false
fdn;72;false;false
fdn;73;false;false
fdn;74;false;false
fdn;75;false;false
fdn;76;false;false
fdn;77;false;false
fdn;78;false;false
fdn;79;false;false
fdn;80;false;false
fdn;81;false;false
fdn;82;false;false
fdn;83;false;false
fdn;84;false;false
fdn;85;false;false
fdn;86;false;false
fdn;87;false;false
fdn;88;false;false
fdn;89;false;false
fdn;90;false;false
fdn;91;false;false
fdn;92;false;false
fdn;93;false;false
fdn;94;false;false
fdn;95;false;false
fdn;96;false;false
fdn;97;false;false
fdn;98;false;false
fdn;99;false;false
fdn;100;false;false
fdn;101;false;false
fdn;102;false;false
fdn;103;false;false
fdn;104;false;false
fdn;105;false;false
fdn;106;false;false
fdn;107;false;false
fdn;108;false;false
fdn;109;false;false
fdn;110;false;false
fdn;111;false;false
fdn;112;false;false
fdn;113;false;false
fdn;114;false;false
fdn;115;false;false
fdn;116;false;false
fdn;117;false;false
fdn;118;false;false
fdn;119;false;false
fdn;120;false;false
fdn;121;false;false
fdn;122;false;false
fdn;123;false;false
fdn;124;false;false
fdn;125;false;false
fdn;126;false;false
fdn;127;false;false
fdn;128;false;false
fdn;129;false;false
fdn;130;false;false
fdn;131;false;false
fdn;132;false;false
fdn;133;false;false
fdn;134;false;false
fdn;135;false;false
fdn;136;false;false
fdn;137;false;false
fdn;138;false;false
fdn;139;false;false
fdn;140;false;false
fdn;141;false;false
fdn;142;false;false
fdn;143;false;false
fdn;144;false;false
fdn;145;false;false
fdn;146;false;false
fdn;147;false;false
fdn;148;false;false
fdn;149;false;false
fdn;150;false;false
fdn;151;false;false
fdn;152;false;false
fdn;153;false;false
fdn;154;false;false
fdn;155;false;false
fdn;156;false;false
fdn;157;false;false
fdn;158;false;false
fdn;159;false;false
fdn;160;false;false
fdn;161;false;false
fdn;162;false;false
fdn;163;false;false
fdn;164;false;false
fdn;165;false;false
fdn;166;false;false
fdn;167;false;false
fdn;168;false;false
fdn;169;false;false
fdn;170;false;false
fdn;171;false;false
fdn;172;false;false
fdn;173;false;false
fdn;174;false;false
fdn;175;false;false
fdn;176;false;false
fdn;177;false;false
fdn;178;false;false
fdn;179;false;false
fdn;180;false;false
fdn;181;false;false
fdn;182;false;false
fdn;183;false;false
fdn;184;false;false
fdn;185;false;false
fdn;186;false;false
fdn;187;false;false
fdn;188;false;false
fdn;189;false;false
fdn;190;false;false
fdn;191;false;false
fdn;192;false;false
fdn;193;false;false
fdn;194;false;false
fdn;195;false;false
fdn;196;false;false
fdn;197;false;false
fdn;198;false;false
fdn;199;false;false
fdn;200;false;false
fdn;201;false;false
fdn;202;false;false
fdn;203;false;false
fdn;204;false;false
fdn;205;false;false
fdn;206;false;false
fdn;207;false;false
fdn;208;false;false
fdn;209;false;false
fdn;210;false;false
fdn;211;false;false
fdn;212;false;false
fdn;213;false;false
fdn;214;false;false
fdn;215;false;false
fdn;216;false;false
fdn;217;false;false
fdn;218;false;false
fdn;219;false;false
fdn;220;false;false
fdn;221;false;false
fdn;222;false;false
fdn;223;false;false
