set;number;no_foil;foil
fem;1a;false;false
fem;1b;false;false
fem;1c;false;false
fem;1d;false;false
fem;2;false;false
fem;3a;false;false
fem;3b;false;false
fem;3c;false;false
fem;4;false;false
fem;5;false;false
fem;6;false;false
fem;7a;false;false
fem;7b;false;false
fem;7c;false;false
fem;7d;false;false
fem;8a;false;false
fem;8b;false;false
fem;8c;false;false
fem;9;false;false
fem;10a;false;false
fem;10b;false;false
fem;10c;false;false
fem;11;false;false
fem;12;false;false
fem;13a;false;false
fem;13b;false;false
fem;13c;false;false
fem;13d;false;false
fem;14;false;false
fem;15;false;false
fem;16a;false;false
fem;16b;false;false
fem;16c;false;false
fem;17;false;false
fem;18a;false;false
fem;18b;false;false
fem;18c;false;false
fem;19a;false;false
fem;19b;false;false
fem;19c;false;false
fem;19d;false;false
fem;20;false;false
fem;21;false;false
fem;22a;false;false
fem;22b;false;false
fem;22c;false;false
fem;23a;false;false
fem;23b;false;false
fem;23c;false;false
fem;23d;false;false
fem;24;false;false
fem;25;false;false
fem;26;false;false
fem;27a;false;false
fem;27b;false;false
fem;27c;false;false
fem;28;false;false
fem;29;false;false
fem;30a;false;false
fem;30b;false;false
fem;30c;false;false
fem;31a;false;false
fem;31b;false;false
fem;31c;false;false
fem;31d;false;false
fem;32;false;false
fem;33a;false;false
fem;33b;false;false
fem;33c;false;false
fem;33d;false;false
fem;34a;false;false
fem;34b;false;false
fem;34c;false;false
fem;34d;false;false
fem;35;false;false
fem;36;false;false
fem;37;false;false
fem;38a;false;false
fem;38b;false;false
fem;38c;false;false
fem;38d;false;false
fem;39a;false;false
fem;39b;false;false
fem;39c;false;false
fem;40a;false;false
fem;40b;false;false
fem;40c;false;false
fem;41a;false;false
fem;41b;false;false
fem;41c;false;false
fem;42a;false;false
fem;42b;false;false
fem;42c;false;false
fem;43;false;false
fem;44;false;false
fem;45;false;false
fem;46;false;false
fem;47;false;false
fem;48;false;false
fem;49a;false;false
fem;49b;false;false
fem;49c;false;false
fem;49d;false;false
fem;50;false;false
fem;51;false;false
fem;52;false;false
fem;53a;false;false
fem;53b;false;false
fem;53c;false;false
fem;54a;false;false
fem;54b;false;false
fem;54c;false;false
fem;55;false;false
fem;56a;false;false
fem;56b;false;false
fem;56c;false;false
fem;57;false;false
fem;58a;false;false
fem;58b;false;false
fem;58c;false;false
fem;58d;false;false
fem;59;false;false
fem;60;false;false
fem;61a;false;false
fem;61b;false;false
fem;61c;false;false
fem;62a;false;false
fem;62b;false;false
fem;62c;false;false
fem;62d;false;false
fem;63;false;false
fem;64;false;false
fem;65a;false;false
fem;65b;false;false
fem;65c;false;false
fem;65d;false;false
fem;66;false;false
fem;67a;false;false
fem;67b;false;false
fem;67c;false;false
fem;68a;false;false
fem;68b;false;false
fem;68c;false;false
fem;69;false;false
fem;70;false;false
fem;71a;false;false
fem;71b;false;false
fem;71c;false;false
fem;72a;false;false
fem;72b;false;false
fem;72c;false;false
fem;73;false;false
fem;74a;false;false
fem;74b;false;false
fem;74c;false;false
fem;74d;false;false
fem;75;false;false
fem;76;false;false
fem;77;false;false
fem;78;false;false
fem;79;false;false
fem;80a;false;false
fem;80b;false;false
fem;80c;false;false
fem;80d;false;false
fem;81;false;false
fem;82;false;false
fem;83;false;false
fem;84;false;false
fem;85;false;false
fem;86;false;false
fem;87;false;false
fem;88;false;false
fem;89;false;false
fem;90;false;false
fem;91;false;false
fem;92;false;false
fem;93;false;false
fem;94;false;false
fem;95;false;false
fem;96;false;false
fem;97;false;false
fem;98;false;false
fem;99;false;false
fem;100;false;false
fem;101;false;false
fem;102;false;false
