set;number;no_foil;foil
fic;1;false;false
fic;2;false;false
fic;3;false;false
fic;4;false;false
fic;5;false;false
fic;6;false;false
fic;7;false;false
fic;8;false;false
fic;9;false;false
fic;10;false;false
fic;11;false;false
fic;12;false;false
fic;13;false;false
fic;14;false;false
fic;15;false;false
fic;16;false;false
fic;17;false;false
fic;18;false;false
fic;19;false;false
fic;20;false;false
fic;21;false;false
fic;22;false;false
fic;23;false;false
fic;24;false;false
fic;25;false;false
fic;26;false;false
fic;27;false;false
fic;28;false;false
fic;29;false;false
fic;30;false;false
fic;31;false;false
fic;32;false;false
fic;33;false;false
fic;34;false;false
fic;35;false;false
fic;36;false;false
fic;37;false;false
fic;38;false;false
fic;39;false;false
fic;40;false;false
fic;41;false;false
fic;42;false;false
fic;43;false;false
fic;44;false;false
fic;45;false;false
fic;46;false;false
fic;47;false;false
fic;48;false;false
fic;49;false;false
fic;50;false;false
fic;51;false;false
fic;52;false;false
fic;53;false;false
fic;54;false;false
fic;55;false;false
fic;56;false;false
fic;57;false;false
fic;58;false;false
fic;59;false;false
fic;60;false;false
fic;61;false;false
fic;62;false;false
fic;63;false;false
fic;64;false;false
fic;65;false;false
fic;66;false;false
fic;67;false;false
fic;68;false;false
fic;69;false;false
fic;70;false;false
fic;71;false;false
fic;72;false;false
fic;73;false;false
fic;74;false;false
fic;75;false;false
fic;76;false;false
fic;77;false;false
fic;78;false;false
fic;79;false;false
fic;80;false;false
fic;81;false;false
fic;82;false;false
fic;83;false;false
fic;84;false;false
fic;85;false;false
fic;86;false;false
fic;87;false;false
fic;88;false;false
fic;89;false;false
fic;90;false;false
fic;91;false;false
fic;92;false;false
fic;93;false;false
fic;94;false;false
fic;95;false;false
fic;96;false;false
fic;97;false;false
fic;98;false;false
fic;99;false;false
fic;100;false;false
fic;101;false;false
fic;102;false;false
fic;103;false;false
fic;104;false;false
fic;105;false;false
fic;106;false;false
fic;107;false;false
fic;108;false;false
fic;109;false;false
fic;110;false;false
fic;111;false;false
fic;112;false;false
fic;113;false;false
fic;114;false;false
fic;115;false;false
fic;116;false;false
fic;117;false;false
fic;118;false;false
fic;119;false;false
fic;120;false;false
fic;121;false;false
fic;122;false;false
fic;123;false;false
fic;124;false;false
fic;125;false;false
fic;126;false;false
fic;127;false;false
fic;128;false;false
fic;129;false;false
fic;130;false;false
fic;131;false;false
fic;132;false;false
fic;133;false;false
fic;134;false;false
fic;135;false;false
fic;136;false;false
fic;137;false;false
fic;138;false;false
fic;139;false;false
fic;140;false;false
fic;141;false;false
fic;142;false;false
fic;143;false;false
fic;144;false;false
fic;145;false;false
fic;146;false;false
fic;147;false;false
fic;148;false;false
fic;149;false;false
fic;150;false;false
fic;151;false;false
fic;152;false;false
fic;153;false;false
fic;154;false;false
fic;155;false;false
fic;156;false;false
fic;157;false;false
fic;158;false;false
fic;159;false;false
fic;160;false;false
fic;161;false;false
fic;162;false;false
fic;163;false;false
fic;164;false;false
fic;165;false;false
fic;166;false;false
fic;167;false;false
fic;168;false;false
fic;169;false;false
fic;170;false;false
fic;171;false;false
fic;172;false;false
fic;173;false;false
fic;174;false;false
fic;175;false;false
fic;176;false;false
fic;177;false;false
fic;178;false;false
fic;179;false;false
fic;180;false;false
fic;181;false;false
fic;182;false;false
fic;183;false;false
fic;184;false;false
fic;185;false;false
fic;186;false;false
fic;187;false;false
fic;188;false;false
fic;189;false;false
fic;190;false;false
fic;191;false;false
fic;192;false;false
fic;193;false;false
fic;194;false;false
fic;195;false;false
fic;196;false;false
fic;197;false;false
fic;198;false;false
fic;199;false;false
fic;200;false;false
fic;201;false;false
fic;202;false;false
fic;203;false;false
fic;204;false;false
fic;205;false;false
fic;206;false;false
fic;207;false;false
fic;208;false;false
fic;209;false;false
fic;210;false;false
fic;211;false;false
fic;212;false;false
fic;213;false;false
fic;214;false;false
fic;215;false;false
fic;216;false;false
fic;217;false;false
fic;218;false;false
fic;219;false;false
fic;220;false;false
fic;221;false;false
fic;222;false;false
fic;223;false;false
fic;224;false;false
fic;225;false;false
fic;226;false;false
fic;227;false;false
fic;228;false;false
fic;229;false;false
fic;230;false;false
fic;231;false;false
fic;232;false;false
fic;233;false;false
fic;234;false;false
fic;235;false;false
fic;236;false;false
fic;237;false;false
fic;238;false;false
fic;239;false;false
fic;240;false;false
fic;241;false;false
fic;242;false;false
fic;243;false;false
fic;244;false;false
fic;245;false;false
fic;246;false;false
fic;247;false;false
fic;248;false;false
fic;249;false;false
fic;250;false;false
fic;251;false;false
fic;252;false;false
fic;253;false;false
fic;254;false;false
fic;255;false;false
fic;256;false;false
fic;257;false;false
fic;258;false;false
fic;259;false;false
fic;260;false;false
fic;261;false;false
fic;262;false;false
fic;263;false;false
fic;264;false;false
fic;265;false;false
fic;266;false;false
fic;267;false;false
fic;268;false;false
fic;269;false;false
fic;270;false;false
fic;271;false;false
fic;272;false;false
fic;273;false;false
fic;274;false;false
fic;275;false;false
fic;276;false;false
fic;277;false;false
fic;278;false;false
fic;279;false;false
fic;280;false;false
fic;281;false;false
fic;282;false;false
fic;283;false;false
fic;284;false;false
fic;285;false;false
fic;286;false;false
fic;287;false;false
fic;288;false;false
fic;289;false;false
fic;290;false;false
fic;291;false;false
fic;292;false;false
fic;293;false;false
fic;294;false;false
fic;295;false;false
fic;296;false;false
fic;297;false;false
fic;298;false;false
fic;299;false;false
fic;300;false;false
fic;301;false;false
fic;302;false;false
fic;303;false;false
fic;304;false;false
fic;305;false;false
fic;306;false;false
fic;307;false;false
fic;308;false;false
fic;309;false;false
fic;310;false;false
fic;311;false;false
fic;312;false;false
fic;313;false;false
fic;314;false;false
fic;315;false;false
fic;316;false;false
fic;317;false;false
fic;318;false;false
fic;319;false;false
fic;320;false;false
fic;321;false;false
fic;322;false;false
fic;323;false;false
fic;324;false;false
fic;325;false;false
fic;326;false;false
fic;327;false;false
fic;328;false;false
fic;329;false;false
fic;330;false;false
fic;331;false;false
fic;332;false;false
fic;333;false;false
fic;334;false;false
fic;335;false;false
fic;336;false;false
fic;337;false;false
fic;338;false;false
fic;339;false;false
fic;340;false;false
fic;341;false;false
fic;342;false;false
fic;343;false;false
fic;344;false;false
fic;345;false;false
fic;346;false;false
fic;347;false;false
fic;348;false;false
fic;349;false;false
fic;350;false;false
fic;351;false;false
fic;352;false;false
fic;353;false;false
fic;354;false;false
fic;355;false;false
fic;356;false;false
fic;357;false;false
fic;358;false;false
fic;359;false;false
fic;360;false;false
fic;361;false;false
fic;362;false;false
fic;363;false;false
fic;364;false;false
fic;365;false;false
fic;366;false;false
fic;367;false;false
fic;368;false;false
fic;369;false;false
fic;370;false;false
fic;371;false;false
fic;372;false;false
fic;373;false;false
fic;374;false;false
fic;375;false;false
fic;376;false;false
fic;377;false;false
fic;378;false;false
fic;379;false;false
fic;380;false;false
fic;381;false;false
fic;382;false;false
fic;383;false;false
fic;384;false;false
fic;385;false;false
fic;386;false;false
fic;387;false;false
fic;388;false;false
fic;389;false;false
fic;390;false;false
fic;391;false;false
fic;392;false;false
fic;393;false;false
fic;394;false;false
fic;395;false;false
fic;396;false;false
fic;397;false;false
fic;398;false;false
fic;399;false;false
fic;400;false;false
fic;401;false;false
fic;402;false;false
fic;403;false;false
fic;404;false;false
fic;405;false;false
fic;406;false;false
fic;407;false;false
fic;408;false;false
fic;409;false;false
fic;410;false;false
fic;411;false;false
fic;412;false;false
fic;413;false;false
fic;414;false;false
fic;415;false;false
fic;416;false;false
fic;417;false;false
fic;418;false;false
fic;419;false;false
fic;420;false;false
fic;421;false;false
fic;422;false;false
fic;423;false;false
fic;424;false;false
fic;425;false;false
fic;426;false;false
fic;427;false;false
fic;428;false;false
fic;429;false;false
fic;430;false;false
fic;431;false;false
fic;432;false;false
fic;433;false;false
fic;434;false;false
fic;435;false;false
fic;436;false;false
fic;437;false;false
fic;438;false;false
fic;439;false;false
