set;number;no_foil;foil
fin;1;false;false
fin;2;false;false
fin;3;false;false
fin;4;false;false
fin;5;false;false
fin;6;false;false
fin;7;false;false
fin;8;false;false
fin;9;false;false
fin;10;false;false
fin;11;false;false
fin;12;false;false
fin;13;false;false
fin;14;false;false
fin;15;false;false
fin;16;false;false
fin;17;false;false
fin;18;false;false
fin;19;false;false
fin;20;false;false
fin;21;false;false
fin;22;false;false
fin;23;false;false
fin;24;false;false
fin;25;false;false
fin;26;false;false
fin;27;false;false
fin;28;false;false
fin;29;false;false
fin;30;false;false
fin;31;false;false
fin;32;false;false
fin;33;false;false
fin;34;false;false
fin;35;false;false
fin;36;false;false
fin;37;false;false
fin;38;false;false
fin;39;false;false
fin;40;false;false
fin;41;false;false
fin;42;false;false
fin;43;false;false
fin;44;false;false
fin;45;false;false
fin;46;false;false
fin;47;false;false
fin;48;false;false
fin;49;false;false
fin;50;false;false
fin;51;false;false
fin;52;false;false
fin;53;false;false
fin;54;false;false
fin;55;false;false
fin;56;false;false
fin;57;false;false
fin;58;false;false
fin;59;false;false
fin;60;false;false
fin;61;false;false
fin;62;false;false
fin;63;false;false
fin;64;false;false
fin;65;false;false
fin;66;false;false
fin;67;false;false
fin;68;false;false
fin;69;false;false
fin;70;false;false
fin;71;false;false
fin;72;false;false
fin;73;false;false
fin;74;false;false
fin;75;false;false
fin;76;false;false
fin;77;false;false
fin;78;false;false
fin;79;false;false
fin;80;false;false
fin;81;false;false
fin;82;false;false
fin;83;false;false
fin;84;false;false
fin;85;false;false
fin;86;false;false
fin;87;false;false
fin;88;false;false
fin;89;false;false
fin;90;false;false
fin;91;false;false
fin;92;false;false
fin;93;false;false
fin;94;false;false
fin;95;false;false
fin;96;false;false
fin;97;false;false
fin;98;false;false
fin;99;false;false
fin;99b;false;false
fin;100;false;false
fin;101;false;false
fin;102;false;false
fin;103;false;false
fin;104;false;false
fin;105;false;false
fin;106;false;false
fin;107;false;false
fin;108;false;false
fin;109;false;false
fin;110;false;false
fin;111;false;false
fin;112;false;false
fin;113;false;false
fin;114;false;false
fin;115;false;false
fin;116;false;false
fin;117;false;false
fin;118;false;false
fin;119;false;false
fin;120;false;false
fin;121;false;false
fin;122;false;false
fin;123;false;false
fin;124;false;false
fin;125;false;false
fin;126;false;false
fin;127;false;false
fin;128;false;false
fin;129;false;false
fin;130;false;false
fin;131;false;false
fin;132;false;false
fin;133;false;false
fin;134;false;false
fin;135;false;false
fin;136;false;false
fin;137;false;false
fin;138;false;false
fin;139;false;false
fin;140;false;false
fin;141;false;false
fin;142;false;false
fin;143;false;false
fin;144;false;false
fin;145;false;false
fin;146;false;false
fin;147;false;false
fin;148;false;false
fin;149;false;false
fin;150;false;false
fin;151;false;false
fin;152;false;false
fin;153;false;false
fin;154;false;false
fin;155;false;false
fin;156;false;false
fin;157;false;false
fin;158;false;false
fin;159;false;false
fin;160;false;false
fin;161;false;false
fin;162;false;false
fin;163;false;false
fin;164;false;false
fin;165;false;false
fin;166;false;false
fin;167;false;false
fin;168;false;false
fin;169;false;false
fin;170;false;false
fin;171;false;false
fin;172;false;false
fin;173;false;false
fin;174;false;false
fin;175;false;false
fin;176;false;false
fin;177;false;false
fin;178;false;false
fin;179;false;false
fin;180;false;false
fin;181;false;false
fin;182;false;false
fin;183;false;false
fin;184;false;false
fin;185;false;false
fin;186;false;false
fin;187;false;false
fin;188;false;false
fin;189;false;false
fin;190;false;false
fin;191;false;false
fin;192;false;false
fin;193;false;false
fin;194;false;false
fin;195;false;false
fin;196;false;false
fin;197;false;false
fin;198;false;false
fin;199;false;false
fin;200;false;false
fin;201;false;false
fin;202;false;false
fin;203;false;false
fin;204;false;false
fin;205;false;false
fin;206;false;false
fin;207;false;false
fin;208;false;false
fin;209;false;false
fin;210;false;false
fin;211;false;false
fin;212;false;false
fin;213;false;false
fin;214;false;false
fin;215;false;false
fin;216;false;false
fin;217;false;false
fin;218;false;false
fin;219;false;false
fin;220;false;false
fin;221;false;false
fin;222;false;false
fin;223;false;false
fin;224;false;false
fin;225;false;false
fin;226;false;false
fin;227;false;false
fin;228;false;false
fin;229;false;false
fin;230;false;false
fin;231;false;false
fin;232;false;false
fin;233;false;false
fin;234;false;false
fin;235;false;false
fin;236;false;false
fin;237;false;false
fin;238;false;false
fin;239;false;false
fin;240;false;false
fin;241;false;false
fin;242;false;false
fin;243;false;false
fin;244;false;false
fin;245;false;false
fin;246;false;false
fin;247;false;false
fin;248;false;false
fin;249;false;false
fin;250;false;false
fin;251;false;false
fin;252;false;false
fin;253;false;false
fin;254;false;false
fin;255;false;false
fin;256;false;false
fin;257;false;false
fin;258;false;false
fin;259;false;false
fin;260;false;false
fin;261;false;false
fin;262;false;false
fin;263;false;false
fin;264;false;false
fin;265;false;false
fin;266;false;false
fin;267;false;false
fin;268;false;false
fin;269;false;false
fin;270;false;false
fin;271;false;false
fin;272;false;false
fin;273;false;false
fin;274;false;false
fin;275;false;false
fin;276;false;false
fin;277;false;false
fin;278;false;false
fin;279;false;false
fin;280;false;false
fin;281;false;false
fin;282;false;false
fin;283;false;false
fin;284;false;false
fin;285;false;false
fin;286;false;false
fin;287;false;false
fin;288;false;false
fin;289;false;false
fin;290;false;false
fin;291;false;false
fin;292;false;false
fin;293;false;false
fin;294;false;false
fin;295;false;false
fin;296;false;false
fin;297;false;false
fin;298;false;false
fin;299;false;false
fin;300;false;false
fin;301;false;false
fin;302;false;false
fin;303;false;false
fin;304;false;false
fin;305;false;false
fin;306;false;false
fin;307;false;false
fin;308;false;false
fin;309;false;false
fin;310;false;false
fin;311;false;false
fin;312;false;false
fin;313;false;false
fin;314;false;false
fin;315;false;false
fin;316;false;false
fin;317;false;false
fin;318;false;false
fin;319;false;false
fin;320;false;false
fin;321;false;false
fin;322;false;false
fin;323;false;false
fin;324;false;false
fin;325;false;false
fin;326;false;false
fin;327;false;false
fin;328;false;false
fin;329;false;false
fin;330;false;false
fin;331;false;false
fin;332;false;false
fin;333;false;false
fin;334;false;false
fin;335;false;false
fin;336;false;false
fin;337;false;false
fin;338;false;false
fin;339;false;false
fin;340;false;false
fin;341;false;false
fin;342;false;false
fin;343;false;false
fin;344;false;false
fin;345;false;false
fin;346;false;false
fin;347;false;false
fin;348;false;false
fin;349;false;false
fin;350;false;false
fin;351;false;false
fin;352;false;false
fin;353;false;false
fin;354;false;false
fin;355;false;false
fin;356;false;false
fin;357;false;false
fin;358;false;false
fin;359;false;false
fin;360;false;false
fin;361;false;false
fin;362;false;false
fin;363;false;false
fin;364;false;false
fin;365;false;false
fin;366;false;false
fin;367;false;false
fin;368;false;false
fin;369;false;false
fin;370;false;false
fin;371;false;false
fin;372;false;false
fin;373;false;false
fin;374;false;false
fin;375;false;false
fin;376;false;false
fin;377;false;false
fin;378;false;false
fin;379;false;false
fin;380;false;false
fin;381;false;false
fin;381b;false;false
fin;382;false;false
fin;383;false;false
fin;384;false;false
fin;385;false;false
fin;386;false;false
fin;387;false;false
fin;388;false;false
fin;389;false;false
fin;390;false;false
fin;391;false;false
fin;392;false;false
fin;393;false;false
fin;394;false;false
fin;395;false;false
fin;396;false;false
fin;397;false;false
fin;398;false;false
fin;399;false;false
fin;400;false;false
fin;401;false;false
fin;402;false;false
fin;403;false;false
fin;404;false;false
fin;405;false;false
fin;406;false;false
fin;407;false;false
fin;408;false;false
fin;409;false;false
fin;410;false;false
fin;411;false;false
fin;412;false;false
fin;413;false;false
fin;414;false;false
fin;415;false;false
fin;416;false;false
fin;417;false;false
fin;418;false;false
fin;419;false;false
fin;420;false;false
fin;421;false;false
fin;422;false;false
fin;423;false;false
fin;424;false;false
fin;425;false;false
fin;426;false;false
fin;427;false;false
fin;428;false;false
fin;429;false;false
fin;430;false;false
fin;431;false;false
fin;432;false;false
fin;433;false;false
fin;434;false;false
fin;435;false;false
fin;436;false;false
fin;437;false;false
fin;438;false;false
fin;439;false;false
fin;440;false;false
fin;441;false;false
fin;442;false;false
fin;443;false;false
fin;444;false;false
fin;445;false;false
fin;446;false;false
fin;446b;false;false
fin;447;false;false
fin;448;false;false
fin;449;false;false
fin;450;false;false
fin;451;false;false
fin;452;false;false
fin;453;false;false
fin;454;false;false
fin;455;false;false
fin;456;false;false
fin;457;false;false
fin;458;false;false
fin;459;false;false
fin;460;false;false
fin;461;false;false
fin;462;false;false
fin;463;false;false
fin;464;false;false
fin;465;false;false
fin;466;false;false
fin;467;false;false
fin;468;false;false
fin;469;false;false
fin;470;false;false
fin;471;false;false
fin;472;false;false
fin;473;false;false
fin;474;false;false
fin;475;false;false
fin;476;false;false
fin;477;false;false
fin;478;false;false
fin;479;false;false
fin;480;false;false
fin;481;false;false
fin;482;false;false
fin;483;false;false
fin;484;false;false
fin;485;false;false
fin;486;false;false
fin;487;false;false
fin;488;false;false
fin;489;false;false
fin;490;false;false
fin;491;false;false
fin;492;false;false
fin;493;false;false
fin;494;false;false
fin;495;false;false
fin;496;false;false
fin;497;false;false
fin;498;false;false
fin;499;false;false
fin;500;false;false
fin;501;false;false
fin;502;false;false
fin;503;false;false
fin;504;false;false
fin;505;false;false
fin;506;false;false
fin;507;false;false
fin;508;false;false
fin;509;false;false
fin;510;false;false
fin;511;false;false
fin;512;false;false
fin;513;false;false
fin;514;false;false
fin;515;false;false
fin;516;false;false
fin;517;false;false
fin;518;false;false
fin;519;false;false
fin;520;false;false
fin;521;false;false
fin;522;false;false
fin;523;false;false
fin;524;false;false
fin;525;false;false
fin;526;false;false
fin;526b;false;false
fin;527;false;false
fin;528;false;false
fin;529;false;false
fin;530;false;false
fin;531;false;false
fin;532;false;false
fin;533;false;false
fin;534;false;false
fin;535;false;false
fin;536;false;false
fin;537;false;false
fin;538;false;false
fin;539;false;false
fin;540;false;false
fin;541;false;false
fin;542;false;false
fin;543;false;false
fin;544;false;false
fin;545;false;false
fin;546;false;false
fin;547;false;false
fin;548;false;false
fin;549;false;false
fin;550;false;false
fin;551;false;false
fin;551a;false;false
fin;551b;false;false
fin;551c;false;false
fin;551d;false;false
fin;551f;false;false
fin;552;false;false
fin;553;false;false
fin;554;false;false
fin;555;false;false
fin;556;false;false
fin;557;false;false
fin;558;false;false
fin;559;false;false
fin;560;false;false
fin;561;false;false
fin;562;false;false
fin;563;false;false
fin;572;false;false
fin;573;false;false
fin;574;false;false
fin;575;false;false
fin;576;false;false
fin;577;false;false
fin;578;false;false
fin;579;false;false
fin;580;false;false
fin;581;false;false
fin;582;false;false
fin;583;false;false
fin;584;false;false
fin;585;false;false
