set;number;no_foil;foil
frf;1;false;false
frf;2;false;false
frf;3;false;false
frf;4;false;false
frf;5;false;false
frf;6;false;false
frf;7;false;false
frf;8;false;false
frf;8★;false;false
frf;9;false;false
frf;10;false;false
frf;11;false;false
frf;12;false;false
frf;13;false;false
frf;14;false;false
frf;15;false;false
frf;16;false;false
frf;17;false;false
frf;18;false;false
frf;19;false;false
frf;20;false;false
frf;21;false;false
frf;22;false;false
frf;23;false;false
frf;24;false;false
frf;25;false;false
frf;26;false;false
frf;27;false;false
frf;28;false;false
frf;29;false;false
frf;30;false;false
frf;31;false;false
frf;32;false;false
frf;33;false;false
frf;34;false;false
frf;35;false;false
frf;36;false;false
frf;37;false;false
frf;38;false;false
frf;39;false;false
frf;40;false;false
frf;41;false;false
frf;42;false;false
frf;43;false;false
frf;43★;false;false
frf;44;false;false
frf;45;false;false
frf;46;false;false
frf;47;false;false
frf;48;false;false
frf;49;false;false
frf;50;false;false
frf;51;false;false
frf;52;false;false
frf;53;false;false
frf;54;false;false
frf;55;false;false
frf;56;false;false
frf;57;false;false
frf;58;false;false
frf;59;false;false
frf;60;false;false
frf;61;false;false
frf;62;false;false
frf;63;false;false
frf;64;false;false
frf;65;false;false
frf;65★;false;false
frf;66;false;false
frf;67;false;false
frf;68;false;false
frf;69;false;false
frf;70;false;false
frf;71;false;false
frf;72;false;false
frf;73;false;false
frf;74;false;false
frf;75;false;false
frf;76;false;false
frf;77;false;false
frf;78;false;false
frf;79;false;false
frf;79★;false;false
frf;80;false;false
frf;81;false;false
frf;82;false;false
frf;83;false;false
frf;84;false;false
frf;85;false;false
frf;86;false;false
frf;87;false;false
frf;88;false;false
frf;89;false;false
frf;90;false;false
frf;91;false;false
frf;92;false;false
frf;93;false;false
frf;94;false;false
frf;95;false;false
frf;96;false;false
frf;97;false;false
frf;98;false;false
frf;99;false;false
frf;100;false;false
frf;101;false;false
frf;102;false;false
frf;103;false;false
frf;104;false;false
frf;105;false;false
frf;106;false;false
frf;107;false;false
frf;108;false;false
frf;109;false;false
frf;110;false;false
frf;110★;false;false
frf;111;false;false
frf;112;false;false
frf;113;false;false
frf;114;false;false
frf;115;false;false
frf;116;false;false
frf;117;false;false
frf;118;false;false
frf;119;false;false
frf;120;false;false
frf;121;false;false
frf;122;false;false
frf;123;false;false
frf;124;false;false
frf;125;false;false
frf;126;false;false
frf;127;false;false
frf;128;false;false
frf;129;false;false
frf;130;false;false
frf;131;false;false
frf;131★;false;false
frf;132;false;false
frf;133;false;false
frf;134;false;false
frf;135;false;false
frf;136;false;false
frf;137;false;false
frf;138;false;false
frf;139;false;false
frf;140;false;false
frf;141;false;false
frf;142;false;false
frf;143;false;false
frf;144;false;false
frf;145;false;false
frf;146;false;false
frf;147;false;false
frf;148;false;false
frf;149;false;false
frf;150;false;false
frf;151;false;false
frf;152;false;false
frf;153;false;false
frf;154;false;false
frf;155;false;false
frf;156;false;false
frf;157;false;false
frf;158;false;false
frf;159;false;false
frf;160;false;false
frf;161;false;false
frf;162;false;false
frf;163;false;false
frf;164;false;false
frf;165;false;false
frf;166;false;false
frf;167;false;false
frf;168;false;false
frf;169;false;false
frf;170;false;false
frf;171;false;false
frf;172;false;false
frf;173;false;false
frf;174;false;false
frf;175;false;false
frf;176;false;false
frf;177;false;false
frf;178;false;false
frf;179;false;false
frf;180;false;false
frf;181;false;false
frf;182;false;false
frf;183;false;false
frf;184;false;false
frf;185;false;false
