set;number;no_foil;foil
fut;1;false;false
fut;2;false;false
fut;3;false;false
fut;4;false;false
fut;5;false;false
fut;6;false;false
fut;7;false;false
fut;8;false;false
fut;9;false;false
fut;10;false;false
fut;11;false;false
fut;12;false;false
fut;13;false;false
fut;14;false;false
fut;15;false;false
fut;16;false;false
fut;17;false;false
fut;18;false;false
fut;19;false;false
fut;20;false;false
fut;21;false;false
fut;22;false;false
fut;23;false;false
fut;24;false;false
fut;25;false;false
fut;26;false;false
fut;27;false;false
fut;28;false;false
fut;29;false;false
fut;30;false;false
fut;31;false;false
fut;32;false;false
fut;33;false;false
fut;34;false;false
fut;35;false;false
fut;36;false;false
fut;37;false;false
fut;38;false;false
fut;39;false;false
fut;40;false;false
fut;41;false;false
fut;42;false;false
fut;43;false;false
fut;44;false;false
fut;45;false;false
fut;46;false;false
fut;47;false;false
fut;48;false;false
fut;49;false;false
fut;50;false;false
fut;51;false;false
fut;52;false;false
fut;53;false;false
fut;54;false;false
fut;55;false;false
fut;56;false;false
fut;57;false;false
fut;58;false;false
fut;59;false;false
fut;60;false;false
fut;61;false;false
fut;62;false;false
fut;63;false;false
fut;64;false;false
fut;65;false;false
fut;66;false;false
fut;67;false;false
fut;68;false;false
fut;69;false;false
fut;70;false;false
fut;71;false;false
fut;72;false;false
fut;73;false;false
fut;74;false;false
fut;75;false;false
fut;76;false;false
fut;77;false;false
fut;78;false;false
fut;79;false;false
fut;80;false;false
fut;81;false;false
fut;82;false;false
fut;83;false;false
fut;84;false;false
fut;85;false;false
fut;86;false;false
fut;87;false;false
fut;88;false;false
fut;89;false;false
fut;90;false;false
fut;91;false;false
fut;92;false;false
fut;93;false;false
fut;94;false;false
fut;95;false;false
fut;96;false;false
fut;97;false;false
fut;98;false;false
fut;99;false;false
fut;100;false;false
fut;101;false;false
fut;102;false;false
fut;103;false;false
fut;104;false;false
fut;105;false;false
fut;106;false;false
fut;107;false;false
fut;108;false;false
fut;109;false;false
fut;110;false;false
fut;111;false;false
fut;112;false;false
fut;113;false;false
fut;114;false;false
fut;115;false;false
fut;116;false;false
fut;117;false;false
fut;118;false;false
fut;119;false;false
fut;120;false;false
fut;121;false;false
fut;122;false;false
fut;123;false;false
fut;124;false;false
fut;125;false;false
fut;126;false;false
fut;127;false;false
fut;128;false;false
fut;129;false;false
fut;130;false;false
fut;131;false;false
fut;132;false;false
fut;133;false;false
fut;134;false;false
fut;135;false;false
fut;136;false;false
fut;137;false;false
fut;138;false;false
fut;139;false;false
fut;140;false;false
fut;141;false;false
fut;142;false;false
fut;143;false;false
fut;144;false;false
fut;145;false;false
fut;146;false;false
fut;147;false;false
fut;148;false;false
fut;149;false;false
fut;150;false;false
fut;151;false;false
fut;152;false;false
fut;153;false;false
fut;154;false;false
fut;155;false;false
fut;156;false;false
fut;157;false;false
fut;158;false;false
fut;159;false;false
fut;160;false;false
fut;161;false;false
fut;162;false;false
fut;163;false;false
fut;164;false;false
fut;165;false;false
fut;166;false;false
fut;167;false;false
fut;168;false;false
fut;169;false;false
fut;170;false;false
fut;171;false;false
fut;172;false;false
fut;173;false;false
fut;174;false;false
fut;175;false;false
fut;176;false;false
fut;177;false;false
fut;178;false;false
fut;179;false;false
fut;180;false;false
