set;number;no_foil;foil
gk1;1;false;false
gk1;2;false;false
gk1;3;false;false
gk1;4;false;false
gk1;5;false;false
gk1;6;false;false
gk1;7;false;false
gk1;8;false;false
gk1;9;false;false
gk1;10;false;false
gk1;11;false;false
gk1;12;false;false
gk1;13;false;false
gk1;14;false;false
gk1;15;false;false
gk1;16;false;false
gk1;17;false;false
gk1;18;false;false
gk1;19;false;false
gk1;20;false;false
gk1;21;false;false
gk1;22;false;false
gk1;23;false;false
gk1;24;false;false
gk1;25;false;false
gk1;26;false;false
gk1;27;false;false
gk1;28;false;false
gk1;29;false;false
gk1;30;false;false
gk1;31;false;false
gk1;32;false;false
gk1;33;false;false
gk1;34;false;false
gk1;35;false;false
gk1;36;false;false
gk1;37;false;false
gk1;38;false;false
gk1;39;false;false
gk1;40;false;false
gk1;41;false;false
gk1;42;false;false
gk1;43;false;false
gk1;44;false;false
gk1;45;false;false
gk1;46;false;false
gk1;47;false;false
gk1;48;false;false
gk1;49;false;false
gk1;50;false;false
gk1;51;false;false
gk1;52;false;false
gk1;53;false;false
gk1;54;false;false
gk1;55;false;false
gk1;56;false;false
gk1;57;false;false
gk1;58;false;false
gk1;59;false;false
gk1;60;false;false
gk1;61;false;false
gk1;62;false;false
gk1;63;false;false
gk1;64;false;false
gk1;65;false;false
gk1;66;false;false
gk1;67;false;false
gk1;68;false;false
gk1;69;false;false
gk1;70;false;false
gk1;71;false;false
gk1;72;false;false
gk1;73;false;false
gk1;74;false;false
gk1;75;false;false
gk1;76;false;false
gk1;77;false;false
gk1;78;false;false
gk1;79;false;false
gk1;80;false;false
gk1;81;false;false
gk1;82;false;false
gk1;83;false;false
gk1;84;false;false
gk1;85;false;false
gk1;86;false;false
gk1;87;false;false
gk1;88;false;false
gk1;89;false;false
gk1;90;false;false
gk1;91;false;false
gk1;92;false;false
gk1;93;false;false
gk1;94;false;false
gk1;95;false;false
gk1;96;false;false
gk1;97;false;false
gk1;98;false;false
gk1;99;false;false
gk1;100;false;false
gk1;101;false;false
gk1;102;false;false
gk1;103;false;false
gk1;104;false;false
gk1;105;false;false
gk1;106;false;false
gk1;107;false;false
gk1;108;false;false
gk1;109;false;false
gk1;110;false;false
gk1;111;false;false
gk1;112;false;false
gk1;113;false;false
gk1;114;false;false
gk1;115;false;false
gk1;116;false;false
gk1;117;false;false
gk1;118;false;false
gk1;119;false;false
gk1;120;false;false
gk1;121;false;false
gk1;122;false;false
gk1;123;false;false
gk1;124;false;false
gk1;125;false;false
gk1;126;false;false
gk1;127;false;false
