set;number;no_foil;foil
gn3;1;false;false
gn3;2;false;false
gn3;3;false;false
gn3;4;false;false
gn3;5;false;false
gn3;6;false;false
gn3;7;false;false
gn3;8;false;false
gn3;9;false;false
gn3;10;false;false
gn3;11;false;false
gn3;12;false;false
gn3;13;false;false
gn3;14;false;false
gn3;15;false;false
gn3;16;false;false
gn3;17;false;false
gn3;18;false;false
gn3;19;false;false
gn3;20;false;false
gn3;21;false;false
gn3;22;false;false
gn3;23;false;false
gn3;24;false;false
gn3;25;false;false
gn3;26;false;false
gn3;27;false;false
gn3;28;false;false
gn3;29;false;false
gn3;30;false;false
gn3;31;false;false
gn3;32;false;false
gn3;33;false;false
gn3;34;false;false
gn3;35;false;false
gn3;36;false;false
gn3;37;false;false
gn3;38;false;false
gn3;39;false;false
gn3;40;false;false
gn3;41;false;false
gn3;42;false;false
gn3;43;false;false
gn3;44;false;false
gn3;45;false;false
gn3;46;false;false
gn3;47;false;false
gn3;48;false;false
gn3;49;false;false
gn3;50;false;false
gn3;51;false;false
gn3;52;false;false
gn3;53;false;false
gn3;54;false;false
gn3;55;false;false
gn3;56;false;false
gn3;57;false;false
gn3;58;false;false
gn3;59;false;false
gn3;60;false;false
gn3;61;false;false
gn3;62;false;false
gn3;63;false;false
gn3;64;false;false
gn3;65;false;false
gn3;67;false;false
gn3;68;false;false
gn3;69;false;false
gn3;70;false;false
gn3;71;false;false
gn3;72;false;false
gn3;73;false;false
gn3;74;false;false
gn3;75;false;false
gn3;76;false;false
gn3;77;false;false
gn3;78;false;false
gn3;79;false;false
gn3;80;false;false
gn3;81;false;false
gn3;82;false;false
gn3;83;false;false
gn3;84;false;false
gn3;85;false;false
gn3;86;false;false
gn3;87;false;false
gn3;88;false;false
gn3;89;false;false
gn3;90;false;false
gn3;91;false;false
gn3;92;false;false
gn3;93;false;false
gn3;94;false;false
gn3;95;false;false
gn3;96;false;false
gn3;97;false;false
gn3;98;false;false
gn3;99;false;false
gn3;100;false;false
gn3;101;false;false
gn3;102;false;false
gn3;103;false;false
gn3;104;false;false
gn3;105;false;false
gn3;106;false;false
gn3;107;false;false
gn3;108;false;false
gn3;109;false;false
gn3;110;false;false
gn3;111;false;false
gn3;112;false;false
gn3;113;false;false
gn3;114;false;false
gn3;115;false;false
gn3;116;false;false
gn3;117;false;false
gn3;118;false;false
gn3;119;false;false
gn3;120;false;false
gn3;121;false;false
gn3;122;false;false
gn3;123;false;false
gn3;124;false;false
gn3;125;false;false
gn3;126;false;false
gn3;127;false;false
gn3;128;false;false
gn3;129;false;false
gn3;130;false;false
gn3;131;false;false
gn3;132;false;false
gn3;133;false;false
gn3;134;false;false
gn3;135;false;false
gn3;136;false;false
