set;number;no_foil;foil
gpt;1;false;false
gpt;2;false;false
gpt;3;false;false
gpt;4;false;false
gpt;5;false;false
gpt;6;false;false
gpt;7;false;false
gpt;8;false;false
gpt;9;false;false
gpt;10;false;false
gpt;11;false;false
gpt;12;false;false
gpt;13;false;false
gpt;14;false;false
gpt;15;false;false
gpt;16;false;false
gpt;17;false;false
gpt;18;false;false
gpt;19;false;false
gpt;20;false;false
gpt;21;false;false
gpt;22;false;false
gpt;23;false;false
gpt;24;false;false
gpt;25;false;false
gpt;26;false;false
gpt;27;false;false
gpt;28;false;false
gpt;29;false;false
gpt;30;false;false
gpt;31;false;false
gpt;32;false;false
gpt;33;false;false
gpt;34;false;false
gpt;35;false;false
gpt;36;false;false
gpt;37;false;false
gpt;38;false;false
gpt;39;false;false
gpt;40;false;false
gpt;41;false;false
gpt;42;false;false
gpt;43;false;false
gpt;44;false;false
gpt;45;false;false
gpt;46;false;false
gpt;47;false;false
gpt;48;false;false
gpt;49;false;false
gpt;50;false;false
gpt;51;false;false
gpt;52;false;false
gpt;53;false;false
gpt;54;false;false
gpt;55;false;false
gpt;56;false;false
gpt;57;false;false
gpt;58;false;false
gpt;59;false;false
gpt;60;false;false
gpt;61;false;false
gpt;62;false;false
gpt;63;false;false
gpt;64;false;false
gpt;65;false;false
gpt;66;false;false
gpt;67;false;false
gpt;68;false;false
gpt;69;false;false
gpt;70;false;false
gpt;71;false;false
gpt;72;false;false
gpt;73;false;false
gpt;74;false;false
gpt;75;false;false
gpt;76;false;false
gpt;77;false;false
gpt;78;false;false
gpt;79;false;false
gpt;80;false;false
gpt;81;false;false
gpt;82;false;false
gpt;83;false;false
gpt;84;false;false
gpt;85;false;false
gpt;86;false;false
gpt;87;false;false
gpt;88;false;false
gpt;89;false;false
gpt;90;false;false
gpt;91;false;false
gpt;92;false;false
gpt;93;false;false
gpt;94;false;false
gpt;95;false;false
gpt;96;false;false
gpt;97;false;false
gpt;98;false;false
gpt;99;false;false
gpt;100;false;false
gpt;101;false;false
gpt;102;false;false
gpt;103;false;false
gpt;104;false;false
gpt;105;false;false
gpt;106;false;false
gpt;107;false;false
gpt;108;false;false
gpt;109;false;false
gpt;110;false;false
gpt;111;false;false
gpt;112;false;false
gpt;113;false;false
gpt;114;false;false
gpt;115;false;false
gpt;116;false;false
gpt;117;false;false
gpt;118;false;false
gpt;119;false;false
gpt;120;false;false
gpt;121;false;false
gpt;122;false;false
gpt;123;false;false
gpt;124;false;false
gpt;125;false;false
gpt;126;false;false
gpt;127;false;false
gpt;128;false;false
gpt;129;false;false
gpt;130;false;false
gpt;131;false;false
gpt;132;false;false
gpt;133;false;false
gpt;134;false;false
gpt;135;false;false
gpt;136;false;false
gpt;137;false;false
gpt;138;false;false
gpt;139;false;false
gpt;140;false;false
gpt;141;false;false
gpt;142;false;false
gpt;143;false;false
gpt;144;false;false
gpt;145;false;false
gpt;146;false;false
gpt;147;false;false
gpt;148;false;false
gpt;149;false;false
gpt;150;false;false
gpt;151;false;false
gpt;152;false;false
gpt;153;false;false
gpt;154;false;false
gpt;155;false;false
gpt;156;false;false
gpt;157;false;false
gpt;158;false;false
gpt;159;false;false
gpt;160;false;false
gpt;161;false;false
gpt;162;false;false
gpt;163;false;false
gpt;164;false;false
gpt;165;false;false
