set;number;no_foil;foil
grn;1;false;false
grn;2;false;false
grn;3;false;false
grn;4;false;false
grn;5;false;false
grn;6;false;false
grn;7;false;false
grn;8;false;false
grn;9;false;false
grn;10;false;false
grn;11;false;false
grn;12;false;false
grn;13;false;false
grn;14;false;false
grn;15;false;false
grn;16;false;false
grn;17;false;false
grn;18;false;false
grn;19;false;false
grn;20;false;false
grn;21;false;false
grn;22;false;false
grn;23;false;false
grn;24;false;false
grn;25;false;false
grn;26;false;false
grn;27;false;false
grn;28;false;false
grn;29;false;false
grn;30;false;false
grn;31;false;false
grn;32;false;false
grn;33;false;false
grn;34;false;false
grn;35;false;false
grn;36;false;false
grn;37;false;false
grn;38;false;false
grn;39;false;false
grn;40;false;false
grn;41;false;false
grn;42;false;false
grn;43;false;false
grn;44;false;false
grn;45;false;false
grn;46;false;false
grn;47;false;false
grn;48;false;false
grn;49;false;false
grn;50;false;false
grn;51;false;false
grn;52;false;false
grn;53;false;false
grn;54;false;false
grn;55;false;false
grn;56;false;false
grn;57;false;false
grn;58;false;false
grn;59;false;false
grn;60;false;false
grn;61;false;false
grn;62;false;false
grn;63;false;false
grn;64;false;false
grn;65;false;false
grn;66;false;false
grn;67;false;false
grn;68;false;false
grn;69;false;false
grn;70;false;false
grn;71;false;false
grn;72;false;false
grn;73;false;false
grn;74;false;false
grn;75;false;false
grn;76;false;false
grn;77;false;false
grn;78;false;false
grn;79;false;false
grn;80;false;false
grn;81;false;false
grn;82;false;false
grn;83;false;false
grn;84;false;false
grn;85;false;false
grn;86;false;false
grn;87;false;false
grn;88;false;false
grn;89;false;false
grn;90;false;false
grn;91;false;false
grn;92;false;false
grn;93;false;false
grn;94;false;false
grn;95;false;false
grn;96;false;false
grn;97;false;false
grn;98;false;false
grn;99;false;false
grn;100;false;false
grn;101;false;false
grn;102;false;false
grn;103;false;false
grn;104;false;false
grn;105;false;false
grn;106;false;false
grn;107;false;false
grn;108;false;false
grn;109;false;false
grn;110;false;false
grn;111;false;false
grn;112;false;false
grn;113;false;false
grn;114;false;false
grn;115;false;false
grn;116;false;false
grn;117;false;false
grn;118;false;false
grn;119;false;false
grn;120;false;false
grn;121;false;false
grn;122;false;false
grn;123;false;false
grn;124;false;false
grn;125;false;false
grn;126;false;false
grn;127;false;false
grn;128;false;false
grn;129;false;false
grn;130;false;false
grn;131;false;false
grn;132;false;false
grn;133;false;false
grn;134;false;false
grn;135;false;false
grn;136;false;false
grn;137;false;false
grn;138;false;false
grn;139;false;false
grn;140;false;false
grn;141;false;false
grn;142;false;false
grn;143;false;false
grn;144;false;false
grn;145;false;false
grn;146;false;false
grn;147;false;false
grn;148;false;false
grn;149;false;false
grn;150;false;false
grn;151;false;false
grn;152;false;false
grn;153;false;false
grn;154;false;false
grn;155;false;false
grn;156;false;false
grn;157;false;false
grn;158;false;false
grn;159;false;false
grn;160;false;false
grn;161;false;false
grn;162;false;false
grn;163;false;false
grn;164;false;false
grn;165;false;false
grn;166;false;false
grn;167;false;false
grn;168;false;false
grn;169;false;false
grn;170;false;false
grn;171;false;false
grn;172;false;false
grn;173;false;false
grn;174;false;false
grn;175;false;false
grn;176;false;false
grn;177;false;false
grn;178;false;false
grn;179;false;false
grn;180;false;false
grn;181;false;false
grn;182;false;false
grn;183;false;false
grn;184;false;false
grn;185;false;false
grn;186;false;false
grn;187;false;false
grn;188;false;false
grn;189;false;false
grn;190;false;false
grn;191;false;false
grn;192;false;false
grn;193;false;false
grn;194;false;false
grn;195;false;false
grn;196;false;false
grn;197;false;false
grn;198;false;false
grn;199;false;false
grn;200;false;false
grn;201;false;false
grn;202;false;false
grn;203;false;false
grn;204;false;false
grn;205;false;false
grn;206;false;false
grn;207;false;false
grn;208;false;false
grn;209;false;false
grn;210;false;false
grn;211;false;false
grn;212;false;false
grn;213;false;false
grn;214;false;false
grn;215;false;false
grn;216;false;false
grn;217;false;false
grn;218;false;false
grn;219;false;false
grn;220;false;false
grn;221;false;false
grn;222;false;false
grn;223;false;false
grn;224;false;false
grn;225;false;false
grn;226;false;false
grn;227;false;false
grn;228;false;false
grn;229;false;false
grn;230;false;false
grn;231;false;false
grn;232;false;false
grn;233;false;false
grn;234;false;false
grn;235;false;false
grn;236;false;false
grn;237;false;false
grn;238;false;false
grn;239;false;false
grn;240;false;false
grn;241;false;false
grn;242;false;false
grn;243;false;false
grn;244;false;false
grn;245;false;false
grn;246;false;false
grn;247;false;false
grn;248;false;false
grn;249;false;false
grn;250;false;false
grn;251;false;false
grn;252;false;false
grn;253;false;false
grn;254;false;false
grn;255;false;false
grn;256;false;false
grn;257;false;false
grn;258;false;false
grn;259;false;false
grn;260;false;false
grn;261;false;false
grn;262;false;false
grn;263;false;false
grn;264;false;false
grn;265;false;false
grn;266;false;false
grn;267;false;false
grn;268;false;false
grn;269;false;false
grn;270;false;false
grn;271;false;false
grn;272;false;false
grn;273;false;false
