set;number;no_foil;foil
gvl;1;false;false
gvl;2;false;false
gvl;3;false;false
gvl;4;false;false
gvl;5;false;false
gvl;6;false;false
gvl;7;false;false
gvl;8;false;false
gvl;9;false;false
gvl;10;false;false
gvl;11;false;false
gvl;12;false;false
gvl;13;false;false
gvl;14;false;false
gvl;15;false;false
gvl;16;false;false
gvl;17;false;false
gvl;18;false;false
gvl;19;false;false
gvl;20;false;false
gvl;21;false;false
gvl;22;false;false
gvl;23;false;false
gvl;24;false;false
gvl;25;false;false
gvl;26;false;false
gvl;27;false;false
gvl;28;false;false
gvl;29;false;false
gvl;30;false;false
gvl;31;false;false
gvl;32;false;false
gvl;33;false;false
gvl;34;false;false
gvl;35;false;false
gvl;36;false;false
gvl;37;false;false
gvl;38;false;false
gvl;39;false;false
gvl;40;false;false
gvl;41;false;false
gvl;42;false;false
gvl;43;false;false
gvl;44;false;false
gvl;45;false;false
gvl;46;false;false
gvl;47;false;false
gvl;48;false;false
gvl;49;false;false
gvl;50;false;false
gvl;51;false;false
gvl;52;false;false
gvl;53;false;false
gvl;54;false;false
gvl;55;false;false
gvl;56;false;false
gvl;57;false;false
gvl;58;false;false
gvl;59;false;false
gvl;60;false;false
gvl;61;false;false
gvl;62;false;false
gvl;63;false;false
