set;number;no_foil;foil
h09;1;false;false
h09;2;false;false
h09;3;false;false
h09;4;false;false
h09;5;false;false
h09;6;false;false
h09;7;false;false
h09;8;false;false
h09;9;false;false
h09;10;false;false
h09;11;false;false
h09;12;false;false
h09;13;false;false
h09;14;false;false
h09;15;false;false
h09;16;false;false
h09;17;false;false
h09;18;false;false
h09;19;false;false
h09;20;false;false
h09;21;false;false
h09;22;false;false
h09;23;false;false
h09;24;false;false
h09;25;false;false
h09;26;false;false
h09;27;false;false
h09;28;false;false
h09;29;false;false
h09;30;false;false
h09;31;false;false
h09;32;false;false
h09;33;false;false
h09;34;false;false
h09;35;false;false
h09;36;false;false
h09;37;false;false
h09;38;false;false
h09;39;false;false
h09;40;false;false
h09;41;false;false
