set;number;no_foil;foil
h1r;1;false;false
h1r;2;false;false
h1r;3;false;false
h1r;4;false;false
h1r;5;false;false
h1r;6;false;false
h1r;7;false;false
h1r;8;false;false
h1r;9;false;false
h1r;10;false;false
h1r;11;false;false
h1r;12;false;false
h1r;13;false;false
h1r;14;false;false
h1r;15;false;false
h1r;16;false;false
h1r;17;false;false
h1r;18;false;false
h1r;19;false;false
h1r;20;false;false
h1r;21;false;false
h1r;22;false;false
h1r;23;false;false
h1r;24;false;false
h1r;25;false;false
h1r;26;false;false
h1r;27;false;false
h1r;28;false;false
h1r;29;false;false
h1r;30;false;false
h1r;31;false;false
h1r;32;false;false
h1r;33;false;false
h1r;34;false;false
h1r;35;false;false
h1r;36;false;false
h1r;37;false;false
h1r;38;false;false
h1r;39;false;false
h1r;40;false;false
