set;number;no_foil;foil
ha3;1;false;false
ha3;2;false;false
ha3;3;false;false
ha3;4;false;false
ha3;5;false;false
ha3;6;false;false
ha3;7;false;false
ha3;8;false;false
ha3;9;false;false
ha3;10;false;false
ha3;11;false;false
ha3;12;false;false
ha3;13;false;false
ha3;14;false;false
ha3;15;false;false
ha3;16;false;false
ha3;17;false;false
ha3;18;false;false
ha3;19;false;false
ha3;20;false;false
ha3;21;false;false
ha3;22;false;false
ha3;23;false;false
ha3;24;false;false
ha3;25;false;false
ha3;26;false;false
ha3;27;false;false
