set;number;no_foil;foil
hml;1;false;false
hml;2a;false;false
hml;2b;false;false
hml;3a;false;false
hml;3b;false;false
hml;4;false;false
hml;5;false;false
hml;6;false;false
hml;7;false;false
hml;8;false;false
hml;9;false;false
hml;10a;false;false
hml;10b;false;false
hml;11;false;false
hml;12;false;false
hml;13a;false;false
hml;13b;false;false
hml;14;false;false
hml;15;false;false
hml;16;false;false
hml;17;false;false
hml;18;false;false
hml;19a;false;false
hml;19b;false;false
hml;20;false;false
hml;21;false;false
hml;22;false;false
hml;23;false;false
hml;24;false;false
hml;25a;false;false
hml;25b;false;false
hml;26;false;false
hml;27a;false;false
hml;27b;false;false
hml;28;false;false
hml;29;false;false
hml;30a;false;false
hml;30b;false;false
hml;31;false;false
hml;32a;false;false
hml;32b;false;false
hml;33;false;false
hml;34;false;false
hml;35;false;false
hml;36a;false;false
hml;36b;false;false
hml;37;false;false
hml;38;false;false
hml;39;false;false
hml;40;false;false
hml;41;false;false
hml;42;false;false
hml;43;false;false
hml;44a;false;false
hml;44b;false;false
hml;45;false;false
hml;46a;false;false
hml;46b;false;false
hml;47a;false;false
hml;47b;false;false
hml;48;false;false
hml;49;false;false
hml;50;false;false
hml;51;false;false
hml;52;false;false
hml;53;false;false
hml;54;false;false
hml;55;false;false
hml;56;false;false
hml;57a;false;false
hml;57b;false;false
hml;58;false;false
hml;59a;false;false
hml;59b;false;false
hml;60;false;false
hml;61a;false;false
hml;61b;false;false
hml;62;false;false
hml;63a;false;false
hml;63b;false;false
hml;64;false;false
hml;65;false;false
hml;66a;false;false
hml;66b;false;false
hml;67a;false;false
hml;67b;false;false
hml;68;false;false
hml;69;false;false
hml;70;false;false
hml;71;false;false
hml;72a;false;false
hml;72b;false;false
hml;73;false;false
hml;74;false;false
hml;75;false;false
hml;76;false;false
hml;77;false;false
hml;78;false;false
hml;79;false;false
hml;80;false;false
hml;81;false;false
hml;82;false;false
hml;83;false;false
hml;84a;false;false
hml;84b;false;false
hml;85;false;false
hml;86;false;false
hml;87a;false;false
hml;87b;false;false
hml;88a;false;false
hml;88b;false;false
hml;89;false;false
hml;90;false;false
hml;91;false;false
hml;92;false;false
hml;93;false;false
hml;94;false;false
hml;95;false;false
hml;96;false;false
hml;97a;false;false
hml;97b;false;false
hml;98;false;false
hml;99a;false;false
hml;99b;false;false
hml;100;false;false
hml;101;false;false
hml;102;false;false
hml;103;false;false
hml;104;false;false
hml;105;false;false
hml;106;false;false
hml;107;false;false
hml;108;false;false
hml;109;false;false
hml;110;false;false
hml;111;false;false
hml;112;false;false
hml;113;false;false
hml;114;false;false
hml;115;false;false
