set;number;no_foil;foil
hop;1;false;false
hop;2;false;false
hop;3;false;false
hop;4;false;false
hop;5;false;false
hop;6;false;false
hop;7;false;false
hop;8;false;false
hop;9;false;false
hop;10;false;false
hop;11;false;false
hop;12;false;false
hop;13;false;false
hop;14;false;false
hop;15;false;false
hop;16;false;false
hop;17;false;false
hop;18;false;false
hop;19;false;false
hop;20;false;false
hop;21;false;false
hop;22;false;false
hop;23;false;false
hop;24;false;false
hop;25;false;false
hop;26;false;false
hop;27;false;false
hop;28;false;false
hop;29;false;false
hop;30;false;false
hop;31;false;false
hop;32;false;false
hop;33;false;false
hop;34;false;false
hop;35;false;false
hop;36;false;false
hop;37;false;false
hop;38;false;false
hop;39;false;false
hop;40;false;false
hop;41;false;false
hop;42;false;false
hop;43;false;false
hop;44;false;false
hop;45;false;false
hop;46;false;false
hop;47;false;false
hop;48;false;false
hop;49;false;false
hop;50;false;false
hop;51;false;false
hop;52;false;false
hop;53;false;false
hop;54;false;false
hop;55;false;false
hop;56;false;false
hop;57;false;false
hop;58;false;false
hop;59;false;false
hop;60;false;false
hop;61;false;false
hop;62;false;false
hop;63;false;false
hop;64;false;false
hop;65;false;false
hop;66;false;false
hop;67;false;false
hop;68;false;false
hop;69;false;false
hop;70;false;false
hop;71;false;false
hop;72;false;false
hop;73;false;false
hop;74;false;false
hop;75;false;false
hop;76;false;false
hop;77;false;false
hop;78;false;false
hop;79;false;false
hop;80;false;false
hop;81;false;false
hop;82;false;false
hop;83;false;false
hop;84;false;false
hop;85;false;false
hop;86;false;false
hop;87;false;false
hop;88;false;false
hop;89;false;false
hop;90;false;false
hop;91;false;false
hop;92;false;false
hop;93;false;false
hop;94;false;false
hop;95;false;false
hop;96;false;false
hop;97;false;false
hop;98;false;false
hop;99;false;false
hop;100;false;false
hop;101;false;false
hop;102;false;false
hop;103;false;false
hop;104;false;false
hop;105;false;false
hop;106;false;false
hop;107;false;false
hop;108;false;false
hop;109;false;false
hop;110;false;false
hop;111;false;false
hop;112;false;false
hop;113;false;false
hop;114;false;false
hop;115;false;false
hop;116;false;false
hop;117;false;false
hop;118;false;false
hop;119;false;false
hop;120;false;false
hop;121;false;false
hop;122;false;false
hop;123;false;false
hop;124;false;false
hop;125;false;false
hop;126;false;false
hop;127;false;false
hop;128;false;false
hop;129;false;false
hop;130;false;false
hop;131;false;false
hop;132;false;false
hop;133;false;false
hop;134;false;false
hop;135;false;false
hop;136;false;false
hop;137;false;false
hop;138;false;false
hop;139;false;false
hop;140;false;false
hop;141;false;false
hop;142;false;false
hop;143;false;false
hop;144;false;false
hop;145;false;false
hop;146;false;false
hop;147;false;false
hop;148;false;false
hop;149;false;false
hop;150;false;false
hop;151;false;false
hop;152;false;false
hop;153;false;false
hop;154;false;false
hop;155;false;false
hop;156;false;false
hop;157;false;false
hop;158;false;false
hop;159;false;false
hop;160;false;false
hop;161;false;false
hop;162;false;false
hop;163;false;false
hop;164;false;false
hop;165;false;false
hop;166;false;false
hop;167;false;false
hop;168;false;false
hop;169;false;false
