set;number;no_foil;foil
hou;1;false;false
hou;2;false;false
hou;3;false;false
hou;4;false;false
hou;5;false;false
hou;6;false;false
hou;7;false;false
hou;8;false;false
hou;9;false;false
hou;10;false;false
hou;11;false;false
hou;12;false;false
hou;13;false;false
hou;14;false;false
hou;15;false;false
hou;16;false;false
hou;17;false;false
hou;18;false;false
hou;19;false;false
hou;20;false;false
hou;21;false;false
hou;22;false;false
hou;23;false;false
hou;24;false;false
hou;25;false;false
hou;26;false;false
hou;27;false;false
hou;28;false;false
hou;29;false;false
hou;30;false;false
hou;31;false;false
hou;32;false;false
hou;33;false;false
hou;34;false;false
hou;35;false;false
hou;36;false;false
hou;37;false;false
hou;38;false;false
hou;39;false;false
hou;40;false;false
hou;41;false;false
hou;42;false;false
hou;43;false;false
hou;44;false;false
hou;45;false;false
hou;46;false;false
hou;47;false;false
hou;48;false;false
hou;49;false;false
hou;50;false;false
hou;51;false;false
hou;52;false;false
hou;53;false;false
hou;54;false;false
hou;55;false;false
hou;56;false;false
hou;57;false;false
hou;58;false;false
hou;59;false;false
hou;60;false;false
hou;61;false;false
hou;62;false;false
hou;63;false;false
hou;64;false;false
hou;65;false;false
hou;66;false;false
hou;67;false;false
hou;68;false;false
hou;69;false;false
hou;70;false;false
hou;71;false;false
hou;72;false;false
hou;73;false;false
hou;74;false;false
hou;75;false;false
hou;76;false;false
hou;77;false;false
hou;78;false;false
hou;79;false;false
hou;80;false;false
hou;81;false;false
hou;82;false;false
hou;83;false;false
hou;84;false;false
hou;85;false;false
hou;86;false;false
hou;87;false;false
hou;88;false;false
hou;89;false;false
hou;90;false;false
hou;91;false;false
hou;92;false;false
hou;93;false;false
hou;94;false;false
hou;95;false;false
hou;96;false;false
hou;97;false;false
hou;98;false;false
hou;99;false;false
hou;100;false;false
hou;101;false;false
hou;102;false;false
hou;103;false;false
hou;104;false;false
hou;105;false;false
hou;106;false;false
hou;107;false;false
hou;108;false;false
hou;109;false;false
hou;110;false;false
hou;111;false;false
hou;112;false;false
hou;113;false;false
hou;114;false;false
hou;115;false;false
hou;116;false;false
hou;117;false;false
hou;118;false;false
hou;119;false;false
hou;120;false;false
hou;121;false;false
hou;122;false;false
hou;123;false;false
hou;124;false;false
hou;125;false;false
hou;126;false;false
hou;127;false;false
hou;128;false;false
hou;129;false;false
hou;130;false;false
hou;131;false;false
hou;132;false;false
hou;133;false;false
hou;134;false;false
hou;135;false;false
hou;136;false;false
hou;137;false;false
hou;138;false;false
hou;139;false;false
hou;140;false;false
hou;141;false;false
hou;142;false;false
hou;143;false;false
hou;144;false;false
hou;145;false;false
hou;146;false;false
hou;147;false;false
hou;148;false;false
hou;149;false;false
hou;150;false;false
hou;151;false;false
hou;152;false;false
hou;153;false;false
hou;154;false;false
hou;155;false;false
hou;156;false;false
hou;157;false;false
hou;158;false;false
hou;159;false;false
hou;160;false;false
hou;161;false;false
hou;162;false;false
hou;163;false;false
hou;164;false;false
hou;165;false;false
hou;166;false;false
hou;167;false;false
hou;168;false;false
hou;169;false;false
hou;170;false;false
hou;171;false;false
hou;172;false;false
hou;173;false;false
hou;174;false;false
hou;175;false;false
hou;176;false;false
hou;177;false;false
hou;178;false;false
hou;179;false;false
hou;180;false;false
hou;181;false;false
hou;182;false;false
hou;183;false;false
hou;184;false;false
hou;185;false;false
hou;186;false;false
hou;187;false;false
hou;188;false;false
hou;189;false;false
hou;190;false;false
hou;191;false;false
hou;192;false;false
hou;193;false;false
hou;194;false;false
hou;195;false;false
hou;196;false;false
hou;197;false;false
hou;198;false;false
hou;199;false;false
hou;200;false;false
hou;201;false;false
hou;202;false;false
hou;203;false;false
hou;204;false;false
hou;205;false;false
hou;206;false;false
hou;207;false;false
hou;208;false;false
hou;209;false;false
