set;number;no_foil;foil
ice;1;false;false
ice;2;false;false
ice;3;false;false
ice;4;false;false
ice;5;false;false
ice;6;false;false
ice;7;false;false
ice;8;false;false
ice;9;false;false
ice;10;false;false
ice;11;false;false
ice;12;false;false
ice;13;false;false
ice;14;false;false
ice;15;false;false
ice;16;false;false
ice;17;false;false
ice;18;false;false
ice;19;false;false
ice;20;false;false
ice;21;false;false
ice;22;false;false
ice;23;false;false
ice;24;false;false
ice;25;false;false
ice;26;false;false
ice;27;false;false
ice;28;false;false
ice;29;false;false
ice;30;false;false
ice;31;false;false
ice;32;false;false
ice;33;false;false
ice;34;false;false
ice;35;false;false
ice;36;false;false
ice;37;false;false
ice;38;false;false
ice;39;false;false
ice;40;false;false
ice;41;false;false
ice;42;false;false
ice;43;false;false
ice;44;false;false
ice;45;false;false
ice;46;false;false
ice;47;false;false
ice;48;false;false
ice;49;false;false
ice;50;false;false
ice;51;false;false
ice;52;false;false
ice;53;false;false
ice;54;false;false
ice;55;false;false
ice;56;false;false
ice;57;false;false
ice;58;false;false
ice;59;false;false
ice;60;false;false
ice;61;false;false
ice;62;false;false
ice;63;false;false
ice;64;false;false
ice;65;false;false
ice;66;false;false
ice;67;false;false
ice;68;false;false
ice;69;false;false
ice;70;false;false
ice;71;false;false
ice;72;false;false
ice;73;false;false
ice;74;false;false
ice;75;false;false
ice;76;false;false
ice;77;false;false
ice;78;false;false
ice;79;false;false
ice;80;false;false
ice;81;false;false
ice;82;false;false
ice;83;false;false
ice;84;false;false
ice;85;false;false
ice;86;false;false
ice;87;false;false
ice;88;false;false
ice;89;false;false
ice;90;false;false
ice;91;false;false
ice;92;false;false
ice;93;false;false
ice;94;false;false
ice;95;false;false
ice;96;false;false
ice;97;false;false
ice;98;false;false
ice;99;false;false
ice;100;false;false
ice;101;false;false
ice;102;false;false
ice;103;false;false
ice;104;false;false
ice;105;false;false
ice;106;false;false
ice;107;false;false
ice;108;false;false
ice;109;false;false
ice;110;false;false
ice;111;false;false
ice;112;false;false
ice;113;false;false
ice;114;false;false
ice;115;false;false
ice;116;false;false
ice;117;false;false
ice;118;false;false
ice;119;false;false
ice;120;false;false
ice;121;false;false
ice;122;false;false
ice;123;false;false
ice;124;false;false
ice;125;false;false
ice;126;false;false
ice;127;false;false
ice;128;false;false
ice;129;false;false
ice;130;false;false
ice;131;false;false
ice;132;false;false
ice;133;false;false
ice;134;false;false
ice;135;false;false
ice;136;false;false
ice;137;false;false
ice;138;false;false
ice;139;false;false
ice;140;false;false
ice;141;false;false
ice;142;false;false
ice;143;false;false
ice;144;false;false
ice;145;false;false
ice;146;false;false
ice;147;false;false
ice;148;false;false
ice;149;false;false
ice;150;false;false
ice;151;false;false
ice;152;false;false
ice;153;false;false
ice;154;false;false
ice;155;false;false
ice;156;false;false
ice;157;false;false
ice;158;false;false
ice;159;false;false
ice;160;false;false
ice;161;false;false
ice;162;false;false
ice;163;false;false
ice;164;false;false
ice;165;false;false
ice;166;false;false
ice;167;false;false
ice;168;false;false
ice;169;false;false
ice;170;false;false
ice;171;false;false
ice;172;false;false
ice;173;false;false
ice;174;false;false
ice;175;false;false
ice;176;false;false
ice;177;false;false
ice;178;false;false
ice;179;false;false
ice;180;false;false
ice;181;false;false
ice;182;false;false
ice;183;false;false
ice;184;false;false
ice;185;false;false
ice;186;false;false
ice;187;false;false
ice;188;false;false
ice;189;false;false
ice;190;false;false
ice;191;false;false
ice;192;false;false
ice;193;false;false
ice;194;false;false
ice;195;false;false
ice;196;false;false
ice;197;false;false
ice;198;false;false
ice;199;false;false
ice;200;false;false
ice;201;false;false
ice;202;false;false
ice;203;false;false
ice;204;false;false
ice;205;false;false
ice;206;false;false
ice;207;false;false
ice;208;false;false
ice;209;false;false
ice;210;false;false
ice;211;false;false
ice;212;false;false
ice;213;false;false
ice;214;false;false
ice;215;false;false
ice;216;false;false
ice;217;false;false
ice;218;false;false
ice;219;false;false
ice;220;false;false
ice;221;false;false
ice;222;false;false
ice;223;false;false
ice;224;false;false
ice;225;false;false
ice;226;false;false
ice;227;false;false
ice;228;false;false
ice;229;false;false
ice;230;false;false
ice;231;false;false
ice;232;false;false
ice;233;false;false
ice;234;false;false
ice;235;false;false
ice;236;false;false
ice;237;false;false
ice;238;false;false
ice;239;false;false
ice;240;false;false
ice;241;false;false
ice;242;false;false
ice;243;false;false
ice;244;false;false
ice;245;false;false
ice;246;false;false
ice;247;false;false
ice;248;false;false
ice;249;false;false
ice;250;false;false
ice;251;false;false
ice;252;false;false
ice;253;false;false
ice;254;false;false
ice;255;false;false
ice;256;false;false
ice;257;false;false
ice;258;false;false
ice;259;false;false
ice;260;false;false
ice;261;false;false
ice;262;false;false
ice;263;false;false
ice;264;false;false
ice;265;false;false
ice;266;false;false
ice;267;false;false
ice;268;false;false
ice;269;false;false
ice;270;false;false
ice;271;false;false
ice;272;false;false
ice;273;false;false
ice;274;false;false
ice;275;false;false
ice;276;false;false
ice;277;false;false
ice;278;false;false
ice;279;false;false
ice;280;false;false
ice;281;false;false
ice;282;false;false
ice;283;false;false
ice;284;false;false
ice;285;false;false
ice;286;false;false
ice;287;false;false
ice;288;false;false
ice;289;false;false
ice;290;false;false
ice;291;false;false
ice;292;false;false
ice;293;false;false
ice;294;false;false
ice;295;false;false
ice;296;false;false
ice;297;false;false
ice;298;false;false
ice;299;false;false
ice;300;false;false
ice;301;false;false
ice;302;false;false
ice;303;false;false
ice;304;false;false
ice;305;false;false
ice;306;false;false
ice;307;false;false
ice;308;false;false
ice;309;false;false
ice;310;false;false
ice;311;false;false
ice;312;false;false
ice;313;false;false
ice;314;false;false
ice;315;false;false
ice;316;false;false
ice;317;false;false
ice;318;false;false
ice;319;false;false
ice;320;false;false
ice;321;false;false
ice;322;false;false
ice;323;false;false
ice;324;false;false
ice;325;false;false
ice;326;false;false
ice;327;false;false
ice;328;false;false
ice;329;false;false
ice;330;false;false
ice;331;false;false
ice;332;false;false
ice;333;false;false
ice;334;false;false
ice;335;false;false
ice;336;false;false
ice;337;false;false
ice;338;false;false
ice;339;false;false
ice;340;false;false
ice;341;false;false
ice;342;false;false
ice;343;false;false
ice;344;false;false
ice;345;false;false
ice;346;false;false
ice;347;false;false
ice;348;false;false
ice;349;false;false
ice;350;false;false
ice;351;false;false
ice;352;false;false
ice;353;false;false
ice;354;false;false
ice;355;false;false
ice;356;false;false
ice;357;false;false
ice;358;false;false
ice;359;false;false
ice;360;false;false
ice;361;false;false
ice;362;false;false
ice;363;false;false
ice;364;false;false
ice;365;false;false
ice;366;false;false
ice;367;false;false
ice;368;false;false
ice;369;false;false
ice;370;false;false
ice;371;false;false
ice;372;false;false
ice;373;false;false
ice;374;false;false
ice;375;false;false
ice;376;false;false
ice;377;false;false
ice;378;false;false
ice;379;false;false
ice;380;false;false
ice;381;false;false
ice;382;false;false
ice;383;false;false
