set;number;no_foil;foil
ima;1;false;false
ima;2;false;false
ima;3;false;false
ima;4;false;false
ima;5;false;false
ima;6;false;false
ima;7;false;false
ima;8;false;false
ima;9;false;false
ima;10;false;false
ima;11;false;false
ima;12;false;false
ima;13;false;false
ima;14;false;false
ima;15;false;false
ima;16;false;false
ima;17;false;false
ima;18;false;false
ima;19;false;false
ima;20;false;false
ima;21;false;false
ima;22;false;false
ima;23;false;false
ima;24;false;false
ima;25;false;false
ima;26;false;false
ima;27;false;false
ima;28;false;false
ima;29;false;false
ima;30;false;false
ima;31;false;false
ima;32;false;false
ima;33;false;false
ima;34;false;false
ima;35;false;false
ima;36;false;false
ima;37;false;false
ima;38;false;false
ima;39;false;false
ima;40;false;false
ima;41;false;false
ima;42;false;false
ima;43;false;false
ima;44;false;false
ima;45;false;false
ima;46;false;false
ima;47;false;false
ima;48;false;false
ima;49;false;false
ima;50;false;false
ima;51;false;false
ima;52;false;false
ima;53;false;false
ima;54;false;false
ima;55;false;false
ima;56;false;false
ima;57;false;false
ima;58;false;false
ima;59;false;false
ima;60;false;false
ima;61;false;false
ima;62;false;false
ima;63;false;false
ima;64;false;false
ima;65;false;false
ima;66;false;false
ima;67;false;false
ima;68;false;false
ima;69;false;false
ima;70;false;false
ima;71;false;false
ima;72;false;false
ima;73;false;false
ima;74;false;false
ima;75;false;false
ima;76;false;false
ima;77;false;false
ima;78;false;false
ima;79;false;false
ima;80;false;false
ima;81;false;false
ima;82;false;false
ima;83;false;false
ima;84;false;false
ima;85;false;false
ima;86;false;false
ima;87;false;false
ima;88;false;false
ima;89;false;false
ima;90;false;false
ima;91;false;false
ima;92;false;false
ima;93;false;false
ima;94;false;false
ima;95;false;false
ima;96;false;false
ima;97;false;false
ima;98;false;false
ima;99;false;false
ima;100;false;false
ima;101;false;false
ima;102;false;false
ima;103;false;false
ima;104;false;false
ima;105;false;false
ima;106;false;false
ima;107;false;false
ima;108;false;false
ima;109;false;false
ima;110;false;false
ima;111;false;false
ima;112;false;false
ima;113;false;false
ima;114;false;false
ima;115;false;false
ima;116;false;false
ima;117;false;false
ima;118;false;false
ima;119;false;false
ima;120;false;false
ima;121;false;false
ima;122;false;false
ima;123;false;false
ima;124;false;false
ima;125;false;false
ima;126;false;false
ima;127;false;false
ima;128;false;false
ima;129;false;false
ima;130;false;false
ima;131;false;false
ima;132;false;false
ima;133;false;false
ima;134;false;false
ima;135;false;false
ima;136;false;false
ima;137;false;false
ima;138;false;false
ima;139;false;false
ima;140;false;false
ima;141;false;false
ima;142;false;false
ima;143;false;false
ima;144;false;false
ima;145;false;false
ima;146;false;false
ima;147;false;false
ima;148;false;false
ima;149;false;false
ima;150;false;false
ima;151;false;false
ima;152;false;false
ima;153;false;false
ima;154;false;false
ima;155;false;false
ima;156;false;false
ima;157;false;false
ima;158;false;false
ima;159;false;false
ima;160;false;false
ima;161;false;false
ima;162;false;false
ima;163;false;false
ima;164;false;false
ima;165;false;false
ima;166;false;false
ima;167;false;false
ima;168;false;false
ima;169;false;false
ima;170;false;false
ima;171;false;false
ima;172;false;false
ima;173;false;false
ima;174;false;false
ima;175;false;false
ima;176;false;false
ima;177;false;false
ima;178;false;false
ima;179;false;false
ima;180;false;false
ima;181;false;false
ima;182;false;false
ima;183;false;false
ima;184;false;false
ima;185;false;false
ima;186;false;false
ima;187;false;false
ima;188;false;false
ima;189;false;false
ima;190;false;false
ima;191;false;false
ima;192;false;false
ima;193;false;false
ima;194;false;false
ima;195;false;false
ima;196;false;false
ima;197;false;false
ima;198;false;false
ima;199;false;false
ima;200;false;false
ima;201;false;false
ima;202;false;false
ima;203;false;false
ima;204;false;false
ima;205;false;false
ima;206;false;false
ima;207;false;false
ima;208;false;false
ima;209;false;false
ima;210;false;false
ima;211;false;false
ima;212;false;false
ima;213;false;false
ima;214;false;false
ima;215;false;false
ima;216;false;false
ima;217;false;false
ima;218;false;false
ima;219;false;false
ima;220;false;false
ima;221;false;false
ima;222;false;false
ima;223;false;false
ima;224;false;false
ima;225;false;false
ima;226;false;false
ima;227;false;false
ima;228;false;false
ima;229;false;false
ima;230;false;false
ima;231;false;false
ima;232;false;false
ima;233;false;false
ima;234;false;false
ima;235;false;false
ima;236;false;false
ima;237;false;false
ima;238;false;false
ima;239;false;false
ima;240;false;false
ima;241;false;false
ima;242;false;false
ima;243;false;false
ima;244;false;false
ima;245;false;false
ima;246;false;false
ima;247;false;false
ima;248;false;false
ima;249;false;false
