set;number;no_foil;foil
inv;1;false;false
inv;2;false;false
inv;3;false;false
inv;4;false;false
inv;5;false;false
inv;6;false;false
inv;7;false;false
inv;8;false;false
inv;9;false;false
inv;10;false;false
inv;11;false;false
inv;12;false;false
inv;13;false;false
inv;14;false;false
inv;15;false;false
inv;16;false;false
inv;17;false;false
inv;18;false;false
inv;19;false;false
inv;20;false;false
inv;21;false;false
inv;22;false;false
inv;23;false;false
inv;24;false;false
inv;25;false;false
inv;26;false;false
inv;27;false;false
inv;28;false;false
inv;29;false;false
inv;30;false;false
inv;31;false;false
inv;32;false;false
inv;33;false;false
inv;34;false;false
inv;35;false;false
inv;36;false;false
inv;37;false;false
inv;38;false;false
inv;39;false;false
inv;40;false;false
inv;41;false;false
inv;42;false;false
inv;43;false;false
inv;44;false;false
inv;45;false;false
inv;46;false;false
inv;47;false;false
inv;48;false;false
inv;49;false;false
inv;50;false;false
inv;51;false;false
inv;52;false;false
inv;53;false;false
inv;54;false;false
inv;55;false;false
inv;56;false;false
inv;57;false;false
inv;58;false;false
inv;59;false;false
inv;60;false;false
inv;61;false;false
inv;62;false;false
inv;63;false;false
inv;64;false;false
inv;65;false;false
inv;66;false;false
inv;67;false;false
inv;68;false;false
inv;69;false;false
inv;70;false;false
inv;71;false;false
inv;72;false;false
inv;73;false;false
inv;74;false;false
inv;75;false;false
inv;76;false;false
inv;77;false;false
inv;78;false;false
inv;79;false;false
inv;80;false;false
inv;81;false;false
inv;82;false;false
inv;83;false;false
inv;84;false;false
inv;85;false;false
inv;86;false;false
inv;87;false;false
inv;88;false;false
inv;89;false;false
inv;90;false;false
inv;91;false;false
inv;92;false;false
inv;93;false;false
inv;94;false;false
inv;95;false;false
inv;96;false;false
inv;97;false;false
inv;98;false;false
inv;99;false;false
inv;100;false;false
inv;101;false;false
inv;102;false;false
inv;103;false;false
inv;104;false;false
inv;105;false;false
inv;106;false;false
inv;107;false;false
inv;108;false;false
inv;109;false;false
inv;110;false;false
inv;111;false;false
inv;112;false;false
inv;113;false;false
inv;114;false;false
inv;115;false;false
inv;116;false;false
inv;117;false;false
inv;118;false;false
inv;119;false;false
inv;120;false;false
inv;121;false;false
inv;122;false;false
inv;123;false;false
inv;124;false;false
inv;124s;false;false
inv;124★;false;false
inv;125;false;false
inv;126;false;false
inv;127;false;false
inv;128;false;false
inv;129;false;false
inv;130;false;false
inv;131;false;false
inv;132;false;false
inv;133;false;false
inv;134;false;false
inv;134s;false;false
inv;134★;false;false
inv;135;false;false
inv;136;false;false
inv;137;false;false
inv;138;false;false
inv;139;false;false
inv;140;false;false
inv;141;false;false
inv;142;false;false
inv;143;false;false
inv;144;false;false
inv;145;false;false
inv;146;false;false
inv;147;false;false
inv;148;false;false
inv;149;false;false
inv;150;false;false
inv;151;false;false
inv;152;false;false
inv;153;false;false
inv;154;false;false
inv;155;false;false
inv;156;false;false
inv;157;false;false
inv;158;false;false
inv;159;false;false
inv;160;false;false
inv;161;false;false
inv;162;false;false
inv;163;false;false
inv;164;false;false
inv;165;false;false
inv;166;false;false
inv;167;false;false
inv;168;false;false
inv;169;false;false
inv;170;false;false
