set;number;no_foil;foil
itp;1;false;false
itp;2;false;false
itp;3;false;false
itp;4;false;false
itp;5;false;false
itp;6;false;false
itp;7;false;false
itp;8;false;false
itp;9;false;false
itp;10;false;false
itp;11;false;false
itp;12;false;false
itp;13;false;false
itp;14;false;false
itp;15;false;false
itp;16;false;false
itp;17;false;false
itp;18;false;false
itp;19;false;false
itp;20;false;false
itp;21;false;false
itp;22;false;false
itp;23;false;false
itp;24;false;false
itp;25;false;false
itp;26;false;false
itp;27;false;false
itp;28;false;false
itp;29;false;false
itp;30;false;false
itp;31;false;false
itp;32;false;false
itp;33;false;false
itp;34;false;false
itp;35;false;false
itp;36;false;false
itp;37;false;false
itp;38;false;false
itp;39;false;false
itp;40;false;false
itp;41;false;false
itp;42;false;false
itp;43;false;false
itp;44;false;false
itp;45;false;false
itp;46;false;false
itp;47;false;false
itp;48;false;false
itp;49;false;false
itp;50;false;false
itp;51;false;false
itp;52;false;false
itp;53;false;false
itp;54;false;false
itp;55;false;false
itp;56;false;false
itp;57;false;false
itp;58;false;false
itp;59;false;false
itp;60;false;false
itp;61;false;false
itp;62;false;false
itp;63;false;false
itp;64;false;false
itp;65;false;false
itp;66;false;false
itp;67;false;false
