set;number;no_foil;foil
j22;1;false;false
j22;2;false;false
j22;3;false;false
j22;4;false;false
j22;5;false;false
j22;6;false;false
j22;7;false;false
j22;8;false;false
j22;9;false;false
j22;10;false;false
j22;11;false;false
j22;12;false;false
j22;13;false;false
j22;14;false;false
j22;15;false;false
j22;16;false;false
j22;17;false;false
j22;18;false;false
j22;19;false;false
j22;20;false;false
j22;21;false;false
j22;22;false;false
j22;23;false;false
j22;24;false;false
j22;25;false;false
j22;26;false;false
j22;27;false;false
j22;28;false;false
j22;29;false;false
j22;30;false;false
j22;31;false;false
j22;32;false;false
j22;33;false;false
j22;34;false;false
j22;35;false;false
j22;36;false;false
j22;37;false;false
j22;38;false;false
j22;39;false;false
j22;40;false;false
j22;41;false;false
j22;42;false;false
j22;43;false;false
j22;44;false;false
j22;45;false;false
j22;46;false;false
j22;47;false;false
j22;48;false;false
j22;49;false;false
j22;50;false;false
j22;51;false;false
j22;52;false;false
j22;53;false;false
j22;54;false;false
j22;55;false;false
j22;56;false;false
j22;57;false;false
j22;58;false;false
j22;59;false;false
j22;60;false;false
j22;61;false;false
j22;62;false;false
j22;63;false;false
j22;64;false;false
j22;65;false;false
j22;66;false;false
j22;67;false;false
j22;68;false;false
j22;69;false;false
j22;70;false;false
j22;71;false;false
j22;72;false;false
j22;73;false;false
j22;74;false;false
j22;75;false;false
j22;76;false;false
j22;77;false;false
j22;78;false;false
j22;79;false;false
j22;80;false;false
j22;81;false;false
j22;82;false;false
j22;83;false;false
j22;84;false;false
j22;85;false;false
j22;86;false;false
j22;87;false;false
j22;88;false;false
j22;89;false;false
j22;90;false;false
j22;91;false;false
j22;92;false;false
j22;93;false;false
j22;94;false;false
j22;95;false;false
j22;96;false;false
j22;97;false;false
j22;98;false;false
j22;99;false;false
j22;100;false;false
j22;101;false;false
j22;102;false;false
j22;103;false;false
j22;104;false;false
j22;105;false;false
j22;106;false;false
j22;107;false;false
j22;108;false;false
j22;109;false;false
j22;110;false;false
j22;111;false;false
j22;112;false;false
j22;113;false;false
j22;114;false;false
j22;115;false;false
j22;116;false;false
j22;117;false;false
j22;118;false;false
j22;119;false;false
j22;120;false;false
j22;121;false;false
j22;122;false;false
j22;123;false;false
j22;124;false;false
j22;125;false;false
j22;126;false;false
j22;127;false;false
j22;128;false;false
j22;129;false;false
j22;130;false;false
j22;131;false;false
j22;132;false;false
j22;133;false;false
j22;134;false;false
j22;135;false;false
j22;136;false;false
j22;137;false;false
j22;138;false;false
j22;139;false;false
j22;140;false;false
j22;141;false;false
j22;142;false;false
j22;143;false;false
j22;144;false;false
j22;145;false;false
j22;146;false;false
j22;147;false;false
j22;148;false;false
j22;149;false;false
j22;150;false;false
j22;151;false;false
j22;152;false;false
j22;153;false;false
j22;154;false;false
j22;155;false;false
j22;156;false;false
j22;157;false;false
j22;158;false;false
j22;159;false;false
j22;160;false;false
j22;161;false;false
j22;162;false;false
j22;163;false;false
j22;164;false;false
j22;165;false;false
j22;166;false;false
j22;167;false;false
j22;168;false;false
j22;169;false;false
j22;170;false;false
j22;171;false;false
j22;172;false;false
j22;173;false;false
j22;174;false;false
j22;175;false;false
j22;176;false;false
j22;177;false;false
j22;178;false;false
j22;179;false;false
j22;180;false;false
j22;181;false;false
j22;182;false;false
j22;183;false;false
j22;184;false;false
j22;185;false;false
j22;186;false;false
j22;187;false;false
j22;188;false;false
j22;189;false;false
j22;190;false;false
j22;191;false;false
j22;192;false;false
j22;193;false;false
j22;194;false;false
j22;195;false;false
j22;196;false;false
j22;197;false;false
j22;198;false;false
j22;199;false;false
j22;200;false;false
j22;201;false;false
j22;202;false;false
j22;203;false;false
j22;204;false;false
j22;205;false;false
j22;206;false;false
j22;207;false;false
j22;208;false;false
j22;209;false;false
j22;210;false;false
j22;211;false;false
j22;212;false;false
j22;213;false;false
j22;214;false;false
j22;215;false;false
j22;216;false;false
j22;217;false;false
j22;218;false;false
j22;219;false;false
j22;220;false;false
j22;221;false;false
j22;222;false;false
j22;223;false;false
j22;224;false;false
j22;225;false;false
j22;226;false;false
j22;227;false;false
j22;228;false;false
j22;229;false;false
j22;230;false;false
j22;231;false;false
j22;232;false;false
j22;233;false;false
j22;234;false;false
j22;235;false;false
j22;236;false;false
j22;237;false;false
j22;238;false;false
j22;239;false;false
j22;240;false;false
j22;241;false;false
j22;242;false;false
j22;243;false;false
j22;244;false;false
j22;245;false;false
j22;246;false;false
j22;247;false;false
j22;248;false;false
j22;249;false;false
j22;250;false;false
j22;251;false;false
j22;252;false;false
j22;253;false;false
j22;254;false;false
j22;255;false;false
j22;256;false;false
j22;257;false;false
j22;258;false;false
j22;259;false;false
j22;260;false;false
j22;261;false;false
j22;262;false;false
j22;263;false;false
j22;264;false;false
j22;265;false;false
j22;266;false;false
j22;267;false;false
j22;268;false;false
j22;269;false;false
j22;270;false;false
j22;271;false;false
j22;272;false;false
j22;273;false;false
j22;274;false;false
j22;275;false;false
j22;276;false;false
j22;277;false;false
j22;278;false;false
j22;279;false;false
j22;280;false;false
j22;281;false;false
j22;282;false;false
j22;283;false;false
j22;284;false;false
j22;285;false;false
j22;286;false;false
j22;287;false;false
j22;288;false;false
j22;289;false;false
j22;290;false;false
j22;291;false;false
j22;292;false;false
j22;293;false;false
j22;294;false;false
j22;295;false;false
j22;296;false;false
j22;297;false;false
j22;298;false;false
j22;299;false;false
j22;300;false;false
j22;301;false;false
j22;302;false;false
j22;303;false;false
j22;304;false;false
j22;305;false;false
j22;306;false;false
j22;307;false;false
j22;308;false;false
j22;309;false;false
j22;310;false;false
j22;311;false;false
j22;312;false;false
j22;313;false;false
j22;314;false;false
j22;315;false;false
j22;316;false;false
j22;317;false;false
j22;318;false;false
j22;319;false;false
j22;320;false;false
j22;321;false;false
j22;322;false;false
j22;323;false;false
j22;324;false;false
j22;325;false;false
j22;326;false;false
j22;327;false;false
j22;328;false;false
j22;329;false;false
j22;330;false;false
j22;331;false;false
j22;332;false;false
j22;333;false;false
j22;334;false;false
j22;335;false;false
j22;336;false;false
j22;337;false;false
j22;338;false;false
j22;339;false;false
j22;340;false;false
j22;341;false;false
j22;342;false;false
j22;343;false;false
j22;344;false;false
j22;345;false;false
j22;346;false;false
j22;347;false;false
j22;348;false;false
j22;349;false;false
j22;350;false;false
j22;351;false;false
j22;352;false;false
j22;353;false;false
j22;354;false;false
j22;355;false;false
j22;356;false;false
j22;357;false;false
j22;358;false;false
j22;359;false;false
j22;360;false;false
j22;361;false;false
j22;362;false;false
j22;363;false;false
j22;364;false;false
j22;365;false;false
j22;366;false;false
j22;367;false;false
j22;368;false;false
j22;369;false;false
j22;370;false;false
j22;371;false;false
j22;372;false;false
j22;373;false;false
j22;374;false;false
j22;375;false;false
j22;376;false;false
j22;377;false;false
j22;378;false;false
j22;379;false;false
j22;380;false;false
j22;381;false;false
j22;382;false;false
j22;383;false;false
j22;384;false;false
j22;385;false;false
j22;386;false;false
j22;387;false;false
j22;388;false;false
j22;389;false;false
j22;390;false;false
j22;391;false;false
j22;392;false;false
j22;393;false;false
j22;394;false;false
j22;395;false;false
j22;396;false;false
j22;397;false;false
j22;398;false;false
j22;399;false;false
j22;400;false;false
j22;401;false;false
j22;402;false;false
j22;403;false;false
j22;404;false;false
j22;405;false;false
j22;406;false;false
j22;407;false;false
j22;408;false;false
j22;409;false;false
j22;410;false;false
j22;411;false;false
j22;412;false;false
j22;413;false;false
j22;414;false;false
j22;415;false;false
j22;416;false;false
j22;417;false;false
j22;418;false;false
j22;419;false;false
j22;420;false;false
j22;421;false;false
j22;422;false;false
j22;423;false;false
j22;424;false;false
j22;425;false;false
j22;426;false;false
j22;427;false;false
j22;428;false;false
j22;429;false;false
j22;430;false;false
j22;431;false;false
j22;432;false;false
j22;433;false;false
j22;434;false;false
j22;435;false;false
j22;436;false;false
j22;437;false;false
j22;438;false;false
j22;439;false;false
j22;440;false;false
j22;441;false;false
j22;442;false;false
j22;443;false;false
j22;444;false;false
j22;445;false;false
j22;446;false;false
j22;447;false;false
j22;448;false;false
j22;449;false;false
j22;450;false;false
j22;451;false;false
j22;452;false;false
j22;453;false;false
j22;454;false;false
j22;455;false;false
j22;456;false;false
j22;457;false;false
j22;458;false;false
j22;459;false;false
j22;460;false;false
j22;461;false;false
j22;462;false;false
j22;463;false;false
j22;464;false;false
j22;465;false;false
j22;466;false;false
j22;467;false;false
j22;468;false;false
j22;469;false;false
j22;470;false;false
j22;471;false;false
j22;472;false;false
j22;473;false;false
j22;474;false;false
j22;475;false;false
j22;476;false;false
j22;477;false;false
j22;478;false;false
j22;479;false;false
j22;480;false;false
j22;481;false;false
j22;482;false;false
j22;483;false;false
j22;484;false;false
j22;485;false;false
j22;486;false;false
j22;487;false;false
j22;488;false;false
j22;489;false;false
j22;490;false;false
j22;491;false;false
j22;492;false;false
j22;493;false;false
j22;494;false;false
j22;495;false;false
j22;496;false;false
j22;497;false;false
j22;498;false;false
j22;499;false;false
j22;500;false;false
j22;501;false;false
j22;502;false;false
j22;503;false;false
j22;504;false;false
j22;505;false;false
j22;506;false;false
j22;507;false;false
j22;508;false;false
j22;509;false;false
j22;510;false;false
j22;511;false;false
j22;512;false;false
j22;513;false;false
j22;514;false;false
j22;515;false;false
j22;516;false;false
j22;517;false;false
j22;518;false;false
j22;519;false;false
j22;520;false;false
j22;521;false;false
j22;522;false;false
j22;523;false;false
j22;524;false;false
j22;525;false;false
j22;526;false;false
j22;527;false;false
j22;528;false;false
j22;529;false;false
j22;530;false;false
j22;531;false;false
j22;532;false;false
j22;533;false;false
j22;534;false;false
j22;535;false;false
j22;536;false;false
j22;537;false;false
j22;538;false;false
j22;539;false;false
j22;540;false;false
j22;541;false;false
j22;542;false;false
j22;543;false;false
j22;544;false;false
j22;545;false;false
j22;546;false;false
j22;547;false;false
j22;548;false;false
j22;549;false;false
j22;550;false;false
j22;551;false;false
j22;552;false;false
j22;553;false;false
j22;554;false;false
j22;555;false;false
j22;556;false;false
j22;557;false;false
j22;558;false;false
j22;559;false;false
j22;560;false;false
j22;561;false;false
j22;562;false;false
j22;563;false;false
j22;564;false;false
j22;565;false;false
j22;566;false;false
j22;567;false;false
j22;568;false;false
j22;569;false;false
j22;570;false;false
j22;571;false;false
j22;572;false;false
j22;573;false;false
j22;574;false;false
j22;575;false;false
j22;576;false;false
j22;577;false;false
j22;578;false;false
j22;579;false;false
j22;580;false;false
j22;581;false;false
j22;582;false;false
j22;583;false;false
j22;584;false;false
j22;585;false;false
j22;586;false;false
j22;587;false;false
j22;588;false;false
j22;589;false;false
j22;590;false;false
j22;591;false;false
j22;592;false;false
j22;593;false;false
j22;594;false;false
j22;595;false;false
j22;596;false;false
j22;597;false;false
j22;598;false;false
j22;599;false;false
j22;600;false;false
j22;601;false;false
j22;602;false;false
j22;603;false;false
j22;604;false;false
j22;605;false;false
j22;606;false;false
j22;607;false;false
j22;608;false;false
j22;609;false;false
j22;610;false;false
j22;611;false;false
j22;612;false;false
j22;613;false;false
j22;614;false;false
j22;615;false;false
j22;616;false;false
j22;617;false;false
j22;618;false;false
j22;619;false;false
j22;620;false;false
j22;621;false;false
j22;622;false;false
j22;623;false;false
j22;624;false;false
j22;625;false;false
j22;626;false;false
j22;627;false;false
j22;628;false;false
j22;629;false;false
j22;630;false;false
j22;631;false;false
j22;632;false;false
j22;633;false;false
j22;634;false;false
j22;635;false;false
j22;636;false;false
j22;637;false;false
j22;638;false;false
j22;639;false;false
j22;640;false;false
j22;641;false;false
j22;642;false;false
