set;number;no_foil;foil
jmp;1;false;false
jmp;2;false;false
jmp;3;false;false
jmp;4;false;false
jmp;5;false;false
jmp;6;false;false
jmp;7;false;false
jmp;8;false;false
jmp;9;false;false
jmp;10;false;false
jmp;11;false;false
jmp;12;false;false
jmp;13;false;false
jmp;14;false;false
jmp;15;false;false
jmp;16;false;false
jmp;17;false;false
jmp;18;false;false
jmp;19;false;false
jmp;20;false;false
jmp;21;false;false
jmp;22;false;false
jmp;23;false;false
jmp;24;false;false
jmp;25;false;false
jmp;26;false;false
jmp;27;false;false
jmp;28;false;false
jmp;29;false;false
jmp;30;false;false
jmp;31;false;false
jmp;32;false;false
jmp;33;false;false
jmp;34;false;false
jmp;35;false;false
jmp;36;false;false
jmp;37;false;false
jmp;38;false;false
jmp;39;false;false
jmp;40;false;false
jmp;41;false;false
jmp;42;false;false
jmp;43;false;false
jmp;44;false;false
jmp;45;false;false
jmp;46;false;false
jmp;47;false;false
jmp;48;false;false
jmp;49;false;false
jmp;50;false;false
jmp;51;false;false
jmp;52;false;false
jmp;53;false;false
jmp;54;false;false
jmp;55;false;false
jmp;56;false;false
jmp;57;false;false
jmp;58;false;false
jmp;59;false;false
jmp;60;false;false
jmp;61;false;false
jmp;62;false;false
jmp;63;false;false
jmp;64;false;false
jmp;65;false;false
jmp;66;false;false
jmp;67;false;false
jmp;68;false;false
jmp;69;false;false
jmp;70;false;false
jmp;71;false;false
jmp;72;false;false
jmp;73;false;false
jmp;74;false;false
jmp;75;false;false
jmp;76;false;false
jmp;77;false;false
jmp;78;false;false
jmp;79;false;false
jmp;80;false;false
jmp;81;false;false
jmp;82;false;false
jmp;83;false;false
jmp;84;false;false
jmp;85;false;false
jmp;86;false;false
jmp;87;false;false
jmp;88;false;false
jmp;89;false;false
jmp;90;false;false
jmp;91;false;false
jmp;92;false;false
jmp;93;false;false
jmp;94;false;false
jmp;95;false;false
jmp;96;false;false
jmp;97;false;false
jmp;98;false;false
jmp;99;false;false
jmp;100;false;false
jmp;101;false;false
jmp;102;false;false
jmp;103;false;false
jmp;104;false;false
jmp;105;false;false
jmp;106;false;false
jmp;107;false;false
jmp;108;false;false
jmp;109;false;false
jmp;110;false;false
jmp;111;false;false
jmp;112;false;false
jmp;113;false;false
jmp;114;false;false
jmp;115;false;false
jmp;116;false;false
jmp;117;false;false
jmp;118;false;false
jmp;119;false;false
jmp;120;false;false
jmp;121;false;false
jmp;122;false;false
jmp;123;false;false
jmp;124;false;false
jmp;125;false;false
jmp;126;false;false
jmp;127;false;false
jmp;128;false;false
jmp;129;false;false
jmp;130;false;false
jmp;131;false;false
jmp;132;false;false
jmp;133;false;false
jmp;134;false;false
jmp;135;false;false
jmp;136;false;false
jmp;137;false;false
jmp;138;false;false
jmp;139;false;false
jmp;140;false;false
jmp;141;false;false
jmp;142;false;false
jmp;143;false;false
jmp;144;false;false
jmp;145;false;false
jmp;146;false;false
jmp;147;false;false
jmp;148;false;false
jmp;149;false;false
jmp;150;false;false
jmp;151;false;false
jmp;152;false;false
jmp;153;false;false
jmp;154;false;false
jmp;155;false;false
jmp;156;false;false
jmp;157;false;false
jmp;158;false;false
jmp;159;false;false
jmp;160;false;false
jmp;161;false;false
jmp;162;false;false
jmp;163;false;false
jmp;164;false;false
jmp;165;false;false
jmp;166;false;false
jmp;167;false;false
jmp;168;false;false
jmp;169;false;false
jmp;170;false;false
jmp;171;false;false
jmp;172;false;false
jmp;173;false;false
jmp;174;false;false
jmp;175;false;false
jmp;176;false;false
jmp;177;false;false
jmp;178;false;false
jmp;179;false;false
jmp;180;false;false
jmp;181;false;false
jmp;182;false;false
jmp;183;false;false
jmp;184;false;false
jmp;185;false;false
jmp;186;false;false
jmp;187;false;false
jmp;188;false;false
jmp;189;false;false
jmp;190;false;false
jmp;191;false;false
jmp;192;false;false
jmp;193;false;false
jmp;194;false;false
jmp;195;false;false
jmp;196;false;false
jmp;197;false;false
jmp;198;false;false
jmp;199;false;false
jmp;200;false;false
jmp;201;false;false
jmp;202;false;false
jmp;203;false;false
jmp;204;false;false
jmp;205;false;false
jmp;206;false;false
jmp;A-206;false;false
jmp;207;false;false
jmp;208;false;false
jmp;209;false;false
jmp;210;false;false
jmp;211;false;false
jmp;212;false;false
jmp;213;false;false
jmp;214;false;false
jmp;215;false;false
jmp;216;false;false
jmp;217;false;false
jmp;218;false;false
jmp;219;false;false
jmp;220;false;false
jmp;221;false;false
jmp;222;false;false
jmp;223;false;false
jmp;224;false;false
jmp;225;false;false
jmp;226;false;false
jmp;227;false;false
jmp;228;false;false
jmp;229;false;false
jmp;230;false;false
jmp;231;false;false
jmp;232;false;false
jmp;233;false;false
jmp;234;false;false
jmp;235;false;false
jmp;236;false;false
jmp;237;false;false
jmp;238;false;false
jmp;239;false;false
jmp;240;false;false
jmp;241;false;false
jmp;242;false;false
jmp;243;false;false
jmp;244;false;false
jmp;245;false;false
jmp;246;false;false
jmp;247;false;false
jmp;248;false;false
jmp;249;false;false
jmp;250;false;false
jmp;251;false;false
jmp;252;false;false
jmp;253;false;false
jmp;254;false;false
jmp;255;false;false
jmp;256;false;false
jmp;257;false;false
jmp;258;false;false
jmp;259;false;false
jmp;260;false;false
jmp;261;false;false
jmp;262;false;false
jmp;263;false;false
jmp;264;false;false
jmp;265;false;false
jmp;266;false;false
jmp;267;false;false
jmp;268;false;false
jmp;269;false;false
jmp;270;false;false
jmp;271;false;false
jmp;272;false;false
jmp;273;false;false
jmp;274;false;false
jmp;275;false;false
jmp;276;false;false
jmp;277;false;false
jmp;278;false;false
jmp;279;false;false
jmp;280;false;false
jmp;281;false;false
jmp;282;false;false
jmp;283;false;false
jmp;284;false;false
jmp;285;false;false
jmp;286;false;false
jmp;287;false;false
jmp;288;false;false
jmp;289;false;false
jmp;290;false;false
jmp;291;false;false
