set;number;no_foil;foil
jou;1;false;false
jou;2;false;false
jou;3;false;false
jou;4;false;false
jou;5;false;false
jou;6;false;false
jou;7;false;false
jou;8;false;false
jou;9;false;false
jou;10;false;false
jou;11;false;false
jou;12;false;false
jou;13;false;false
jou;14;false;false
jou;15;false;false
jou;16;false;false
jou;17;false;false
jou;18;false;false
jou;19;false;false
jou;20;false;false
jou;21;false;false
jou;22;false;false
jou;23;false;false
jou;24;false;false
jou;25;false;false
jou;26;false;false
jou;27;false;false
jou;28;false;false
jou;29;false;false
jou;30;false;false
jou;31;false;false
jou;32;false;false
jou;33;false;false
jou;34;false;false
jou;35;false;false
jou;36;false;false
jou;37;false;false
jou;38;false;false
jou;39;false;false
jou;40;false;false
jou;41;false;false
jou;42;false;false
jou;43;false;false
jou;44;false;false
jou;45;false;false
jou;46;false;false
jou;47;false;false
jou;48;false;false
jou;49;false;false
jou;50;false;false
jou;51;false;false
jou;52;false;false
jou;53;false;false
jou;54;false;false
jou;55;false;false
jou;56;false;false
jou;57;false;false
jou;58;false;false
jou;59;false;false
jou;60;false;false
jou;61;false;false
jou;62;false;false
jou;63;false;false
jou;64;false;false
jou;65;false;false
jou;66;false;false
jou;67;false;false
jou;68;false;false
jou;69;false;false
jou;70;false;false
jou;71;false;false
jou;72;false;false
jou;73;false;false
jou;74;false;false
jou;75;false;false
jou;76;false;false
jou;77;false;false
jou;78;false;false
jou;79;false;false
jou;80;false;false
jou;81;false;false
jou;82;false;false
jou;83;false;false
jou;84;false;false
jou;85;false;false
jou;86;false;false
jou;87;false;false
jou;88;false;false
jou;89;false;false
jou;90;false;false
jou;91;false;false
jou;92;false;false
jou;93;false;false
jou;94;false;false
jou;95;false;false
jou;96;false;false
jou;97;false;false
jou;98;false;false
jou;99;false;false
jou;100;false;false
jou;101;false;false
jou;102;false;false
jou;103;false;false
jou;104;false;false
jou;105;false;false
jou;106;false;false
jou;107;false;false
jou;108;false;false
jou;109;false;false
jou;110;false;false
jou;111;false;false
jou;112;false;false
jou;113;false;false
jou;114;false;false
jou;115;false;false
jou;116;false;false
jou;117;false;false
jou;118;false;false
jou;119;false;false
jou;120;false;false
jou;121;false;false
jou;122;false;false
jou;123;false;false
jou;124;false;false
jou;125;false;false
jou;126;false;false
jou;127;false;false
jou;128;false;false
jou;129;false;false
jou;130;false;false
jou;131;false;false
jou;132;false;false
jou;133;false;false
jou;134;false;false
jou;135;false;false
jou;136;false;false
jou;137;false;false
jou;138;false;false
jou;139;false;false
jou;140;false;false
jou;141;false;false
jou;142;false;false
jou;143;false;false
jou;144;false;false
jou;145;false;false
jou;146;false;false
jou;147;false;false
jou;148;false;false
jou;149;false;false
jou;150;false;false
jou;151;false;false
jou;152;false;false
jou;153;false;false
jou;154;false;false
jou;155;false;false
jou;156;false;false
jou;157;false;false
jou;158;false;false
jou;159;false;false
jou;160;false;false
jou;161;false;false
jou;162;false;false
jou;163;false;false
jou;164;false;false
jou;165;false;false
