set;number;no_foil;foil
jvc;1;false;false
jvc;2;false;false
jvc;3;false;false
jvc;4;false;false
jvc;5;false;false
jvc;6;false;false
jvc;7;false;false
jvc;8;false;false
jvc;9;false;false
jvc;10;false;false
jvc;11;false;false
jvc;12;false;false
jvc;13;false;false
jvc;14;false;false
jvc;15;false;false
jvc;16;false;false
jvc;17;false;false
jvc;18;false;false
jvc;19;false;false
jvc;20;false;false
jvc;21;false;false
jvc;22;false;false
jvc;23;false;false
jvc;24;false;false
jvc;25;false;false
jvc;26;false;false
jvc;27;false;false
jvc;28;false;false
jvc;29;false;false
jvc;30;false;false
jvc;31;false;false
jvc;32;false;false
jvc;33;false;false
jvc;34;false;false
jvc;35;false;false
jvc;36;false;false
jvc;37;false;false
jvc;38;false;false
jvc;39;false;false
jvc;40;false;false
jvc;41;false;false
jvc;42;false;false
jvc;43;false;false
jvc;44;false;false
jvc;45;false;false
jvc;46;false;false
jvc;47;false;false
jvc;48;false;false
jvc;49;false;false
jvc;50;false;false
jvc;51;false;false
jvc;52;false;false
jvc;53;false;false
jvc;54;false;false
jvc;55;false;false
jvc;56;false;false
jvc;57;false;false
jvc;58;false;false
jvc;59;false;false
jvc;60;false;false
jvc;61;false;false
jvc;62;false;false
