set;number;no_foil;foil
khc;1;false;false
khc;2;false;false
khc;3;false;false
khc;4;false;false
khc;5;false;false
khc;6;false;false
khc;7;false;false
khc;8;false;false
khc;9;false;false
khc;10;false;false
khc;11;false;false
khc;12;false;false
khc;13;false;false
khc;14;false;false
khc;15;false;false
khc;16;false;false
khc;17;false;false
khc;18;false;false
khc;19;false;false
khc;20;false;false
khc;21;false;false
khc;22;false;false
khc;23;false;false
khc;24;false;false
khc;25;false;false
khc;26;false;false
khc;27;false;false
khc;28;false;false
khc;29;false;false
khc;30;false;false
khc;31;false;false
khc;32;false;false
khc;33;false;false
khc;34;false;false
khc;35;false;false
khc;36;false;false
khc;37;false;false
khc;38;false;false
khc;39;false;false
khc;40;false;false
khc;41;false;false
khc;42;false;false
khc;43;false;false
khc;44;false;false
khc;45;false;false
khc;46;false;false
khc;47;false;false
khc;48;false;false
khc;49;false;false
khc;50;false;false
khc;51;false;false
khc;52;false;false
khc;53;false;false
khc;54;false;false
khc;55;false;false
khc;56;false;false
khc;57;false;false
khc;58;false;false
khc;59;false;false
khc;60;false;false
khc;61;false;false
khc;62;false;false
khc;63;false;false
khc;64;false;false
khc;65;false;false
khc;66;false;false
khc;67;false;false
khc;68;false;false
khc;69;false;false
khc;70;false;false
khc;71;false;false
khc;72;false;false
khc;73;false;false
khc;74;false;false
khc;75;false;false
khc;76;false;false
khc;77;false;false
khc;78;false;false
khc;79;false;false
khc;80;false;false
khc;81;false;false
khc;82;false;false
khc;83;false;false
khc;84;false;false
khc;85;false;false
khc;86;false;false
khc;87;false;false
khc;88;false;false
khc;89;false;false
khc;90;false;false
khc;91;false;false
khc;92;false;false
khc;93;false;false
khc;94;false;false
khc;95;false;false
khc;96;false;false
khc;97;false;false
khc;98;false;false
khc;99;false;false
khc;100;false;false
khc;101;false;false
khc;102;false;false
khc;103;false;false
khc;104;false;false
khc;105;false;false
khc;106;false;false
khc;107;false;false
khc;108;false;false
khc;109;false;false
khc;110;false;false
khc;111;false;false
khc;112;false;false
khc;113;false;false
khc;114;false;false
khc;115;false;false
khc;116;false;false
khc;117;false;false
khc;118;false;false
khc;119;false;false
