set;number;no_foil;foil
khm;1;false;false
khm;2;false;false
khm;3;false;false
khm;4;false;false
khm;5;false;false
khm;6;false;false
khm;7;false;false
khm;8;false;false
khm;9;false;false
khm;10;false;false
khm;11;false;false
khm;12;false;false
khm;13;false;false
khm;14;false;false
khm;15;false;false
khm;16;false;false
khm;17;false;false
khm;18;false;false
khm;19;false;false
khm;20;false;false
khm;21;false;false
khm;22;false;false
khm;23;false;false
khm;24;false;false
khm;25;false;false
khm;26;false;false
khm;27;false;false
khm;28;false;false
khm;29;false;false
khm;30;false;false
khm;31;false;false
khm;32;false;false
khm;33;false;false
khm;34;false;false
khm;35;false;false
khm;36;false;false
khm;37;false;false
khm;38;false;false
khm;39;false;false
khm;40;false;false
khm;A-40;false;false
khm;41;false;false
khm;A-41;false;false
khm;42;false;false
khm;43;false;false
khm;44;false;false
khm;45;false;false
khm;46;false;false
khm;47;false;false
khm;48;false;false
khm;49;false;false
khm;50;false;false
khm;51;false;false
khm;A-51;false;false
khm;52;false;false
khm;53;false;false
khm;54;false;false
khm;55;false;false
khm;56;false;false
khm;57;false;false
khm;58;false;false
khm;59;false;false
khm;60;false;false
khm;61;false;false
khm;62;false;false
khm;63;false;false
khm;64;false;false
khm;65;false;false
khm;66;false;false
khm;67;false;false
khm;68;false;false
khm;69;false;false
khm;70;false;false
khm;71;false;false
khm;72;false;false
khm;73;false;false
khm;74;false;false
khm;75;false;false
khm;76;false;false
khm;77;false;false
khm;78;false;false
khm;79;false;false
khm;80;false;false
khm;81;false;false
khm;82;false;false
khm;83;false;false
khm;84;false;false
khm;85;false;false
khm;86;false;false
khm;87;false;false
khm;88;false;false
khm;89;false;false
khm;90;false;false
khm;91;false;false
khm;92;false;false
khm;93;false;false
khm;94;false;false
khm;95;false;false
khm;96;false;false
khm;97;false;false
khm;98;false;false
khm;99;false;false
khm;100;false;false
khm;101;false;false
khm;102;false;false
khm;103;false;false
khm;104;false;false
khm;105;false;false
khm;106;false;false
khm;A-106;false;false
khm;107;false;false
khm;108;false;false
khm;109;false;false
khm;A-109;false;false
khm;110;false;false
khm;111;false;false
khm;112;false;false
khm;113;false;false
khm;114;false;false
