set;number;no_foil;foil
kld;1;false;false
kld;2;false;false
kld;3;false;false
kld;4;false;false
kld;5;false;false
kld;6;false;false
kld;7;false;false
kld;8;false;false
kld;9;false;false
kld;10;false;false
kld;11;false;false
kld;12;false;false
kld;13;false;false
kld;14;false;false
kld;15;false;false
kld;16;false;false
kld;17;false;false
kld;18;false;false
kld;19;false;false
kld;20;false;false
kld;21;false;false
kld;22;false;false
kld;23;false;false
kld;24;false;false
kld;25;false;false
kld;26;false;false
kld;27;false;false
kld;28;false;false
kld;29;false;false
kld;30;false;false
kld;31;false;false
kld;32;false;false
kld;33;false;false
kld;34;false;false
kld;35;false;false
kld;36;false;false
kld;37;false;false
kld;38;false;false
kld;39;false;false
kld;40;false;false
kld;41;false;false
kld;42;false;false
kld;43;false;false
kld;44;false;false
kld;45;false;false
kld;46;false;false
kld;47;false;false
kld;48;false;false
kld;49;false;false
kld;50;false;false
kld;51;false;false
kld;52;false;false
kld;53;false;false
kld;54;false;false
kld;55;false;false
kld;56;false;false
kld;57;false;false
kld;58;false;false
kld;59;false;false
kld;60;false;false
kld;61;false;false
kld;62;false;false
kld;63;false;false
kld;64;false;false
kld;65;false;false
kld;66;false;false
kld;67;false;false
kld;68;false;false
kld;69;false;false
kld;70;false;false
kld;71;false;false
kld;72;false;false
kld;73;false;false
kld;74;false;false
kld;75;false;false
kld;76;false;false
kld;77;false;false
kld;78;false;false
kld;79;false;false
kld;80;false;false
kld;81;false;false
kld;82;false;false
kld;83;false;false
kld;84;false;false
kld;85;false;false
kld;86;false;false
kld;87;false;false
kld;88;false;false
kld;89;false;false
kld;90;false;false
kld;91;false;false
kld;92;false;false
kld;93;false;false
kld;94;false;false
kld;95;false;false
kld;96;false;false
kld;97;false;false
kld;98;false;false
kld;99;false;false
kld;100;false;false
kld;101;false;false
kld;102;false;false
kld;103;false;false
kld;104;false;false
kld;105;false;false
kld;106;false;false
kld;107;false;false
kld;108;false;false
kld;109;false;false
kld;110;false;false
kld;111;false;false
kld;112;false;false
kld;113;false;false
kld;114;false;false
kld;115;false;false
kld;116;false;false
kld;117;false;false
kld;118;false;false
kld;119;false;false
kld;120;false;false
kld;121;false;false
kld;122;false;false
kld;123;false;false
kld;124;false;false
kld;125;false;false
kld;126;false;false
kld;127;false;false
kld;128;false;false
kld;129;false;false
kld;130;false;false
kld;131;false;false
kld;132;false;false
kld;133;false;false
kld;134;false;false
kld;135;false;false
kld;136;false;false
kld;137;false;false
kld;138;false;false
kld;139;false;false
kld;140;false;false
kld;141;false;false
kld;142;false;false
kld;143;false;false
kld;144;false;false
kld;145;false;false
kld;146;false;false
kld;147;false;false
kld;148;false;false
kld;149;false;false
kld;150;false;false
kld;151;false;false
kld;152;false;false
kld;153;false;false
kld;154;false;false
kld;155;false;false
kld;156;false;false
kld;157;false;false
kld;158;false;false
kld;159;false;false
kld;160;false;false
kld;161;false;false
kld;162;false;false
kld;163;false;false
kld;164;false;false
kld;165;false;false
kld;166;false;false
kld;167;false;false
kld;168;false;false
kld;169;false;false
kld;170;false;false
kld;171;false;false
kld;172;false;false
kld;173;false;false
kld;174;false;false
kld;175;false;false
kld;176;false;false
kld;177;false;false
kld;178;false;false
kld;179;false;false
kld;180;false;false
kld;181;false;false
kld;182;false;false
kld;183;false;false
kld;184;false;false
kld;185;false;false
kld;186;false;false
kld;187;false;false
kld;188;false;false
kld;189;false;false
kld;190;false;false
kld;191;false;false
kld;192;false;false
kld;193;false;false
kld;194;false;false
kld;195;false;false
kld;196;false;false
kld;197;false;false
kld;198;false;false
kld;199;false;false
kld;200;false;false
kld;201;false;false
kld;202;false;false
kld;203;false;false
kld;204;false;false
kld;205;false;false
kld;206;false;false
kld;207;false;false
kld;208;false;false
kld;209;false;false
kld;210;false;false
kld;211;false;false
kld;212;false;false
kld;213;false;false
kld;214;false;false
kld;215;false;false
kld;216;false;false
kld;217;false;false
kld;218;false;false
kld;219;false;false
kld;220;false;false
kld;221;false;false
kld;222;false;false
kld;223;false;false
kld;224;false;false
kld;225;false;false
kld;226;false;false
kld;227;false;false
kld;228;false;false
kld;229;false;false
kld;230;false;false
kld;231;false;false
kld;232;false;false
kld;233;false;false
kld;234;false;false
kld;235;false;false
kld;236;false;false
kld;237;false;false
kld;238;false;false
kld;239;false;false
kld;240;false;false
kld;241;false;false
kld;242;false;false
kld;243;false;false
kld;244;false;false
kld;245;false;false
kld;246;false;false
kld;247;false;false
kld;248;false;false
kld;249;false;false
kld;250;false;false
kld;251;false;false
kld;252;false;false
kld;253;false;false
kld;254;false;false
kld;255;false;false
kld;256;false;false
kld;257;false;false
kld;258;false;false
kld;259;false;false
kld;260;false;false
kld;261;false;false
kld;262;false;false
kld;263;false;false
kld;264;false;false
kld;265;false;false
kld;266;false;false
kld;267;false;false
kld;268;false;false
kld;269;false;false
kld;270;false;false
kld;271;false;false
kld;272;false;false
kld;273;false;false
kld;274;false;false
