set;number;no_foil;foil
klr;1;false;false
klr;2;false;false
klr;3;false;false
klr;4;false;false
klr;5;false;false
klr;6;false;false
klr;7;false;false
klr;8;false;false
klr;9;false;false
klr;10;false;false
klr;11;false;false
klr;12;false;false
klr;13;false;false
klr;14;false;false
klr;15;false;false
klr;16;false;false
klr;17;false;false
klr;18;false;false
klr;19;false;false
klr;20;false;false
klr;21;false;false
klr;22;false;false
klr;23;false;false
klr;24;false;false
klr;25;false;false
klr;26;false;false
klr;27;false;false
klr;28;false;false
klr;29;false;false
klr;30;false;false
klr;31;false;false
klr;32;false;false
klr;33;false;false
klr;34;false;false
klr;35;false;false
klr;36;false;false
klr;37;false;false
klr;38;false;false
klr;39;false;false
klr;40;false;false
klr;41;false;false
klr;42;false;false
klr;43;false;false
klr;44;false;false
klr;45;false;false
klr;46;false;false
klr;47;false;false
klr;48;false;false
klr;49;false;false
klr;50;false;false
klr;51;false;false
klr;52;false;false
klr;53;false;false
klr;54;false;false
klr;55;false;false
klr;56;false;false
klr;57;false;false
klr;58;false;false
klr;59;false;false
klr;60;false;false
klr;61;false;false
klr;62;false;false
klr;63;false;false
klr;64;false;false
klr;65;false;false
klr;66;false;false
klr;67;false;false
klr;68;false;false
klr;69;false;false
klr;70;false;false
klr;71;false;false
klr;72;false;false
klr;73;false;false
klr;74;false;false
klr;75;false;false
klr;76;false;false
klr;77;false;false
klr;78;false;false
klr;79;false;false
klr;80;false;false
klr;81;false;false
klr;82;false;false
klr;83;false;false
klr;84;false;false
klr;85;false;false
klr;86;false;false
klr;87;false;false
klr;88;false;false
klr;89;false;false
klr;90;false;false
klr;91;false;false
klr;92;false;false
klr;93;false;false
klr;94;false;false
klr;95;false;false
klr;96;false;false
klr;97;false;false
klr;98;false;false
klr;99;false;false
klr;100;false;false
klr;101;false;false
klr;102;false;false
klr;103;false;false
klr;104;false;false
klr;105;false;false
klr;106;false;false
klr;107;false;false
klr;108;false;false
klr;109;false;false
klr;110;false;false
klr;111;false;false
klr;112;false;false
klr;113;false;false
klr;114;false;false
klr;115;false;false
klr;116;false;false
klr;117;false;false
klr;118;false;false
klr;119;false;false
klr;120;false;false
klr;121;false;false
klr;122;false;false
klr;123;false;false
klr;124;false;false
klr;125;false;false
klr;126;false;false
klr;127;false;false
klr;128;false;false
klr;129;false;false
klr;130;false;false
klr;131;false;false
klr;132;false;false
klr;133;false;false
klr;134;false;false
klr;135;false;false
klr;136;false;false
klr;137;false;false
klr;138;false;false
klr;139;false;false
klr;140;false;false
klr;141;false;false
klr;142;false;false
klr;143;false;false
klr;144;false;false
klr;145;false;false
klr;146;false;false
klr;147;false;false
klr;148;false;false
klr;149;false;false
klr;150;false;false
klr;151;false;false
klr;152;false;false
klr;153;false;false
klr;154;false;false
klr;155;false;false
klr;156;false;false
klr;157;false;false
klr;158;false;false
klr;159;false;false
klr;160;false;false
klr;161;false;false
klr;162;false;false
klr;163;false;false
klr;164;false;false
klr;165;false;false
klr;166;false;false
klr;167;false;false
klr;168;false;false
klr;169;false;false
klr;170;false;false
klr;171;false;false
klr;172;false;false
klr;173;false;false
klr;174;false;false
klr;175;false;false
klr;176;false;false
klr;177;false;false
klr;178;false;false
klr;179;false;false
klr;180;false;false
klr;181;false;false
klr;182;false;false
klr;183;false;false
klr;184;false;false
klr;185;false;false
klr;186;false;false
klr;187;false;false
klr;188;false;false
klr;189;false;false
klr;190;false;false
klr;191;false;false
klr;192;false;false
klr;193;false;false
klr;194;false;false
klr;195;false;false
klr;196;false;false
klr;197;false;false
klr;198;false;false
klr;199;false;false
klr;200;false;false
klr;201;false;false
klr;202;false;false
klr;203;false;false
klr;204;false;false
klr;205;false;false
klr;206;false;false
klr;207;false;false
klr;208;false;false
klr;209;false;false
klr;210;false;false
klr;211;false;false
klr;212;false;false
klr;213;false;false
klr;214;false;false
klr;215;false;false
klr;216;false;false
klr;217;false;false
klr;218;false;false
klr;219;false;false
klr;220;false;false
klr;221;false;false
klr;222;false;false
klr;223;false;false
klr;224;false;false
klr;225;false;false
klr;226;false;false
klr;227;false;false
klr;228;false;false
klr;229;false;false
klr;230;false;false
klr;231;false;false
klr;232;false;false
klr;233;false;false
klr;234;false;false
klr;235;false;false
klr;236;false;false
klr;237;false;false
klr;238;false;false
klr;239;false;false
klr;240;false;false
klr;241;false;false
klr;242;false;false
klr;243;false;false
klr;244;false;false
klr;245;false;false
klr;246;false;false
klr;247;false;false
klr;248;false;false
klr;249;false;false
klr;250;false;false
klr;251;false;false
klr;252;false;false
klr;253;false;false
klr;254;false;false
klr;255;false;false
klr;256;false;false
klr;257;false;false
klr;258;false;false
klr;259;false;false
klr;260;false;false
klr;261;false;false
klr;262;false;false
klr;263;false;false
klr;264;false;false
klr;265;false;false
klr;266;false;false
klr;267;false;false
klr;268;false;false
klr;269;false;false
klr;270;false;false
klr;271;false;false
klr;272;false;false
klr;273;false;false
klr;274;false;false
klr;275;false;false
klr;276;false;false
klr;277;false;false
klr;278;false;false
klr;279;false;false
klr;280;false;false
klr;281;false;false
klr;282;false;false
klr;283;false;false
klr;284;false;false
klr;285;false;false
klr;286;false;false
klr;287;false;false
klr;288;false;false
klr;289;false;false
klr;290;false;false
klr;291;false;false
klr;292;false;false
klr;293;false;false
klr;294;false;false
klr;295;false;false
klr;296;false;false
klr;297;false;false
klr;298;false;false
klr;299;false;false
klr;300;false;false
klr;301;false;false
klr;302;false;false
