set;number;no_foil;foil
lcc;1;false;false
lcc;2;false;false
lcc;3;false;false
lcc;4;false;false
lcc;5;false;false
lcc;6;false;false
lcc;7;false;false
lcc;8;false;false
lcc;9;false;false
lcc;10;false;false
lcc;11;false;false
lcc;12;false;false
lcc;13;false;false
lcc;14;false;false
lcc;15;false;false
lcc;16;false;false
lcc;17;false;false
lcc;18;false;false
lcc;19;false;false
lcc;20;false;false
lcc;21;false;false
lcc;22;false;false
lcc;23;false;false
lcc;24;false;false
lcc;25;false;false
lcc;26;false;false
lcc;27;false;false
lcc;28;false;false
lcc;29;false;false
lcc;30;false;false
lcc;31;false;false
lcc;32;false;false
lcc;33;false;false
lcc;34;false;false
lcc;35;false;false
lcc;36;false;false
lcc;37;false;false
lcc;38;false;false
lcc;39;false;false
lcc;40;false;false
lcc;41;false;false
lcc;42;false;false
lcc;43;false;false
lcc;44;false;false
lcc;45;false;false
lcc;46;false;false
lcc;47;false;false
lcc;48;false;false
lcc;49;false;false
lcc;50;false;false
lcc;51;false;false
lcc;52;false;false
lcc;53;false;false
lcc;54;false;false
lcc;55;false;false
lcc;56;false;false
lcc;57;false;false
lcc;58;false;false
lcc;59;false;false
lcc;60;false;false
lcc;61;false;false
lcc;62;false;false
lcc;63;false;false
lcc;64;false;false
lcc;65;false;false
lcc;66;false;false
lcc;67;false;false
lcc;68;false;false
lcc;69;false;false
lcc;70;false;false
lcc;71;false;false
lcc;72;false;false
lcc;73;false;false
lcc;74;false;false
lcc;75;false;false
lcc;76;false;false
lcc;77;false;false
lcc;78;false;false
lcc;79;false;false
lcc;80;false;false
lcc;81;false;false
lcc;82;false;false
lcc;83;false;false
lcc;84;false;false
lcc;85;false;false
lcc;86;false;false
lcc;87;false;false
lcc;88;false;false
lcc;89;false;false
lcc;90;false;false
lcc;91;false;false
lcc;92;false;false
lcc;93;false;false
lcc;94;false;false
lcc;95;false;false
lcc;96;false;false
lcc;97;false;false
lcc;98;false;false
lcc;99;false;false
lcc;100;false;false
lcc;101;false;false
lcc;102;false;false
lcc;103;false;false
lcc;104;false;false
lcc;105;false;false
lcc;106;false;false
lcc;107;false;false
