set;number;no_foil;foil
lci;1;false;false
lci;2;false;false
lci;3;false;false
lci;4;false;false
lci;5;false;false
lci;6;false;false
lci;7;false;false
lci;8;false;false
lci;9;false;false
lci;10;false;false
lci;11;false;false
lci;12;false;false
lci;13;false;false
lci;14;false;false
lci;15;false;false
lci;16;false;false
lci;17;false;false
lci;18;false;false
lci;19;false;false
lci;20;false;false
lci;21;false;false
lci;22;false;false
lci;23;false;false
lci;24;false;false
lci;25;false;false
lci;26;false;false
lci;27;false;false
lci;28;false;false
lci;29;false;false
lci;30;false;false
lci;31;false;false
lci;32;false;false
lci;33;false;false
lci;34;false;false
lci;35;false;false
lci;36;false;false
lci;37;false;false
lci;38;false;false
lci;39;false;false
lci;40;false;false
lci;41;false;false
lci;42;false;false
lci;43;false;false
lci;44;false;false
lci;45;false;false
lci;46;false;false
lci;47;false;false
lci;48;false;false
lci;49;false;false
lci;50;false;false
lci;51;false;false
lci;52;false;false
lci;53;false;false
lci;54;false;false
lci;55;false;false
lci;56;false;false
lci;57;false;false
lci;58;false;false
lci;59;false;false
lci;60;false;false
lci;61;false;false
lci;62;false;false
lci;63;false;false
lci;64;false;false
lci;65;false;false
lci;66;false;false
lci;67;false;false
lci;68;false;false
lci;69;false;false
lci;70;false;false
lci;71;false;false
lci;72;false;false
lci;73;false;false
lci;74;false;false
lci;75;false;false
lci;76;false;false
lci;77;false;false
lci;78;false;false
lci;79;false;false
lci;80;false;false
lci;81;false;false
lci;82;false;false
lci;83;false;false
lci;84;false;false
lci;85;false;false
lci;86;false;false
lci;87;false;false
lci;88;false;false
lci;89;false;false
lci;90;false;false
lci;91;false;false
lci;92;false;false
lci;93;false;false
lci;94;false;false
lci;95;false;false
lci;96;false;false
lci;97;false;false
lci;98;false;false
lci;99;false;false
lci;100;false;false
lci;101;false;false
lci;102;false;false
lci;103;false;false
lci;104;false;false
lci;105;false;false
lci;106;false;false
lci;107;false;false
lci;108;false;false
lci;109;false;false
lci;110;false;false
lci;111;false;false
lci;112;false;false
lci;113;false;false
