set;number;no_foil;foil
lea;1;false;false
lea;2;false;false
lea;3;false;false
lea;4;false;false
lea;5;false;false
lea;6;false;false
lea;7;false;false
lea;8;false;false
lea;9;false;false
lea;10;false;false
lea;11;false;false
lea;12;false;false
lea;13;false;false
lea;14;false;false
lea;15;false;false
lea;16;false;false
lea;17;false;false
lea;18;false;false
lea;19;false;false
lea;20;false;false
lea;21;false;false
lea;22;false;false
lea;23;false;false
lea;24;false;false
lea;25;false;false
lea;26;false;false
lea;27;false;false
lea;28;false;false
lea;29;false;false
lea;30;false;false
lea;31;false;false
lea;32;false;false
lea;33;false;false
lea;34;false;false
lea;35;false;false
lea;36;false;false
lea;37;false;false
lea;38;false;false
lea;39;false;false
lea;40;false;false
lea;41;false;false
lea;42;false;false
lea;43;false;false
lea;44;false;false
lea;45;false;false
lea;46;false;false
lea;47;false;false
lea;48;false;false
lea;49;false;false
lea;50;false;false
lea;51;false;false
lea;52;false;false
lea;53;false;false
lea;54;false;false
lea;55;false;false
lea;56;false;false
lea;57;false;false
lea;58;false;false
lea;59;false;false
lea;60;false;false
lea;61;false;false
lea;62;false;false
lea;63;false;false
lea;64;false;false
lea;65;false;false
lea;66;false;false
lea;67;false;false
lea;68;false;false
lea;69;false;false
lea;70;false;false
lea;71;false;false
lea;72;false;false
lea;73;false;false
lea;74;false;false
lea;75;false;false
lea;76;false;false
lea;77;false;false
lea;78;false;false
lea;79;false;false
lea;80;false;false
lea;81;false;false
lea;82;false;false
lea;83;false;false
lea;84;false;false
lea;85;false;false
lea;86;false;false
lea;87;false;false
lea;88;false;false
lea;89;false;false
lea;90;false;false
lea;91;false;false
lea;92;false;false
lea;93;false;false
lea;94;false;false
lea;95;false;false
lea;96;false;false
lea;97;false;false
lea;98;false;false
lea;99;false;false
lea;100;false;false
lea;101;false;false
lea;102;false;false
lea;103;false;false
lea;104;false;false
lea;105;false;false
lea;106;false;false
lea;107;false;false
lea;108;false;false
lea;109;false;false
lea;110;false;false
lea;111;false;false
lea;112;false;false
lea;113;false;false
lea;114;false;false
lea;115;false;false
lea;116;false;false
lea;117;false;false
lea;118;false;false
lea;119;false;false
lea;120;false;false
lea;121;false;false
lea;122;false;false
lea;123;false;false
lea;124;false;false
lea;125;false;false
lea;126;false;false
lea;127;false;false
lea;128;false;false
lea;129;false;false
lea;130;false;false
lea;131;false;false
lea;132;false;false
lea;133;false;false
lea;134;false;false
lea;135;false;false
lea;136;false;false
lea;137;false;false
lea;138;false;false
lea;139;false;false
lea;140;false;false
lea;141;false;false
lea;142;false;false
lea;143;false;false
lea;144;false;false
lea;145;false;false
lea;146;false;false
lea;147;false;false
lea;148;false;false
lea;149;false;false
lea;150;false;false
lea;151;false;false
lea;152;false;false
lea;153;false;false
lea;154;false;false
lea;155;false;false
lea;156;false;false
lea;157;false;false
lea;158;false;false
lea;159;false;false
lea;160;false;false
lea;161;false;false
lea;162;false;false
lea;163;false;false
lea;164;false;false
lea;165;false;false
lea;166;false;false
lea;167;false;false
lea;168;false;false
lea;169;false;false
lea;170;false;false
lea;171;false;false
lea;172;false;false
lea;173;false;false
lea;174;false;false
lea;175;false;false
lea;176;false;false
lea;177;false;false
lea;178;false;false
lea;179;false;false
lea;180;false;false
lea;181;false;false
lea;182;false;false
lea;183;false;false
lea;184;false;false
lea;185;false;false
lea;186;false;false
lea;187;false;false
lea;188;false;false
lea;189;false;false
lea;190;false;false
lea;191;false;false
lea;192;false;false
lea;193;false;false
lea;194;false;false
lea;195;false;false
lea;196;false;false
lea;197;false;false
lea;198;false;false
lea;199;false;false
lea;200;false;false
lea;201;false;false
lea;202;false;false
lea;203;false;false
lea;204;false;false
lea;205;false;false
lea;206;false;false
lea;207;false;false
lea;208;false;false
lea;209;false;false
lea;210;false;false
lea;211;false;false
lea;212;false;false
lea;213;false;false
lea;214;false;false
lea;215;false;false
lea;216;false;false
lea;217;false;false
lea;218;false;false
lea;219;false;false
lea;220;false;false
lea;221;false;false
lea;222;false;false
lea;223;false;false
lea;224;false;false
lea;225;false;false
lea;226;false;false
lea;227;false;false
lea;228;false;false
lea;229;false;false
lea;230;false;false
lea;231;false;false
lea;232;false;false
lea;233;false;false
lea;234;false;false
lea;235;false;false
lea;236;false;false
lea;237;false;false
lea;238;false;false
lea;239;false;false
lea;240;false;false
lea;241;false;false
lea;242;false;false
lea;243;false;false
lea;244;false;false
lea;245;false;false
lea;246;false;false
lea;247;false;false
lea;248;false;false
lea;249;false;false
lea;250;false;false
lea;251;false;false
lea;252;false;false
lea;253;false;false
lea;254;false;false
lea;255;false;false
lea;256;false;false
lea;257;false;false
lea;258;false;false
lea;259;false;false
lea;260;false;false
lea;261;false;false
lea;262;false;false
lea;263;false;false
lea;264;false;false
lea;265;false;false
lea;266;false;false
lea;267;false;false
lea;268;false;false
lea;269;false;false
lea;270;false;false
lea;271;false;false
lea;272;false;false
lea;273;false;false
lea;274;false;false
lea;275;false;false
lea;276;false;false
lea;277;false;false
lea;278;false;false
lea;279;false;false
lea;280;false;false
lea;281;false;false
lea;282;false;false
lea;283;false;false
lea;284;false;false
lea;285;false;false
lea;286;false;false
lea;287;false;false
lea;288;false;false
lea;289;false;false
lea;290;false;false
lea;291;false;false
lea;292;false;false
lea;293;false;false
lea;294;false;false
lea;295;false;false
