set;number;no_foil;foil
leb;1;false;false
leb;2;false;false
leb;3;false;false
leb;4;false;false
leb;5;false;false
leb;6;false;false
leb;7;false;false
leb;8;false;false
leb;9;false;false
leb;10;false;false
leb;11;false;false
leb;12;false;false
leb;13;false;false
leb;14;false;false
leb;15;false;false
leb;16;false;false
leb;17;false;false
leb;18;false;false
leb;19;false;false
leb;20;false;false
leb;21;false;false
leb;22;false;false
leb;23;false;false
leb;24;false;false
leb;25;false;false
leb;26;false;false
leb;27;false;false
leb;28;false;false
leb;29;false;false
leb;30;false;false
leb;31;false;false
leb;32;false;false
leb;33;false;false
leb;34;false;false
leb;35;false;false
leb;36;false;false
leb;37;false;false
leb;38;false;false
leb;39;false;false
leb;40;false;false
leb;41;false;false
leb;42;false;false
leb;43;false;false
leb;44;false;false
leb;45;false;false
leb;46;false;false
leb;47;false;false
leb;48;false;false
leb;49;false;false
leb;50;false;false
leb;51;false;false
leb;52;false;false
leb;53;false;false
leb;54;false;false
leb;55;false;false
leb;56;false;false
leb;57;false;false
leb;58;false;false
leb;59;false;false
leb;60;false;false
leb;61;false;false
leb;62;false;false
leb;63;false;false
leb;64;false;false
leb;65;false;false
leb;66;false;false
leb;67;false;false
leb;68;false;false
leb;69;false;false
leb;70;false;false
leb;71;false;false
leb;72;false;false
leb;73;false;false
leb;74;false;false
leb;75;false;false
leb;76;false;false
leb;77;false;false
leb;78;false;false
leb;79;false;false
leb;80;false;false
leb;81;false;false
leb;82;false;false
leb;83;false;false
leb;84;false;false
leb;85;false;false
leb;86;false;false
leb;87;false;false
leb;88;false;false
leb;89;false;false
leb;90;false;false
leb;91;false;false
leb;92;false;false
leb;93;false;false
leb;94;false;false
leb;95;false;false
leb;96;false;false
leb;97;false;false
leb;98;false;false
leb;99;false;false
leb;100;false;false
leb;101;false;false
leb;102;false;false
leb;103;false;false
leb;104;false;false
leb;105;false;false
leb;106;false;false
leb;107;false;false
leb;108;false;false
leb;109;false;false
leb;110;false;false
leb;111;false;false
leb;112;false;false
leb;113;false;false
leb;114;false;false
leb;115;false;false
leb;116;false;false
leb;117;false;false
leb;118;false;false
leb;119;false;false
leb;120;false;false
leb;121;false;false
leb;122;false;false
leb;123;false;false
leb;124;false;false
leb;125;false;false
leb;126;false;false
leb;127;false;false
leb;128;false;false
leb;129;false;false
leb;130;false;false
leb;131;false;false
leb;132;false;false
leb;133;false;false
leb;134;false;false
leb;135;false;false
leb;136;false;false
leb;137;false;false
leb;138;false;false
leb;139;false;false
leb;140;false;false
leb;141;false;false
leb;142;false;false
leb;143;false;false
leb;144;false;false
leb;145;false;false
leb;146;false;false
leb;147;false;false
leb;148;false;false
leb;149;false;false
leb;150;false;false
leb;151;false;false
leb;152;false;false
leb;153;false;false
leb;154;false;false
leb;155;false;false
leb;156;false;false
leb;157;false;false
leb;158;false;false
leb;159;false;false
leb;160;false;false
leb;161;false;false
leb;162;false;false
leb;163;false;false
leb;164;false;false
leb;165;false;false
leb;166;false;false
leb;167;false;false
leb;168;false;false
leb;169;false;false
leb;170;false;false
leb;171;false;false
leb;172;false;false
leb;173;false;false
leb;174;false;false
leb;175;false;false
leb;176;false;false
leb;177;false;false
leb;178;false;false
leb;179;false;false
leb;180;false;false
leb;181;false;false
leb;182;false;false
leb;183;false;false
leb;184;false;false
leb;185;false;false
leb;186;false;false
leb;187;false;false
leb;188;false;false
leb;189;false;false
leb;190;false;false
leb;191;false;false
leb;192;false;false
leb;193;false;false
leb;194;false;false
leb;195;false;false
leb;196;false;false
leb;197;false;false
leb;198;false;false
leb;199;false;false
leb;200;false;false
leb;201;false;false
leb;202;false;false
leb;203;false;false
leb;204;false;false
leb;205;false;false
leb;206;false;false
leb;207;false;false
leb;208;false;false
leb;209;false;false
leb;210;false;false
leb;211;false;false
leb;212;false;false
leb;213;false;false
leb;214;false;false
leb;215;false;false
leb;216;false;false
leb;217;false;false
leb;218;false;false
leb;219;false;false
leb;220;false;false
leb;221;false;false
leb;222;false;false
leb;223;false;false
leb;224;false;false
leb;225;false;false
leb;226;false;false
leb;227;false;false
leb;228;false;false
leb;229;false;false
leb;230;false;false
leb;231;false;false
leb;232;false;false
leb;233;false;false
leb;234;false;false
leb;235;false;false
leb;236;false;false
leb;237;false;false
leb;238;false;false
leb;239;false;false
leb;240;false;false
leb;241;false;false
leb;242;false;false
leb;243;false;false
leb;244;false;false
leb;245;false;false
leb;246;false;false
leb;247;false;false
leb;248;false;false
leb;249;false;false
leb;250;false;false
leb;251;false;false
leb;252;false;false
leb;253;false;false
leb;254;false;false
leb;255;false;false
leb;256;false;false
leb;257;false;false
leb;258;false;false
leb;259;false;false
leb;260;false;false
leb;261;false;false
leb;262;false;false
leb;263;false;false
leb;264;false;false
leb;265;false;false
leb;266;false;false
leb;267;false;false
leb;268;false;false
leb;269;false;false
leb;270;false;false
leb;271;false;false
leb;272;false;false
leb;273;false;false
leb;274;false;false
leb;275;false;false
leb;276;false;false
leb;277;false;false
leb;278;false;false
leb;279;false;false
leb;280;false;false
leb;281;false;false
leb;282;false;false
leb;283;false;false
leb;284;false;false
leb;285;false;false
leb;286;false;false
leb;287;false;false
leb;288;false;false
leb;289;false;false
leb;290;false;false
leb;291;false;false
leb;292;false;false
leb;293;false;false
leb;294;false;false
leb;295;false;false
leb;296;false;false
leb;297;false;false
leb;298;false;false
leb;299;false;false
leb;300;false;false
leb;301;false;false
leb;302;false;false
