set;number;no_foil;foil
leg;1;false;false
leg;2;false;false
leg;3;false;false
leg;4;false;false
leg;5;false;false
leg;6;false;false
leg;7;false;false
leg;8;false;false
leg;9;false;false
leg;10;false;false
leg;11;false;false
leg;12;false;false
leg;13;false;false
leg;14;false;false
leg;15;false;false
leg;16;false;false
leg;17;false;false
leg;18;false;false
leg;19;false;false
leg;20;false;false
leg;21;false;false
leg;22;false;false
leg;23;false;false
leg;24;false;false
leg;25;false;false
leg;26;false;false
leg;27;false;false
leg;28;false;false
leg;29;false;false
leg;30;false;false
leg;31;false;false
leg;32;false;false
leg;33;false;false
leg;34;false;false
leg;35;false;false
leg;36;false;false
leg;37;false;false
leg;38;false;false
leg;39;false;false
leg;40;false;false
leg;41;false;false
leg;42;false;false
leg;43;false;false
leg;44;false;false
leg;45;false;false
leg;46;false;false
leg;47;false;false
leg;48;false;false
leg;49;false;false
leg;50;false;false
leg;51;false;false
leg;52;false;false
leg;53;false;false
leg;54;false;false
leg;55;false;false
leg;56;false;false
leg;57;false;false
leg;58;false;false
leg;59;false;false
leg;60;false;false
leg;61;false;false
leg;62;false;false
leg;63;false;false
leg;64;false;false
leg;65;false;false
leg;66;false;false
leg;67;false;false
leg;68;false;false
leg;69;false;false
leg;70;false;false
leg;71;false;false
leg;72;false;false
leg;73;false;false
leg;74;false;false
leg;75;false;false
leg;76;false;false
leg;77;false;false
leg;78;false;false
leg;79;false;false
leg;80;false;false
leg;81;false;false
leg;82;false;false
leg;83;false;false
leg;84;false;false
leg;85;false;false
leg;86;false;false
leg;87;false;false
leg;88;false;false
leg;89;false;false
leg;90;false;false
leg;91;false;false
leg;92;false;false
leg;93;false;false
leg;94;false;false
leg;95;false;false
leg;96;false;false
leg;97;false;false
leg;98;false;false
leg;99;false;false
leg;100;false;false
leg;101;false;false
leg;102;false;false
leg;103;false;false
leg;104;false;false
leg;105;false;false
leg;106;false;false
leg;107;false;false
leg;108;false;false
leg;109;false;false
leg;110;false;false
leg;111;false;false
leg;112;false;false
leg;113;false;false
leg;114;false;false
leg;115;false;false
leg;116;false;false
leg;117;false;false
leg;118;false;false
leg;119;false;false
leg;120;false;false
leg;121;false;false
leg;122;false;false
leg;123;false;false
leg;124;false;false
leg;125;false;false
leg;126;false;false
leg;127;false;false
leg;128;false;false
leg;129;false;false
leg;130;false;false
leg;131;false;false
leg;132;false;false
leg;133;false;false
leg;134;false;false
leg;135;false;false
leg;136;false;false
leg;137;false;false
leg;138;false;false
leg;139;false;false
leg;140;false;false
leg;141;false;false
leg;142;false;false
leg;143;false;false
leg;144;false;false
leg;145;false;false
leg;146;false;false
leg;147;false;false
leg;148;false;false
leg;149;false;false
leg;150;false;false
leg;151;false;false
leg;152;false;false
leg;153;false;false
leg;154;false;false
leg;155;false;false
leg;156;false;false
leg;157;false;false
leg;158;false;false
leg;159;false;false
leg;160;false;false
leg;161;false;false
leg;162;false;false
leg;163;false;false
leg;164;false;false
leg;165;false;false
leg;166;false;false
leg;167;false;false
leg;168;false;false
leg;169;false;false
leg;170;false;false
leg;171;false;false
leg;172;false;false
leg;173;false;false
leg;174;false;false
leg;175;false;false
leg;176;false;false
leg;177;false;false
leg;178;false;false
leg;179;false;false
leg;180;false;false
leg;181;false;false
leg;182;false;false
leg;183;false;false
leg;184;false;false
leg;185;false;false
leg;186;false;false
leg;187;false;false
leg;188;false;false
leg;189;false;false
leg;190;false;false
leg;191;false;false
leg;192;false;false
leg;193;false;false
leg;194;false;false
leg;195;false;false
leg;196;false;false
leg;197;false;false
leg;198;false;false
leg;199;false;false
leg;200;false;false
leg;201;false;false
leg;202;false;false
leg;203;false;false
leg;204;false;false
leg;205;false;false
leg;206;false;false
leg;207;false;false
leg;208;false;false
leg;209;false;false
leg;210;false;false
leg;211;false;false
leg;212;false;false
leg;213;false;false
leg;214;false;false
leg;215;false;false
leg;216;false;false
leg;217;false;false
leg;218;false;false
leg;219;false;false
leg;220;false;false
leg;221;false;false
leg;222;false;false
leg;223;false;false
leg;224;false;false
leg;225;false;false
leg;226;false;false
leg;227;false;false
leg;228;false;false
leg;229;false;false
leg;230;false;false
leg;231;false;false
leg;232;false;false
leg;233;false;false
leg;234;false;false
leg;235;false;false
leg;236;false;false
leg;237;false;false
leg;238;false;false
leg;239;false;false
leg;240;false;false
leg;241;false;false
leg;242;false;false
leg;243;false;false
leg;244;false;false
leg;245;false;false
leg;246;false;false
leg;247;false;false
leg;248;false;false
leg;249;false;false
leg;250;false;false
leg;251;false;false
leg;252;false;false
leg;253;false;false
leg;254;false;false
leg;255;false;false
leg;256;false;false
leg;257;false;false
leg;258;false;false
leg;259;false;false
leg;260;false;false
leg;261;false;false
leg;262;false;false
leg;263;false;false
leg;264;false;false
leg;265;false;false
leg;266;false;false
leg;267;false;false
leg;268;false;false
leg;269;false;false
leg;270;false;false
leg;271;false;false
leg;272;false;false
leg;273;false;false
leg;274;false;false
leg;275;false;false
leg;276;false;false
leg;277;false;false
leg;278;false;false
leg;279;false;false
leg;280;false;false
leg;281;false;false
leg;282;false;false
leg;283;false;false
leg;284;false;false
leg;285;false;false
leg;286;false;false
leg;287;false;false
leg;288;false;false
leg;289;false;false
leg;290;false;false
leg;291;false;false
leg;292;false;false
leg;293;false;false
leg;294;false;false
leg;295;false;false
leg;296;false;false
leg;297;false;false
leg;298;false;false
leg;299;false;false
leg;300;false;false
leg;301;false;false
leg;302;false;false
leg;303;false;false
leg;304;false;false
leg;305;false;false
leg;306;false;false
leg;307;false;false
leg;308;false;false
leg;309;false;false
leg;310;false;false
