set;number;no_foil;foil
lrw;1;false;false
lrw;2;false;false
lrw;3;false;false
lrw;4;false;false
lrw;5;false;false
lrw;6;false;false
lrw;7;false;false
lrw;8;false;false
lrw;9;false;false
lrw;10;false;false
lrw;11;false;false
lrw;12;false;false
lrw;13;false;false
lrw;14;false;false
lrw;15;false;false
lrw;16;false;false
lrw;17;false;false
lrw;18;false;false
lrw;19;false;false
lrw;20;false;false
lrw;21;false;false
lrw;22;false;false
lrw;23;false;false
lrw;24;false;false
lrw;25;false;false
lrw;26;false;false
lrw;27;false;false
lrw;28;false;false
lrw;29;false;false
lrw;30;false;false
lrw;31;false;false
lrw;32;false;false
lrw;33;false;false
lrw;34;false;false
lrw;35;false;false
lrw;36;false;false
lrw;37;false;false
lrw;38;false;false
lrw;39;false;false
lrw;40;false;false
lrw;41;false;false
lrw;42;false;false
lrw;43;false;false
lrw;44;false;false
lrw;45;false;false
lrw;46;false;false
lrw;47;false;false
lrw;48;false;false
lrw;49;false;false
lrw;50;false;false
lrw;51;false;false
lrw;52;false;false
lrw;53;false;false
lrw;54;false;false
lrw;55;false;false
lrw;56;false;false
lrw;57;false;false
lrw;58;false;false
lrw;59;false;false
lrw;60;false;false
lrw;61;false;false
lrw;62;false;false
lrw;63;false;false
lrw;64;false;false
lrw;65;false;false
lrw;66;false;false
lrw;67;false;false
lrw;68;false;false
lrw;69;false;false
lrw;70;false;false
lrw;71;false;false
lrw;72;false;false
lrw;73;false;false
lrw;74;false;false
lrw;75;false;false
lrw;76;false;false
lrw;77;false;false
lrw;78;false;false
lrw;79;false;false
lrw;80;false;false
lrw;81;false;false
lrw;82;false;false
lrw;83;false;false
lrw;84;false;false
lrw;85;false;false
lrw;86;false;false
lrw;87;false;false
lrw;88;false;false
lrw;89;false;false
lrw;90;false;false
lrw;91;false;false
lrw;92;false;false
lrw;93;false;false
lrw;94;false;false
lrw;95;false;false
lrw;96;false;false
lrw;97;false;false
lrw;98;false;false
lrw;99;false;false
lrw;100;false;false
lrw;101;false;false
lrw;102;false;false
lrw;103;false;false
lrw;104;false;false
lrw;105;false;false
lrw;106;false;false
lrw;107;false;false
lrw;108;false;false
lrw;109;false;false
lrw;110;false;false
lrw;111;false;false
lrw;112;false;false
lrw;113;false;false
lrw;114;false;false
lrw;115;false;false
lrw;116;false;false
lrw;117;false;false
lrw;118;false;false
lrw;119;false;false
lrw;120;false;false
lrw;121;false;false
lrw;122;false;false
lrw;123;false;false
lrw;124;false;false
lrw;125;false;false
lrw;126;false;false
lrw;127;false;false
lrw;128;false;false
lrw;129;false;false
lrw;130;false;false
lrw;131;false;false
lrw;132;false;false
lrw;133;false;false
lrw;134;false;false
lrw;135;false;false
lrw;136;false;false
lrw;137;false;false
lrw;138;false;false
lrw;139;false;false
lrw;140;false;false
lrw;141;false;false
lrw;142;false;false
lrw;143;false;false
lrw;144;false;false
lrw;145;false;false
lrw;146;false;false
lrw;147;false;false
lrw;148;false;false
lrw;149;false;false
lrw;150;false;false
lrw;151;false;false
lrw;152;false;false
lrw;153;false;false
lrw;154;false;false
lrw;155;false;false
lrw;156;false;false
lrw;157;false;false
lrw;158;false;false
lrw;159;false;false
lrw;160;false;false
lrw;161;false;false
lrw;162;false;false
lrw;163;false;false
lrw;164;false;false
lrw;165;false;false
lrw;166;false;false
lrw;167;false;false
lrw;168;false;false
lrw;169;false;false
lrw;170;false;false
lrw;171;false;false
lrw;172;false;false
lrw;173;false;false
lrw;174;false;false
lrw;175;false;false
lrw;176;false;false
lrw;177;false;false
lrw;178;false;false
lrw;179;false;false
lrw;180;false;false
lrw;181;false;false
lrw;182;false;false
lrw;183;false;false
lrw;184;false;false
lrw;185;false;false
lrw;186;false;false
lrw;187;false;false
lrw;188;false;false
lrw;189;false;false
lrw;190;false;false
lrw;191;false;false
lrw;192;false;false
lrw;193;false;false
lrw;194;false;false
lrw;195;false;false
lrw;196;false;false
lrw;197;false;false
lrw;198;false;false
lrw;199;false;false
lrw;200;false;false
lrw;201;false;false
lrw;202;false;false
lrw;203;false;false
lrw;204;false;false
lrw;205;false;false
lrw;206;false;false
lrw;207;false;false
lrw;208;false;false
lrw;209;false;false
lrw;210;false;false
lrw;211;false;false
lrw;212;false;false
lrw;213;false;false
lrw;214;false;false
lrw;215;false;false
lrw;216;false;false
lrw;217;false;false
lrw;218;false;false
lrw;219;false;false
lrw;220;false;false
lrw;221;false;false
lrw;222;false;false
lrw;223;false;false
lrw;224;false;false
lrw;225;false;false
lrw;226;false;false
lrw;227;false;false
lrw;228;false;false
lrw;229;false;false
lrw;230;false;false
lrw;231;false;false
lrw;232;false;false
lrw;233;false;false
lrw;234;false;false
lrw;235;false;false
lrw;236;false;false
lrw;237;false;false
lrw;238;false;false
lrw;239;false;false
lrw;240;false;false
lrw;241;false;false
lrw;242;false;false
lrw;243;false;false
lrw;244;false;false
lrw;245;false;false
lrw;246;false;false
lrw;247;false;false
lrw;248;false;false
lrw;249;false;false
lrw;250;false;false
lrw;251;false;false
lrw;252;false;false
lrw;253;false;false
lrw;254;false;false
lrw;255;false;false
lrw;256;false;false
lrw;257;false;false
lrw;258;false;false
lrw;259;false;false
lrw;260;false;false
lrw;261;false;false
lrw;262;false;false
lrw;263;false;false
lrw;264;false;false
lrw;265;false;false
lrw;266;false;false
lrw;267;false;false
lrw;268;false;false
lrw;269;false;false
lrw;270;false;false
lrw;271;false;false
lrw;272;false;false
lrw;273;false;false
lrw;274;false;false
lrw;275;false;false
lrw;276;false;false
lrw;277;false;false
lrw;278;false;false
lrw;279;false;false
lrw;280;false;false
lrw;281;false;false
lrw;282;false;false
lrw;283;false;false
lrw;284;false;false
lrw;285;false;false
lrw;286;false;false
lrw;287;false;false
lrw;288;false;false
lrw;289;false;false
lrw;290;false;false
lrw;291;false;false
lrw;292;false;false
lrw;293;false;false
lrw;294;false;false
lrw;295;false;false
lrw;296;false;false
lrw;297;false;false
lrw;298;false;false
lrw;299;false;false
lrw;300;false;false
lrw;301;false;false
