set;number;no_foil;foil
ltr;0;false;false
ltr;1;false;false
ltr;2;false;false
ltr;3;false;false
ltr;4;false;false
ltr;5;false;false
ltr;6;false;false
ltr;7;false;false
ltr;8;false;false
ltr;9;false;false
ltr;10;false;false
ltr;11;false;false
ltr;12;false;false
ltr;13;false;false
ltr;14;false;false
ltr;15;false;false
ltr;16;false;false
ltr;17;false;false
ltr;18;false;false
ltr;19;false;false
ltr;20;false;false
ltr;21;false;false
ltr;22;false;false
ltr;23;false;false
ltr;24;false;false
ltr;25;false;false
ltr;26;false;false
ltr;27;false;false
ltr;28;false;false
ltr;29;false;false
ltr;30;false;false
ltr;31;false;false
ltr;32;false;false
ltr;33;false;false
ltr;34;false;false
ltr;35;false;false
ltr;36;false;false
ltr;37;false;false
ltr;38;false;false
ltr;39;false;false
ltr;40;false;false
ltr;41;false;false
ltr;42;false;false
ltr;43;false;false
ltr;44;false;false
ltr;45;false;false
ltr;46;false;false
ltr;47;false;false
ltr;48;false;false
ltr;49;false;false
ltr;50;false;false
ltr;51;false;false
ltr;52;true;false
ltr;53;false;false
ltr;54;false;false
ltr;55;false;false
ltr;56;false;false
ltr;57;false;false
ltr;58;false;false
ltr;59;false;false
ltr;60;false;false
ltr;61;false;false
ltr;62;false;false
ltr;63;false;false
ltr;64;false;false
ltr;65;false;false
ltr;66;false;false
ltr;67;false;false
ltr;68;false;false
ltr;69;false;false
ltr;70;false;false
ltr;71;false;false
ltr;72;false;false
ltr;73;false;false
ltr;74;false;false
ltr;75;true;false
ltr;76;false;false
ltr;77;false;false
ltr;78;false;false
ltr;79;false;false
ltr;80;false;false
ltr;81;false;false
ltr;82;false;false
ltr;83;false;false
ltr;84;false;false
ltr;85;false;false
ltr;86;false;false
ltr;87;false;false
ltr;88;false;false
ltr;89;false;false
ltr;90;false;false
ltr;91;false;false
ltr;92;false;false
ltr;93;false;false
ltr;94;false;false
ltr;95;false;false
ltr;96;false;false
ltr;97;false;false
ltr;98;false;false
ltr;99;false;false
ltr;100;false;false
ltr;101;false;false
ltr;102;false;false
ltr;103;false;false
ltr;A-103;false;false
ltr;104;false;false
ltr;105;false;false
ltr;106;false;false
ltr;107;true;false
ltr;108;false;false
ltr;109;false;false
ltr;110;false;false
ltr;111;false;false
ltr;112;false;false
ltr;113;false;false
ltr;114;true;false
ltr;115;false;false
ltr;116;false;false
ltr;117;false;false
ltr;118;false;false
ltr;119;false;false
ltr;120;false;false
ltr;121;false;false
ltr;122;false;false
ltr;123;false;false
ltr;124;false;false
ltr;125;false;false
ltr;126;false;false
ltr;127;false;false
ltr;128;false;false
ltr;129;false;false
ltr;130;false;false
ltr;131;false;false
ltr;132;false;false
ltr;133;false;false
ltr;134;false;false
ltr;135;false;false
ltr;136;true;false
ltr;137;false;false
ltr;138;false;false
ltr;139;false;false
ltr;140;false;false
ltr;141;false;false
ltr;142;false;false
ltr;143;false;false
ltr;144;false;false
ltr;145;false;false
ltr;146;false;false
ltr;147;false;false
ltr;148;false;false
ltr;149;false;false
ltr;150;false;false
ltr;151;false;false
ltr;152;false;false
ltr;153;false;false
ltr;154;false;false
ltr;155;false;false
ltr;156;false;false
ltr;157;false;false
ltr;158;false;false
ltr;159;false;false
ltr;160;false;false
ltr;161;false;false
ltr;162;false;false
ltr;163;false;false
ltr;164;false;false
ltr;165;false;false
ltr;166;false;false
ltr;167;false;false
ltr;168;false;false
ltr;169;false;false
ltr;170;false;false
ltr;171;false;false
ltr;172;false;false
ltr;173;false;false
ltr;174;false;false
ltr;175;false;false
ltr;176;false;false
ltr;177;false;false
ltr;178;false;false
ltr;179;false;false
ltr;180;false;false
ltr;181;false;false
ltr;182;false;false
ltr;183;false;false
ltr;184;false;false
ltr;185;false;false
ltr;186;false;false
ltr;187;false;false
ltr;188;false;false
ltr;189;false;false
ltr;190;false;false
ltr;191;false;false
ltr;192;false;false
ltr;193;true;false
ltr;194;false;false
ltr;195;false;false
ltr;196;false;false
ltr;197;false;false
ltr;198;false;false
ltr;199;true;false
ltr;200;false;false
ltr;201;false;false
ltr;202;true;false
ltr;203;false;false
ltr;204;false;false
ltr;205;false;false
ltr;206;false;false
ltr;207;false;false
ltr;208;false;false
ltr;209;false;false
ltr;210;false;false
ltr;211;false;false
ltr;212;false;false
ltr;213;false;false
ltr;214;false;false
ltr;215;false;false
ltr;216;false;false
ltr;217;false;false
ltr;218;false;false
ltr;219;false;false
ltr;220;false;false
ltr;221;false;false
ltr;222;false;false
ltr;223;false;false
ltr;224;false;false
ltr;225;false;false
ltr;226;false;false
ltr;227;false;false
ltr;228;true;false
ltr;229;false;false
ltr;230;false;false
ltr;231;false;false
ltr;232;false;false
ltr;233;false;false
ltr;234;false;false
ltr;235;false;false
ltr;236;true;false
ltr;237;false;false
ltr;238;false;false
ltr;239;false;false
ltr;240;false;false
ltr;241;false;false
ltr;242;false;false
ltr;243;false;false
ltr;244;false;false
ltr;245;false;false
ltr;246;false;false
ltr;A-246;false;false
ltr;247;true;false
ltr;248;false;false
ltr;249;false;false
ltr;250;false;false
ltr;251;false;false
ltr;252;false;false
ltr;253;false;false
ltr;254;false;false
ltr;255;false;false
ltr;256;false;false
ltr;257;false;false
ltr;258;false;false
ltr;259;true;false
ltr;260;false;false
ltr;261;false;false
ltr;262;false;false
ltr;263;false;false
ltr;264;false;false
ltr;265;false;false
ltr;266;false;false
ltr;267;false;false
ltr;268;false;false
ltr;269;false;false
ltr;270;false;false
ltr;271;false;false
ltr;272;false;false
ltr;273;false;false
ltr;274;false;false
ltr;275;false;false
ltr;276;false;false
ltr;277;false;false
ltr;278;false;false
ltr;279;false;false
ltr;280;false;false
ltr;281;false;false
ltr;282;false;false
ltr;283;false;false
ltr;284;false;false
ltr;285;false;false
ltr;286;false;false
ltr;287;false;false
ltr;288;false;false
ltr;289;false;false
ltr;290;false;false
ltr;291;false;false
ltr;292;false;false
ltr;293;false;false
ltr;294;false;false
ltr;295;false;false
ltr;296;false;false
ltr;297;false;false
ltr;298;false;false
ltr;299;true;false
ltr;300;true;false
ltr;301;true;false
ltr;302;false;false
ltr;303;false;false
ltr;304;false;false
ltr;305;false;false
ltr;306;false;false
ltr;307;false;false
ltr;308;false;false
ltr;309;false;false
ltr;310;false;false
ltr;311;true;false
ltr;312;false;false
ltr;313;false;false
ltr;314;false;false
ltr;315;false;false
ltr;316;false;false
ltr;317;true;false
ltr;318;true;false
ltr;319;false;false
ltr;320;false;false
ltr;321;false;false
ltr;322;true;false
ltr;323;false;false
ltr;324;false;false
ltr;325;false;false
ltr;326;false;false
ltr;327;true;false
ltr;328;false;false
ltr;329;true;false
ltr;330;false;false
ltr;331;false;false
ltr;332;false;false
ltr;333;true;false
ltr;334;true;false
ltr;335;true;false
ltr;336;true;false
ltr;337;true;false
ltr;338;false;false
ltr;339;true;false
ltr;340;true;false
ltr;341;false;false
ltr;342;false;false
ltr;343;false;false
ltr;344;false;false
ltr;345;false;false
ltr;346;true;false
ltr;347;true;false
ltr;348;true;false
ltr;349;true;false
ltr;350;true;false
ltr;351;true;false
ltr;352;true;false
ltr;353;false;false
ltr;354;true;false
ltr;355;true;false
ltr;356;false;false
ltr;357;true;false
ltr;358;false;false
ltr;359;true;false
ltr;360;true;false
ltr;361;true;false
ltr;362;true;false
ltr;363;true;false
ltr;364;true;false
ltr;365;true;false
ltr;366;true;false
ltr;367;true;false
ltr;368;false;false
ltr;369;false;false
ltr;370;true;false
ltr;371;true;false
ltr;372;true;false
ltr;373;true;false
ltr;374;true;false
ltr;375;true;false
ltr;376;true;false
ltr;377;true;false
ltr;378;true;false
ltr;379;false;false
ltr;380;false;false
ltr;381;false;false
ltr;382;false;false
ltr;383;true;false
ltr;384;true;false
ltr;385;true;false
ltr;386;true;false
ltr;387;true;false
ltr;388;true;false
ltr;389;true;false
ltr;390;true;false
ltr;391;true;false
ltr;392;true;false
ltr;393;true;false
ltr;394;true;false
ltr;395;true;false
ltr;396;true;false
ltr;397;true;false
ltr;398;true;false
ltr;399;true;false
ltr;400;true;false
ltr;401;true;false
ltr;402;false;false
ltr;403;false;false
ltr;404;true;false
ltr;405;false;false
ltr;406;true;false
ltr;407;true;false
ltr;408;false;false
ltr;409;false;false
ltr;410;false;false
ltr;411;false;false
ltr;412;false;false
ltr;413;true;false
ltr;414;false;false
ltr;415;false;false
ltr;416;false;false
ltr;417;false;false
ltr;418;false;false
ltr;419;false;false
ltr;420;true;false
ltr;421;false;false
ltr;422;false;false
ltr;423;true;false
ltr;424;true;false
ltr;425;true;false
ltr;426;false;false
ltr;427;false;false
ltr;428;false;false
ltr;429;false;false
ltr;430;false;false
ltr;431;false;false
ltr;432;false;false
ltr;433;false;false
ltr;434;true;false
ltr;435;true;false
ltr;436;true;false
ltr;437;false;false
ltr;438;true;false
ltr;439;false;false
ltr;440;false;false
ltr;441;false;false
ltr;442;true;false
ltr;443;false;false
ltr;444;true;false
ltr;445;false;false
ltr;446;true;false
ltr;447;true;false
ltr;448;false;false
ltr;449;false;false
ltr;450;true;false
ltr;451;true;false
ltr;452;false;false
ltr;453;false;false
ltr;454;false;false
ltr;455;false;false
ltr;456;false;false
ltr;457;false;false
ltr;458;false;false
ltr;459;false;false
ltr;460;false;false
ltr;461;false;false
ltr;462;false;false
ltr;463;false;false
ltr;464;false;false
ltr;465;false;false
ltr;466;false;false
ltr;467;false;false
ltr;468;false;false
ltr;469;false;false
ltr;470;false;false
ltr;471;false;false
ltr;472;false;false
ltr;473;false;false
ltr;474;false;false
ltr;475;false;false
ltr;476;false;false
ltr;477;false;false
ltr;478;false;false
ltr;479;false;false
ltr;480;false;false
ltr;481;false;false
ltr;482;false;false
ltr;483;false;false
ltr;484;false;false
ltr;485;false;false
ltr;486;false;false
ltr;487;false;false
ltr;488;false;false
ltr;489;false;false
ltr;490;false;false
ltr;491;false;false
ltr;492;false;false
ltr;493;false;false
ltr;494;false;false
ltr;495;false;false
ltr;496;false;false
ltr;497;false;false
ltr;498;false;false
ltr;499;false;false
ltr;500;false;false
ltr;501;false;false
ltr;502;false;false
ltr;503;false;false
ltr;504;false;false
ltr;505;false;false
ltr;506;false;false
ltr;507;false;false
ltr;508;false;false
ltr;509;false;false
ltr;510;false;false
ltr;511;false;false
ltr;512;false;false
ltr;513;false;false
ltr;514;false;false
ltr;515;false;false
ltr;516;false;false
ltr;517;false;false
ltr;518;false;false
ltr;519;false;false
ltr;520;false;false
ltr;521;false;false
ltr;522;false;false
ltr;523;false;false
ltr;524;false;false
ltr;525;false;false
ltr;526;false;false
ltr;527;false;false
ltr;528;false;false
ltr;529;false;false
ltr;530;false;false
ltr;531;false;false
ltr;532;false;false
ltr;533;false;false
ltr;534;false;false
ltr;535;false;false
ltr;536;false;false
ltr;537;false;false
ltr;538;false;false
ltr;539;false;false
ltr;540;false;false
ltr;541;false;false
ltr;542;false;false
ltr;543;false;false
ltr;544;false;false
ltr;545;false;false
ltr;546;false;false
ltr;547;false;false
ltr;548;false;false
ltr;549;false;false
ltr;550;false;false
ltr;551;false;false
ltr;552;false;false
ltr;553;false;false
ltr;554;false;false
ltr;555;false;false
ltr;556;false;false
ltr;557;false;false
ltr;558;false;false
ltr;559;false;false
ltr;560;false;false
ltr;561;false;false
ltr;562;false;false
ltr;563;false;false
ltr;564;false;false
ltr;565;false;false
ltr;566;false;false
ltr;567;false;false
ltr;568;false;false
ltr;569;false;false
ltr;570;false;false
ltr;571;false;false
ltr;572;false;false
ltr;573;false;false
ltr;574;false;false
ltr;575;false;false
ltr;576;false;false
ltr;577;false;false
ltr;578;false;false
ltr;579;false;false
ltr;580;false;false
ltr;581;false;false
ltr;582;false;false
ltr;583;false;false
ltr;584;false;false
ltr;585;false;false
ltr;586;false;false
ltr;587;false;false
ltr;588;false;false
ltr;589;false;false
ltr;590;false;false
ltr;591;false;false
ltr;592;false;false
ltr;593;false;false
ltr;594;false;false
ltr;595;false;false
ltr;596;false;false
ltr;597;false;false
ltr;598;false;false
ltr;599;false;false
ltr;600;false;false
ltr;601;false;false
ltr;602;false;false
ltr;603;false;false
ltr;604;false;false
ltr;605;false;false
ltr;606;false;false
ltr;607;false;false
ltr;608;false;false
ltr;609;false;false
ltr;610;false;false
ltr;611;false;false
ltr;612;false;false
ltr;613;false;false
ltr;614;false;false
ltr;615;false;false
ltr;616;false;false
ltr;617;false;false
ltr;618;false;false
ltr;619;false;false
ltr;620;false;false
ltr;621;false;false
ltr;622;false;false
ltr;623;false;false
ltr;624;false;false
ltr;625;false;false
ltr;626;false;false
ltr;627;false;false
ltr;628;false;false
ltr;629;false;false
ltr;630;false;false
ltr;631;false;false
ltr;632;false;false
ltr;633;false;false
ltr;634;false;false
ltr;635;false;false
ltr;636;false;false
ltr;637;false;false
ltr;638;false;false
ltr;639;false;false
ltr;640;false;false
ltr;641;false;false
ltr;642;false;false
ltr;643;false;false
ltr;644;false;false
ltr;645;false;false
ltr;646;false;false
ltr;647;false;false
ltr;648;false;false
ltr;649;false;false
ltr;650;false;false
ltr;651;false;false
ltr;652;false;false
ltr;653;false;false
ltr;654;false;false
ltr;655;false;false
ltr;656;false;false
ltr;657;false;false
ltr;658;false;false
ltr;659;false;false
ltr;660;false;false
ltr;661;false;false
ltr;662;false;false
ltr;663;false;false
ltr;664;false;false
ltr;665;false;false
ltr;666;false;false
ltr;667;false;false
ltr;668;false;false
ltr;669;false;false
ltr;670;false;false
ltr;671;false;false
ltr;672;false;false
ltr;673;false;false
ltr;674;false;false
ltr;675;false;false
ltr;676;false;false
ltr;677;false;false
ltr;678;false;false
ltr;679;false;false
ltr;680;false;false
ltr;681;false;false
ltr;682;false;false
ltr;683;false;false
ltr;684;false;false
ltr;685;false;false
ltr;686;false;false
ltr;687;false;false
ltr;688;false;false
ltr;689;false;false
ltr;690;false;false
ltr;691;false;false
ltr;692;false;false
ltr;693;false;false
ltr;694;false;false
ltr;695;false;false
ltr;696;false;false
ltr;697;false;false
ltr;698;false;false
ltr;699;false;false
ltr;700;false;false
ltr;701;false;false
ltr;702;false;false
ltr;703;false;false
ltr;704;false;false
ltr;705;false;false
ltr;706;false;false
ltr;707;false;false
ltr;708;false;false
ltr;709;false;false
ltr;710;false;false
ltr;711;false;false
ltr;712;false;false
ltr;713;false;false
ltr;714;false;false
ltr;715;false;false
ltr;716;false;false
ltr;717;false;false
ltr;718;false;false
ltr;719;false;false
ltr;720;false;false
ltr;721;false;false
ltr;722;false;false
ltr;723;false;false
ltr;724;false;false
ltr;725;false;false
ltr;726;false;false
ltr;727;false;false
ltr;728;false;false
ltr;729;false;false
ltr;730;false;false
ltr;731;false;false
ltr;731z;false;false
ltr;732;false;false
ltr;732z;false;false
ltr;733;false;false
ltr;733z;false;false
ltr;734;false;false
ltr;734z;false;false
ltr;735;false;false
ltr;735z;false;false
ltr;736;false;false
ltr;736z;false;false
ltr;737;false;false
ltr;737z;false;false
ltr;738;false;false
ltr;738z;false;false
ltr;739;false;false
ltr;739z;false;false
ltr;740;false;false
ltr;740z;false;false
ltr;741;false;false
ltr;741z;false;false
ltr;742;false;false
ltr;742z;false;false
ltr;743;false;false
ltr;743z;false;false
ltr;744;false;false
ltr;744z;false;false
ltr;745;false;false
ltr;745z;false;false
ltr;746;false;false
ltr;746z;false;false
ltr;747;false;false
ltr;747z;false;false
ltr;748;false;false
ltr;748z;false;false
ltr;749;false;false
ltr;749z;false;false
ltr;750;false;false
ltr;750z;false;false
ltr;751;false;false
ltr;752;false;false
ltr;753;false;false
ltr;754;false;false
ltr;755;false;false
ltr;756;false;false
ltr;757;false;false
ltr;758;false;false
ltr;759;false;false
ltr;760;false;false
ltr;761;false;false
ltr;762;false;false
ltr;763;false;false
ltr;764;false;false
ltr;765;false;false
ltr;766;false;false
ltr;767;false;false
ltr;768;false;false
ltr;769;false;false
ltr;770;false;false
ltr;771;false;false
ltr;772;false;false
ltr;773;false;false
ltr;774;false;false
ltr;775;false;false
ltr;776;false;false
ltr;777;false;false
ltr;778;false;false
ltr;779;false;false
ltr;780;false;false
ltr;781;false;false
ltr;782;false;false
ltr;783;false;false
ltr;784;false;false
ltr;785;false;false
ltr;786;false;false
ltr;787;false;false
ltr;788;false;false
ltr;789;false;false
ltr;790;false;false
ltr;791;false;false
ltr;792;false;false
ltr;793;false;false
ltr;794;false;false
ltr;795;false;false
ltr;796;false;false
ltr;797;false;false
ltr;798;false;false
ltr;799;false;false
ltr;800;false;false
ltr;801;false;false
ltr;802;false;false
ltr;803;false;false
ltr;804;false;false
ltr;805;false;false
ltr;806;false;false
ltr;807;false;false
ltr;808;false;false
ltr;809;false;false
ltr;810;false;false
ltr;811;false;false
ltr;812;false;false
