set;number;no_foil;foil
m12;1;false;false
m12;2;false;false
m12;3;false;false
m12;4;false;false
m12;5;false;false
m12;6;false;false
m12;7;false;false
m12;8;false;false
m12;9;false;false
m12;10;false;false
m12;11;false;false
m12;12;false;false
m12;13;false;false
m12;14;false;false
m12;15;false;false
m12;16;false;false
m12;17;false;false
m12;18;false;false
m12;19;false;false
m12;20;false;false
m12;21;false;false
m12;22;false;false
m12;23;false;false
m12;24;false;false
m12;25;false;false
m12;26;false;false
m12;27;false;false
m12;28;false;false
m12;29;false;false
m12;30;false;false
m12;31;false;false
m12;32;false;false
m12;33;false;false
m12;34;false;false
m12;35;false;false
m12;36;false;false
m12;37;false;false
m12;38;false;false
m12;39;false;false
m12;40;false;false
m12;41;false;false
m12;42;false;false
m12;43;false;false
m12;44;false;false
m12;45;false;false
m12;46;false;false
m12;47;false;false
m12;48;false;false
m12;49;false;false
m12;50;false;false
m12;51;false;false
m12;52;false;false
m12;53;false;false
m12;54;false;false
m12;55;false;false
m12;56;false;false
m12;57;false;false
m12;58;false;false
m12;59;false;false
m12;60;false;false
m12;61;false;false
m12;62;false;false
m12;63;false;false
m12;64;false;false
m12;65;false;false
m12;66;false;false
m12;67;false;false
m12;68;false;false
m12;69;false;false
m12;70;false;false
m12;71;false;false
m12;72;false;false
m12;73;false;false
m12;74;false;false
m12;75;false;false
m12;76;false;false
m12;77;false;false
m12;78;false;false
m12;79;false;false
m12;80;false;false
m12;81;false;false
m12;82;false;false
m12;83;false;false
m12;84;false;false
m12;85;false;false
m12;86;false;false
m12;87;false;false
m12;88;false;false
m12;89;false;false
m12;90;false;false
m12;91;false;false
m12;92;false;false
m12;93;false;false
m12;94;false;false
m12;95;false;false
m12;96;false;false
m12;97;false;false
m12;98;false;false
m12;99;false;false
m12;100;false;false
m12;101;false;false
m12;102;false;false
m12;103;false;false
m12;104;false;false
m12;105;false;false
m12;106;false;false
m12;107;false;false
m12;108;false;false
m12;109;false;false
m12;110;false;false
m12;111;false;false
m12;112;false;false
m12;113;false;false
m12;114;false;false
m12;115;false;false
m12;116;false;false
m12;117;false;false
m12;118;false;false
m12;119;false;false
m12;120;false;false
m12;121;false;false
m12;122;false;false
m12;123;false;false
m12;124;false;false
m12;125;false;false
m12;126;false;false
m12;127;false;false
m12;128;false;false
m12;129;false;false
m12;130;false;false
m12;131;false;false
m12;132;false;false
m12;133;false;false
m12;134;false;false
m12;135;false;false
m12;136;false;false
m12;137;false;false
m12;138;false;false
m12;139;false;false
m12;140;false;false
m12;141;false;false
m12;142;false;false
m12;143;false;false
m12;144;false;false
m12;145;false;false
m12;146;false;false
m12;147;false;false
m12;148;false;false
m12;149;false;false
m12;150;false;false
m12;151;false;false
m12;152;false;false
m12;153;false;false
m12;154;false;false
m12;155;false;false
m12;156;false;false
m12;157;false;false
m12;158;false;false
m12;159;false;false
m12;160;false;false
m12;161;false;false
m12;162;false;false
m12;163;false;false
m12;164;false;false
m12;165;false;false
m12;166;false;false
m12;167;false;false
m12;168;false;false
m12;169;false;false
m12;170;false;false
m12;171;false;false
m12;172;false;false
m12;173;false;false
m12;174;false;false
m12;175;false;false
m12;176;false;false
m12;177;false;false
m12;178;false;false
m12;179;false;false
m12;180;false;false
m12;181;false;false
m12;182;false;false
m12;183;false;false
m12;184;false;false
m12;185;false;false
m12;186;false;false
m12;187;false;false
m12;188;false;false
m12;189;false;false
m12;190;false;false
m12;191;false;false
m12;192;false;false
m12;193;false;false
m12;194;false;false
m12;195;false;false
m12;196;false;false
m12;197;false;false
m12;198;false;false
m12;199;false;false
m12;200;false;false
m12;201;false;false
m12;202;false;false
m12;203;false;false
m12;204;false;false
m12;205;false;false
m12;206;false;false
m12;207;false;false
m12;208;false;false
m12;209;false;false
m12;210;false;false
m12;211;false;false
m12;212;false;false
m12;213;false;false
m12;214;false;false
m12;215;false;false
m12;216;false;false
m12;217;false;false
m12;218;false;false
m12;219;false;false
m12;220;false;false
m12;221;false;false
m12;222;false;false
m12;223;false;false
m12;224;false;false
m12;225;false;false
m12;226;false;false
m12;227;false;false
m12;228;false;false
m12;229;false;false
m12;230;false;false
m12;231;false;false
m12;232;false;false
m12;233;false;false
m12;234;false;false
m12;235;false;false
m12;236;false;false
m12;237;false;false
m12;238;false;false
m12;239;false;false
m12;240;false;false
m12;241;false;false
m12;242;false;false
m12;243;false;false
m12;244;false;false
m12;245;false;false
m12;246;false;false
m12;247;false;false
m12;248;false;false
m12;249;false;false
