set;number;no_foil;foil
m3c;1;false;false
m3c;2;false;false
m3c;3;false;false
m3c;4;false;false
m3c;5;false;false
m3c;6;false;false
m3c;7;false;false
m3c;8;false;false
m3c;9;false;false
m3c;10;false;false
m3c;11;false;false
m3c;12;false;false
m3c;13;false;false
m3c;14;false;false
m3c;15;false;false
m3c;16;false;false
m3c;17;false;false
m3c;18;false;false
m3c;19;false;false
m3c;20;false;false
m3c;21;false;false
m3c;22;false;false
m3c;23;false;false
m3c;24;false;false
m3c;25;false;false
m3c;26;false;false
m3c;27;false;false
m3c;28;false;false
m3c;29;false;false
m3c;30;false;false
m3c;31;false;false
m3c;32;false;false
m3c;33;false;false
m3c;34;false;false
m3c;35;false;false
m3c;36;false;false
m3c;37;false;false
m3c;38;false;false
m3c;39;false;false
m3c;40;false;false
m3c;41;false;false
m3c;42;false;false
m3c;43;false;false
m3c;44;false;false
m3c;45;false;false
m3c;46;false;false
m3c;47;false;false
m3c;48;false;false
m3c;49;false;false
m3c;50;false;false
m3c;51;false;false
m3c;52;false;false
m3c;53;false;false
m3c;54;false;false
m3c;55;false;false
m3c;56;false;false
m3c;57;false;false
m3c;58;false;false
m3c;59;false;false
m3c;60;false;false
m3c;61;false;false
m3c;62;false;false
m3c;63;false;false
m3c;64;false;false
m3c;65;false;false
m3c;66;false;false
m3c;67;false;false
m3c;68;false;false
m3c;69;false;false
m3c;70;false;false
m3c;71;false;false
m3c;72;false;false
m3c;73;false;false
m3c;74;false;false
m3c;75;false;false
m3c;76;false;false
m3c;77;false;false
m3c;78;false;false
m3c;79;false;false
m3c;80;false;false
m3c;81;false;false
m3c;82;false;false
m3c;83;false;false
m3c;92;false;false
m3c;93;false;false
m3c;94;false;false
m3c;95;false;false
m3c;96;false;false
m3c;97;false;false
m3c;99;false;false
m3c;100;false;false
m3c;101;false;false
m3c;102;false;false
m3c;104;false;false
m3c;106;false;false
m3c;107;false;false
m3c;108;false;false
m3c;110;false;false
m3c;111;false;false
m3c;112;false;false
m3c;113;false;false
m3c;114;false;false
m3c;116;false;false
m3c;117;false;false
m3c;118;false;false
m3c;119;false;false
m3c;120;false;false
m3c;121;false;false
m3c;122;false;false
m3c;123;false;false
m3c;124;false;false
m3c;125;false;false
m3c;126;false;false
m3c;127;false;false
m3c;128;false;false
m3c;129;false;false
m3c;130;false;false
m3c;131;false;false
m3c;132;false;false
m3c;133;false;false
m3c;134;false;false
m3c;135;false;false
m3c;136;false;false
m3c;137;false;false
m3c;138;false;false
m3c;139;false;false
m3c;140;false;false
m3c;141;false;false
m3c;142;false;false
m3c;143;false;false
m3c;144;false;false
m3c;145;false;false
m3c;146;false;false
m3c;147;false;false
m3c;148;false;false
m3c;149;false;false
m3c;150;false;false
m3c;151;false;false
m3c;152;false;false
m3c;153;false;false
m3c;154;false;false
m3c;155;false;false
m3c;156;false;false
m3c;157;false;false
m3c;158;false;false
m3c;159;false;false
m3c;160;false;false
m3c;161;false;false
m3c;162;false;false
m3c;163;false;false
m3c;164;false;false
m3c;165;false;false
m3c;166;false;false
m3c;167;false;false
m3c;168;false;false
m3c;169;false;false
m3c;170;false;false
m3c;171;false;false
m3c;172;false;false
m3c;173;false;false
m3c;174;false;false
m3c;175;false;false
m3c;176;false;false
m3c;177;false;false
m3c;178;false;false
m3c;179;false;false
m3c;180;false;false
m3c;181;false;false
m3c;182;false;false
m3c;183;false;false
m3c;184;false;false
m3c;185;false;false
m3c;186;false;false
m3c;187;false;false
m3c;188;false;false
m3c;189;false;false
m3c;190;false;false
m3c;191;false;false
m3c;192;false;false
m3c;193;false;false
m3c;194;false;false
m3c;195;false;false
m3c;196;false;false
m3c;197;false;false
m3c;198;false;false
m3c;199;false;false
m3c;200;false;false
m3c;201;false;false
m3c;202;false;false
m3c;203;false;false
m3c;204;false;false
m3c;205;false;false
m3c;206;false;false
m3c;207;false;false
m3c;208;false;false
m3c;209;false;false
m3c;210;false;false
m3c;211;false;false
m3c;212;false;false
m3c;213;false;false
m3c;214;false;false
m3c;215;false;false
m3c;216;false;false
m3c;217;false;false
m3c;218;false;false
m3c;219;false;false
m3c;220;false;false
m3c;221;false;false
m3c;222;false;false
m3c;223;false;false
m3c;224;false;false
m3c;225;false;false
m3c;226;false;false
m3c;227;false;false
m3c;228;false;false
m3c;229;false;false
m3c;230;false;false
m3c;231;false;false
m3c;232;false;false
m3c;233;false;false
m3c;234;false;false
m3c;235;false;false
m3c;236;false;false
m3c;237;false;false
m3c;238;false;false
m3c;239;false;false
m3c;240;false;false
m3c;241;false;false
m3c;242;false;false
m3c;243;false;false
m3c;244;false;false
m3c;245;false;false
m3c;246;false;false
m3c;247;false;false
m3c;248;false;false
m3c;249;false;false
m3c;250;false;false
m3c;251;false;false
m3c;252;false;false
m3c;253;false;false
m3c;254;false;false
m3c;255;false;false
m3c;256;false;false
m3c;257;false;false
m3c;258;false;false
m3c;259;false;false
m3c;260;false;false
m3c;261;false;false
m3c;262;false;false
m3c;263;false;false
m3c;264;false;false
m3c;265;false;false
m3c;266;false;false
m3c;267;false;false
m3c;268;false;false
m3c;269;false;false
m3c;270;false;false
m3c;271;false;false
m3c;272;false;false
m3c;273;false;false
m3c;274;false;false
m3c;275;false;false
m3c;276;false;false
m3c;277;false;false
m3c;278;false;false
m3c;279;false;false
m3c;280;false;false
m3c;281;false;false
m3c;282;false;false
m3c;283;false;false
m3c;284;false;false
m3c;285;false;false
m3c;286;false;false
m3c;287;false;false
m3c;288;false;false
m3c;289;false;false
m3c;290;false;false
m3c;291;false;false
m3c;292;false;false
m3c;293;false;false
m3c;294;false;false
m3c;295;false;false
m3c;296;false;false
m3c;297;false;false
m3c;298;false;false
m3c;299;false;false
m3c;300;false;false
m3c;301;false;false
m3c;302;false;false
m3c;303;false;false
m3c;304;false;false
m3c;305;false;false
m3c;306;false;false
m3c;307;false;false
m3c;308;false;false
m3c;309;false;false
m3c;310;false;false
m3c;311;false;false
m3c;312;false;false
m3c;313;false;false
m3c;314;false;false
m3c;315;false;false
m3c;316;false;false
m3c;317;false;false
m3c;318;false;false
m3c;319;false;false
m3c;320;false;false
m3c;321;false;false
m3c;322;false;false
m3c;323;false;false
m3c;324;false;false
m3c;325;false;false
m3c;326;false;false
m3c;327;false;false
m3c;328;false;false
m3c;329;false;false
m3c;330;false;false
m3c;331;false;false
m3c;332;false;false
m3c;333;false;false
m3c;334;false;false
m3c;335;false;false
m3c;336;false;false
m3c;337;false;false
m3c;338;false;false
m3c;339;false;false
m3c;340;false;false
m3c;341;false;false
m3c;342;false;false
m3c;343;false;false
m3c;344;false;false
m3c;345;false;false
m3c;346;false;false
m3c;347;false;false
m3c;348;false;false
m3c;349;false;false
m3c;350;false;false
m3c;351;false;false
m3c;352;false;false
m3c;353;false;false
m3c;354;false;false
m3c;355;false;false
m3c;356;false;false
m3c;357;false;false
m3c;358;false;false
m3c;359;false;false
m3c;360;false;false
m3c;361;false;false
m3c;362;false;false
m3c;363;false;false
m3c;364;false;false
m3c;365;false;false
m3c;366;false;false
m3c;367;false;false
m3c;368;false;false
m3c;369;false;false
m3c;370;false;false
m3c;371;false;false
m3c;372;false;false
m3c;373;false;false
m3c;374;false;false
m3c;375;false;false
m3c;376;false;false
m3c;377;false;false
m3c;378;false;false
m3c;379;false;false
m3c;380;false;false
m3c;381;false;false
m3c;382;false;false
m3c;383;false;false
m3c;384;false;false
m3c;385;false;false
m3c;386;false;false
m3c;387;false;false
m3c;388;false;false
m3c;389;false;false
m3c;390;false;false
m3c;391;false;false
m3c;392;false;false
m3c;393;false;false
m3c;394;false;false
m3c;395;false;false
m3c;396;false;false
m3c;397;false;false
m3c;398;false;false
m3c;399;false;false
m3c;400;false;false
m3c;401;false;false
m3c;402;false;false
m3c;403;false;false
m3c;404;false;false
m3c;405;false;false
m3c;406;false;false
m3c;407;false;false
m3c;408;false;false
m3c;409;false;false
m3c;410;false;false
m3c;411;false;false
